name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
NGC1569,DGS,0.272498329870324,0.0009093422963696286,0.0003114339289098072,0.0004938812290054983,0.19878746592038823,0.1018923314557425,0.15167192104866645,0.023193369735533282,0.023193369735533282
IIZw40,DGS,0.28038984749287094,0.0004657202078431477,6.641935131565556e-05,3.9554496898430464e-05,0.10991838627533171,0.02696762823929088,0.01984402172008772,0.02386504682831146,0.02386504682831146
UGC09482,HIGH,0.2849433238374054,0.000840310383612279,0.0002939664073846073,0.0005726673103034495,0.17983023609555937,0.09279286655463331,0.1669851003697644,0.025493317791035155,0.027825100213831264
,HRS_LTG,0.2852768461969914,0.000288048249157376,8.148550104171377e-05,0.00013914421995868528,0.06982950902879918,0.02718037523458261,0.04220750995274553,0.024280997883481873,0.024280997883481873
NGC4214,DGS,0.28991026152040494,0.0022560032998808293,0.0005794319474938423,0.0006077712702185975,0.36651416659325364,0.17979464727551372,0.18706245777293876,0.02467536549221312,0.02467536549221312
NGC4861,DGS,0.2937260243363498,0.0005172073413682879,4.060570097556246e-05,2.8500297139517406e-05,0.11576273600145012,0.02013133087904927,0.017067148782763088,0.02500013958479351,0.02500013958479351
UGC06970,HIGH,0.2953835266320983,0.002943983155616074,0.001733919630379085,0.0030525992762147,0.425622278130753,0.5484725214606985,0.8892791263673024,0.07775389518189452,0.08392265242763927
UM311,DGS,0.29723458019723703,0.0001665744495461074,1.1869508037848787e-06,8.87281108853758e-07,0.039999824083794225,0.00370143784811004,0.003626479292812457,0.025298766124479295,0.025298766124479295
NGC5253,DGS,0.300867623284998,0.0018732812276904673,0.0005885064902016414,0.0007783600904824317,0.3164352717376319,0.17236284694245751,0.21927885990669038,0.025607988245729223,0.025607988245729223
UGC04996,HIGH,0.30738579741564404,0.0021545903004295663,0.0005560701958984907,0.0008736920282411361,0.34260049779300966,0.1661609340674771,0.24640239977876485,0.028406269960542095,0.03147129995349002
UM491,HAPLESS,0.30814201473310926,0.0004324202484798589,0.00015221627928953805,0.0003405818388440483,0.09447822355375995,0.04715651865428775,0.09416873446236709,0.034015342994801426,0.03911243904228177
PGC037392,HAPLESS,0.31392882476382683,0.002501916383774809,0.0013985780521513296,0.002974207937582086,0.3720731689813891,0.3811961725210035,0.7624747646128351,0.04215560123755676,0.0490013970583546
NGC5496,HIGH,0.31411453077478135,0.0012149884487794031,0.00019851054916559456,0.00029413399975915635,0.2233504902197506,0.05784099521544538,0.08085511739282134,0.015265462061194604,0.015800584947281635
NGC625,DGS,0.31438486621893635,0.002304662037606531,0.0007869137548523802,0.001281520184308722,0.3527649140992628,0.2161238131546911,0.33309417712134665,0.02675849222614279,0.02675849222614279
UM452,HAPLESS,0.3144800608895297,0.001263653789544125,0.0005603157300167232,0.001085569275679859,0.23003082776789954,0.15781508346854572,0.28575355001195174,0.03464985564234446,0.039787378001449214
,HRS_LTG,0.3258947271727356,0.0031626563192467426,0.0010322925640055447,0.0015610918969020046,0.41912023574478285,0.2711795712968316,0.3918195579342849,0.027738140287960563,0.027738140287960563
,HRS_LTG,0.3286731400947566,0.0022027906946349117,0.0004763388226014652,0.0005930232603956771,0.3325747982455137,0.13605973387521014,0.1624550239857038,0.02797462158386092,0.02797462158386092
,HRS_LTG,0.3289872468746143,0.0011736240053448407,0.00024375620797337965,0.0003429894959562374,0.2096317739281474,0.07293021958520944,0.09535643730966183,0.028001356407098707,0.028001356407098707
,HRS_LTG,0.33273911747117707,0.0014258310584947898,0.0002910596214514016,0.0003262201646843407,0.24161827734457908,0.08560134942624312,0.09345785515657583,0.02832069238977195,0.02832069238977195
NGC4449,DGS,0.33760667791961246,0.0015944371698277916,0.00038416944756859955,0.00039493482336765075,0.2598814967003351,0.10672323299980017,0.10909403825932286,0.028734988981036727,0.028734988981036727
,HRS_LTG,0.3399563535869126,0.0022526098555841942,0.0005184720655499124,0.0008077419998135768,0.33005162295506374,0.14148329682418737,0.20474747201209917,0.02893497881780458,0.02893497881780458
,HRS_LTG,0.3424024764762125,0.001452977704725156,0.00026965835674728805,0.0003204041382993295,0.23983293333518174,0.07896684193563377,0.0899858059347221,0.029143177644627052,0.029143177644627052
,HRS_LTG,0.35125798802151204,0.002400221479420326,0.0003510785647990273,0.0004993314683547959,0.33689014485023505,0.10298546667311238,0.13436559491603514,0.029896903928252918,0.029896903928252918
,HRS_LTG,0.35583689951138897,0.003234866441632816,0.0006938590286116627,0.0009408727958354233,0.4033060424305167,0.17930353442862657,0.23091520224128378,0.030286632508319943,0.030286632508319943
Haro3,DGS,0.3558520205490656,0.0010021242863931094,0.0002647000792596096,0.00028327483183653544,0.1731282771238292,0.07004034591662181,0.07392123577160943,0.030287919517373495,0.030287919517373495
