galaxy,gas_fraction,zini_zsun,run,output,time_myr,m_gas,m_metals,m_H,m_O,m_dust_smallC,m_dust_largeC,m_dust_smallSil_Si,m_dust_largeSil_Si,m_dust,OH_over_solar,OHgas_over_solar,Z_over_solar,DTG,DTM_metals,DTM
G9,HG,0.03,1d11_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,61,300.1,290000000.0,1651000.0,217000000.0,860300.0,4992.0,22220.0,14140.0,27940.0,285371.509202454,0.5059380594349341,0.4494601653827093,0.42327906678630944,0.000984039686905014,0.17284767365381828,0.14460821959527212
G9,HG,0.03,1d11_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3,81,400.1,297400000.0,2019000.0,221700000.0,1037000.0,23220.0,46270.0,16000.0,38150.0,401698.5889570552,0.5969256278287075,0.525788673886202,0.504746214403392,0.0013507013751077848,0.19895918224717937,0.16823518605717458
G9,HG,0.1,1d11_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,21,100.1,399500000.0,2362000.0,300500000.0,1108000.0,13870.0,20970.0,25560.0,65390.0,592815.4601226994,0.4705463897429195,0.3823967129764695,0.4395829359189693,0.0014838935172032525,0.25098029641096503,0.2344649921008246
G9,HG,0.1,1d11_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,41,200.1,331900000.0,2557000.0,248100000.0,1237000.0,35940.0,54680.0,24670.0,62490.0,625343.9263803681,0.6362826731377001,0.533964458289123,0.5727976021800807,0.0018841335534208136,0.24456156682845837,0.22016044908774118
G9,HG,0.1,1d11_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,61,300.1,323500000.0,2967000.0,240400000.0,1439000.0,54210.0,111700.0,25920.0,72370.0,768916.1349693252,0.7638946918322007,0.6448150913735073,0.6819004498888205,0.0023768659504461364,0.25915609537220263,0.23133903130269895
G9,HG,0.1,1d11_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,81,400.1,304300000.0,3154000.0,225100000.0,1525000.0,64520.0,168000.0,26440.0,78380.0,875587.4846625767,0.8645726846213757,0.7289503683210692,0.7706149893655619,0.0028773824668504,0.2776117579779888,0.24744221709439093
G9,LG,0.003,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,21,100.1,85690000.0,91440.0,64940000.0,53940.0,4.094,1117.0,2.762,213.2,2446.014245398773,0.10599998881154518,0.10503142652748687,0.07933846436168066,2.8544920590486322e-05,0.026749937066915714,0.02002169011955159
G9,LG,0.003,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,41,200.0,112400000.0,140700.0,85160000.0,79310.0,18.24,2134.0,243.6,362.2,5868.804417177913,0.11885007461256364,0.11677823509066665,0.09306909735543532,5.2213562430408476e-05,0.04171147418036896,0.032663414507617936
G9,LG,0.003,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,61,300.2,122900000.0,157600.0,93070000.0,86250.0,58.93,4034.0,943.3,721.4,14305.81343558282,0.1182650858623135,0.1130556731835322,0.09534151439348339,0.00011640206212842002,0.09077292789075393,0.07317821948829933
G9,LG,0.003,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3,81,400.0,120000000.0,166800.0,90870000.0,88230.0,215.5,6982.0,1560.0,1530.0,26154.555214723925,0.12390901732598578,0.11400524954977662,0.10334572490706319,0.00021795462678936604,0.15680188977652232,0.1307798682893251
