#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 3.00  1.345e-05 0.812   Ne  8.91e-04  8.94e-04  1.96e-06  2.19e+00
 3.00  1.345e-05 0.812   Mg  2.23e-04  2.24e-04  7.23e-07  2.19e+00
 3.00  1.345e-05 0.812   Si  3.69e-06  4.50e-06  7.85e-07  2.19e+00
 3.00  1.345e-05 0.812    S -2.10e-08  6.22e-07  6.49e-07  2.19e+00
 3.00  1.345e-05 0.812   Fe -1.68e-07  1.27e-06  1.38e-06  2.19e+00
 3.50  1.345e-05 0.861    p -1.45e-01  1.89e+00  2.04e+00  2.64e+00
 3.50  1.345e-05 0.861   He  1.18e-01  7.25e-01  6.08e-01  2.64e+00
 3.50  1.345e-05 0.861    C  7.11e-03  7.12e-03  4.88e-06  2.64e+00
 3.50  1.345e-05 0.861    N  1.84e-02  1.85e-02  1.80e-06  2.64e+00
 3.50  1.345e-05 0.861    O  4.60e-04  4.75e-04  1.51e-05  2.64e+00
 3.50  1.345e-05 0.861    F  5.54e-07  5.54e-07  6.41e-10  2.64e+00
 3.50  1.345e-05 0.861   Ne  6.58e-04  6.62e-04  2.81e-06  2.64e+00
 3.50  1.345e-05 0.861   Mg  2.11e-04  2.11e-04  1.06e-06  2.64e+00
 3.50  1.345e-05 0.861   Si  4.00e-06  5.08e-06  1.15e-06  2.64e+00
 3.50  1.345e-05 0.861    S -1.00e-08  9.47e-07  9.31e-07  2.64e+00
 3.50  1.345e-05 0.861   Fe -1.59e-07  1.90e-06  2.07e-06  2.64e+00
 4.00  1.345e-05 0.870    p -2.39e-01  2.17e+00  2.41e+00  3.13e+00
 4.00  1.345e-05 0.870   He  2.05e-01  9.22e-01  7.18e-01  3.13e+00
 4.00  1.345e-05 0.870    C  5.37e-03  5.38e-03  6.23e-06  3.13e+00
 4.00  1.345e-05 0.870    N  2.64e-02  2.64e-02  2.27e-06  3.13e+00
 4.00  1.345e-05 0.870    O  6.64e-04  6.83e-04  1.88e-05  3.13e+00
 4.00  1.345e-05 0.870    F  4.59e-07  4.59e-07  8.11e-10  3.13e+00
 4.00  1.345e-05 0.870   Ne  8.57e-04  8.61e-04  3.60e-06  3.13e+00
 4.00  1.345e-05 0.870   Mg  2.63e-04  2.64e-04  1.32e-06  3.13e+00
 4.00  1.345e-05 0.870   Si  5.89e-06  7.24e-06  1.40e-06  3.13e+00
 4.00  1.345e-05 0.870    S  3.22e-09  1.18e-06  1.17e-06  3.13e+00
 4.00  1.345e-05 0.870   Fe -1.77e-07  2.41e-06  2.54e-06  3.13e+00
 4.50  1.345e-05 0.900    p -2.93e-01  2.48e+00  2.77e+00  3.60e+00
 4.50  1.345e-05 0.900   He  2.66e-01  1.09e+00  8.27e-01  3.60e+00
 4.50  1.345e-05 0.900    C  3.79e-03  3.80e-03  7.04e-06  3.60e+00
 4.50  1.345e-05 0.900    N  2.19e-02  2.19e-02  2.58e-06  3.60e+00
 4.50  1.345e-05 0.900    O  5.08e-04  5.30e-04  2.19e-05  3.60e+00
 4.50  1.345e-05 0.900    F  2.01e-07  2.02e-07  9.37e-10  3.60e+00
 4.50  1.345e-05 0.900   Ne  4.76e-04  4.79e-04  3.90e-06  3.60e+00
 4.50  1.345e-05 0.900   Mg  1.66e-04  1.68e-04  1.53e-06  3.60e+00
 4.50  1.345e-05 0.900   Si  3.48e-06  5.11e-06  1.63e-06  3.60e+00
 4.50  1.345e-05 0.900    S  5.32e-08  1.39e-06  1.40e-06  3.60e+00
 4.50  1.345e-05 0.900   Fe  1.55e-08  2.91e-06  3.00e-06  3.60e+00
 5.00  1.345e-05 0.930    p -3.72e-01  2.76e+00  3.13e+00  4.07e+00
 5.00  1.345e-05 0.930   He  3.44e-01  1.28e+00  9.34e-01  4.07e+00
 5.00  1.345e-05 0.930    C  3.14e-03  3.14e-03  8.08e-06  4.07e+00
 5.00  1.345e-05 0.930    N  2.31e-02  2.32e-02  2.93e-06  4.07e+00
 5.00  1.345e-05 0.930    O  4.85e-04  5.11e-04  2.55e-05  4.07e+00
 5.00  1.345e-05 0.930    F  9.15e-08  9.22e-08  1.07e-09  4.07e+00
 5.00  1.345e-05 0.930   Ne  3.96e-04  4.00e-04  4.54e-06  4.07e+00
 5.00  1.345e-05 0.930   Mg  1.90e-04  1.92e-04  1.79e-06  4.07e+00
 5.00  1.345e-05 0.930   Si  3.89e-06  5.71e-06  1.91e-06  4.07e+00
 5.00  1.345e-05 0.930    S  1.21e-07  1.67e-06  1.49e-06  4.07e+00
 5.00  1.345e-05 0.930   Fe  1.82e-07  3.53e-06  3.39e-06  4.07e+00
 5.50  1.345e-05 0.971    p -4.54e-01  3.04e+00  3.49e+00  4.53e+00
 5.50  1.345e-05 0.971   He  4.22e-01  1.46e+00  1.04e+00  4.53e+00
 5.50  1.345e-05 0.971    C  2.90e-03  2.91e-03  8.90e-06  4.53e+00
 5.50  1.345e-05 0.971    N  2.75e-02  2.75e-02  3.24e-06  4.53e+00
 5.50  1.345e-05 0.971    O  4.52e-04  4.81e-04  2.88e-05  4.53e+00
 5.50  1.345e-05 0.971    F  5.90e-08  6.02e-08  1.17e-09  4.53e+00
 5.50  1.345e-05 0.971   Ne  4.42e-04  4.46e-04  5.07e-06  4.53e+00
 5.50  1.345e-05 0.971   Mg  3.17e-04  3.19e-04  1.93e-06  4.53e+00
 5.50  1.345e-05 0.971   Si  7.89e-06  9.98e-06  2.03e-06  4.53e+00
 5.50  1.345e-05 0.971    S  1.19e-07  1.81e-06  1.70e-06  4.53e+00
 5.50  1.345e-05 0.971   Fe -7.49e-08  3.61e-06  3.80e-06  4.53e+00
 6.00  1.345e-05 1.001    p -5.56e-01  3.29e+00  3.84e+00  5.00e+00
 6.00  1.345e-05 1.001   He  5.18e-01  1.67e+00  1.15e+00  5.00e+00
 6.00  1.345e-05 1.001    C  2.26e-03  2.26e-03  9.73e-06  5.00e+00
 6.00  1.345e-05 1.001    N  3.35e-02  3.35e-02  3.68e-06  5.00e+00
 6.00  1.345e-05 1.001    O  7.84e-04  8.14e-04  3.07e-05  5.00e+00
 6.00  1.345e-05 1.001    F  2.36e-08  2.49e-08  1.29e-09  5.00e+00
 6.00  1.345e-05 1.001   Ne  4.74e-04  4.79e-04  5.49e-06  5.00e+00
 6.00  1.345e-05 1.001   Mg  4.57e-04  4.60e-04  2.13e-06  5.00e+00
 6.00  1.345e-05 1.001   Si  1.42e-05  1.66e-05  2.23e-06  5.00e+00
 6.00  1.345e-05 1.001    S  2.23e-07  2.04e-06  1.85e-06  5.00e+00
 6.00  1.345e-05 1.001   Fe -1.20e-07  3.81e-06  4.10e-06  5.00e+00
