#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 4.50 0.0040 0.851   Ne  1.99e-03  8.39e-03  0.00e+00  3.65e+00
 4.50 0.0040 0.851   Mg  4.28e-04  2.82e-03  0.00e+00  3.65e+00
 4.50 0.0040 0.851   Si  2.79e-05  2.60e-03  0.00e+00  3.65e+00
 4.50 0.0040 0.851    S -5.19e-06  1.34e-03  0.00e+00  3.65e+00
 4.50 0.0040 0.851   Fe -2.34e-05  6.71e-03  0.00e+00  3.65e+00
 5.00 0.0040 0.878    p -4.29e-01  2.48e+00  0.00e+00  4.12e+00
 5.00 0.0040 0.878   He  3.59e-01  1.49e+00  0.00e+00  4.12e+00
 5.00 0.0040 0.878    C  3.38e-03  1.61e-02  0.00e+00  4.12e+00
 5.00 0.0040 0.878    N  6.49e-02  6.95e-02  0.00e+00  4.12e+00
 5.00 0.0040 0.878    O -2.75e-03  3.69e-02  0.00e+00  4.12e+00
 5.00 0.0040 0.878    F  2.26e-07  2.24e-06  0.00e+00  4.12e+00
 5.00 0.0040 0.878   Ne  2.73e-03  9.97e-03  0.00e+00  4.12e+00
 5.00 0.0040 0.878   Mg  8.72e-04  3.57e-03  0.00e+00  4.12e+00
 5.00 0.0040 0.878   Si  5.00e-05  2.95e-03  0.00e+00  4.12e+00
 5.00 0.0040 0.878    S -7.63e-06  1.51e-03  0.00e+00  4.12e+00
 5.00 0.0040 0.878   Fe -3.60e-05  7.57e-03  0.00e+00  4.12e+00
 5.50 0.0040 0.899    p -4.30e-01  2.82e+00  0.00e+00  4.60e+00
 5.50 0.0040 0.899   He  3.80e-01  1.64e+00  0.00e+00  4.60e+00
 5.50 0.0040 0.899    C  3.28e-03  1.75e-02  0.00e+00  4.60e+00
 5.50 0.0040 0.899    N  4.78e-02  5.29e-02  0.00e+00  4.60e+00
 5.50 0.0040 0.899    O -3.20e-03  4.11e-02  0.00e+00  4.60e+00
 5.50 0.0040 0.899    F  7.75e-08  2.32e-06  0.00e+00  4.60e+00
 5.50 0.0040 0.899   Ne  1.40e-03  9.47e-03  0.00e+00  4.60e+00
 5.50 0.0040 0.899   Mg  4.79e-04  3.49e-03  0.00e+00  4.60e+00
 5.50 0.0040 0.899   Si  3.39e-05  3.27e-03  0.00e+00  4.60e+00
 5.50 0.0040 0.899    S -5.18e-06  1.69e-03  0.00e+00  4.60e+00
 5.50 0.0040 0.899   Fe -2.44e-05  8.47e-03  0.00e+00  4.60e+00
 6.00 0.0040 0.928    p -5.54e-01  3.03e+00  0.00e+00  5.07e+00
 6.00 0.0040 0.928   He  5.03e-01  1.89e+00  0.00e+00  5.07e+00
 6.00 0.0040 0.928    C  1.94e-03  1.76e-02  0.00e+00  5.07e+00
 6.00 0.0040 0.928    N  5.29e-02  5.85e-02  0.00e+00  5.07e+00
 6.00 0.0040 0.928    O -5.84e-03  4.30e-02  0.00e+00  5.07e+00
 6.00 0.0040 0.928    F -2.34e-07  2.24e-06  0.00e+00  5.07e+00
 6.00 0.0040 0.928   Ne  1.14e-03  1.00e-02  0.00e+00  5.07e+00
 6.00 0.0040 0.928   Mg  6.10e-04  3.93e-03  0.00e+00  5.07e+00
 6.00 0.0040 0.928   Si  4.01e-05  3.61e-03  0.00e+00  5.07e+00
 6.00 0.0040 0.928    S -5.35e-06  1.86e-03  0.00e+00  5.07e+00
 6.00 0.0040 0.928   Fe -2.60e-05  9.34e-03  0.00e+00  5.07e+00
