#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 5.00 0.0200 0.879    O -3.69e-03  3.60e-02  3.97e-02  4.12e+00
 5.00 0.0200 0.879    F  1.93e-06  3.60e-06  1.67e-06  4.12e+00
 5.00 0.0200 0.879   Ne  8.76e-04  8.11e-03  7.23e-03  4.12e+00
 5.00 0.0200 0.879   Mg  1.48e-04  2.87e-03  2.72e-03  4.12e+00
 5.00 0.0200 0.879   Si  8.77e-06  2.94e-03  2.94e-03  4.12e+00
 5.00 0.0200 0.879    S -2.87e-06  2.41e-03  2.41e-03  4.12e+00
 5.00 0.0200 0.879   Fe -6.36e-06  5.25e-03  5.26e-03  4.12e+00
 5.50 0.0200 0.900    p -2.75e-01  2.89e+00  3.16e+00  4.60e+00
 5.50 0.0200 0.900   He  2.51e-01  1.60e+00  1.35e+00  4.60e+00
 5.50 0.0200 0.900    C -5.86e-03  8.27e-03  1.42e-02  4.60e+00
 5.50 0.0200 0.900    N  3.40e-02  3.91e-02  5.11e-03  4.60e+00
 5.50 0.0200 0.900    O -6.02e-03  3.83e-02  4.43e-02  4.60e+00
 5.50 0.0200 0.900    F  3.24e-07  2.19e-06  1.87e-06  4.60e+00
 5.50 0.0200 0.900   Ne  1.28e-03  9.35e-03  8.08e-03  4.60e+00
 5.50 0.0200 0.900   Mg  3.75e-04  3.41e-03  3.04e-03  4.60e+00
 5.50 0.0200 0.900   Si  2.38e-05  3.30e-03  3.28e-03  4.60e+00
 5.50 0.0200 0.900    S -5.83e-06  2.70e-03  2.70e-03  4.60e+00
 5.50 0.0200 0.900   Fe -1.55e-05  5.85e-03  5.87e-03  4.60e+00
 6.00 0.0200 0.929    p -3.52e-01  3.14e+00  3.49e+00  5.08e+00
 6.00 0.0200 0.929   He  3.31e-01  1.82e+00  1.49e+00  5.08e+00
 6.00 0.0200 0.929    C -9.30e-03  6.27e-03  1.56e-02  5.08e+00
 6.00 0.0200 0.929    N  3.62e-02  4.18e-02  5.63e-03  5.08e+00
 6.00 0.0200 0.929    O -8.06e-03  4.08e-02  4.88e-02  5.08e+00
 6.00 0.0200 0.929    F -8.13e-07  1.24e-06  2.06e-06  5.08e+00
 6.00 0.0200 0.929   Ne  8.65e-04  9.77e-03  8.90e-03  5.08e+00
 6.00 0.0200 0.929   Mg  3.23e-04  3.67e-03  3.35e-03  5.08e+00
 6.00 0.0200 0.929   Si  2.40e-05  3.63e-03  3.61e-03  5.08e+00
 6.00 0.0200 0.929    S -5.20e-06  2.98e-03  2.98e-03  5.08e+00
 6.00 0.0200 0.929   Fe -1.45e-05  6.45e-03  6.47e-03  5.08e+00
 6.50 0.0200 0.963    p -4.20e-01  3.39e+00  3.81e+00  5.54e+00
 6.50 0.0200 0.963   He  4.02e-01  2.03e+00  1.62e+00  5.54e+00
 6.50 0.0200 0.963    C -1.07e-02  6.29e-03  1.70e-02  5.54e+00
 6.50 0.0200 0.963    N  3.66e-02  4.27e-02  6.14e-03  5.54e+00
 6.50 0.0200 0.963    O -9.67e-03  4.36e-02  5.33e-02  5.54e+00
 6.50 0.0200 0.963    F -1.19e-06  1.05e-06  2.25e-06  5.54e+00
 6.50 0.0200 0.963   Ne  6.04e-04  1.03e-02  9.72e-03  5.54e+00
 6.50 0.0200 0.963   Mg  3.23e-04  3.98e-03  3.66e-03  5.54e+00
 6.50 0.0200 0.963   Si  2.57e-05  3.97e-03  3.94e-03  5.54e+00
 6.50 0.0200 0.963    S -4.70e-06  3.25e-03  3.26e-03  5.54e+00
 6.50 0.0200 0.963   Fe -1.34e-05  7.05e-03  7.06e-03  5.54e+00
