#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 3.50  1.345e-02 0.747    p -1.03e-01  1.86e+00  1.97e+00  2.75e+00
 3.50  1.345e-02 0.747   He  7.69e-02  8.28e-01  7.51e-01  2.75e+00
 3.50  1.345e-02 0.747    C  2.22e-02  2.79e-02  5.71e-03  2.75e+00
 3.50  1.345e-02 0.747    N  2.82e-03  4.88e-03  2.06e-03  2.75e+00
 3.50  1.345e-02 0.747    O -1.05e-03  1.69e-02  1.79e-02  2.75e+00
 3.50  1.345e-02 0.747    F  5.89e-06  6.64e-06  7.55e-07  2.75e+00
 3.50  1.345e-02 0.747   Ne  2.18e-03  5.44e-03  3.26e-03  2.75e+00
 3.50  1.345e-02 0.747   Mg  1.45e-04  1.38e-03  1.23e-03  2.75e+00
 3.50  1.345e-02 0.747   Si  5.12e-06  1.33e-03  1.32e-03  2.75e+00
 3.50  1.345e-02 0.747    S -2.38e-06  1.09e-03  1.09e-03  2.75e+00
 3.50  1.345e-02 0.747   Fe -3.63e-06  2.37e-03  2.37e-03  2.75e+00
 4.00  1.345e-02 0.822    p -7.79e-02  2.19e+00  2.28e+00  3.18e+00
 4.00  1.345e-02 0.822   He  6.00e-02  9.27e-01  8.67e-01  3.18e+00
 4.00  1.345e-02 0.822    C  1.41e-02  2.07e-02  6.60e-03  3.18e+00
 4.00  1.345e-02 0.822    N  3.44e-03  5.83e-03  2.39e-03  3.18e+00
 4.00  1.345e-02 0.822    O -9.78e-04  1.96e-02  2.06e-02  3.18e+00
 4.00  1.345e-02 0.822    F  2.65e-06  3.52e-06  8.70e-07  3.18e+00
 4.00  1.345e-02 0.822   Ne  1.01e-03  4.78e-03  3.77e-03  3.18e+00
 4.00  1.345e-02 0.822   Mg  1.33e-04  1.56e-03  1.42e-03  3.18e+00
 4.00  1.345e-02 0.822   Si  7.93e-06  1.54e-03  1.53e-03  3.18e+00
 4.00  1.345e-02 0.822    S -2.21e-06  1.26e-03  1.26e-03  3.18e+00
 4.00  1.345e-02 0.822   Fe -4.45e-06  2.74e-03  2.74e-03  3.18e+00
 4.50  1.345e-02 0.860    p -1.58e-01  2.44e+00  2.60e+00  3.64e+00
 4.50  1.345e-02 0.860   He  1.29e-01  1.12e+00  9.93e-01  3.64e+00
 4.50  1.345e-02 0.860    C  5.50e-03  1.30e-02  7.52e-03  3.64e+00
 4.50  1.345e-02 0.860    N  2.29e-02  2.56e-02  2.72e-03  3.64e+00
 4.50  1.345e-02 0.860    O -1.67e-03  2.19e-02  2.36e-02  3.64e+00
 4.50  1.345e-02 0.860    F  1.80e-06  2.79e-06  9.94e-07  3.64e+00
 4.50  1.345e-02 0.860   Ne  1.37e-03  5.68e-03  4.30e-03  3.64e+00
 4.50  1.345e-02 0.860   Mg  3.61e-04  1.98e-03  1.62e-03  3.64e+00
 4.50  1.345e-02 0.860   Si  1.91e-05  1.77e-03  1.75e-03  3.64e+00
 4.50  1.345e-02 0.860    S -4.52e-06  1.43e-03  1.44e-03  3.64e+00
 4.50  1.345e-02 0.860   Fe -1.18e-05  3.12e-03  3.12e-03  3.64e+00
 5.00  1.345e-02 0.885    p -2.60e-01  2.68e+00  2.94e+00  4.11e+00
 5.00  1.345e-02 0.885   He  2.25e-01  1.35e+00  1.12e+00  4.11e+00
 5.00  1.345e-02 0.885    C  2.22e-03  1.07e-02  8.52e-03  4.11e+00
 5.00  1.345e-02 0.885    N  3.47e-02  3.77e-02  3.08e-03  4.11e+00
 5.00  1.345e-02 0.885    O -3.77e-03  2.29e-02  2.67e-02  4.11e+00
 5.00  1.345e-02 0.885    F  1.10e-06  2.22e-06  1.12e-06  4.11e+00
 5.00  1.345e-02 0.885   Ne  1.60e-03  6.46e-03  4.86e-03  4.11e+00
 5.00  1.345e-02 0.885   Mg  5.15e-04  2.35e-03  1.83e-03  4.11e+00
 5.00  1.345e-02 0.885   Si  3.19e-05  2.00e-03  1.98e-03  4.11e+00
 5.00  1.345e-02 0.885    S -6.07e-06  1.62e-03  1.62e-03  4.11e+00
 5.00  1.345e-02 0.885   Fe -1.69e-05  3.52e-03  3.54e-03  4.11e+00
