#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 4.00 0.0000 1.099   Ne  0.00e+00  5.09e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099   Mg  0.00e+00  1.90e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099   Si  0.00e+00  2.04e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099    S  0.00e+00  1.07e-03  0.00e+00  2.90e+00
 4.00 0.0000 1.099   Fe  0.00e+00  5.35e-03  0.00e+00  2.90e+00
 4.50 0.0000 1.099    p  0.00e+00  2.40e+00  0.00e+00  3.40e+00
 4.50 0.0000 1.099   He  0.00e+00  9.33e-01  0.00e+00  3.40e+00
 4.50 0.0000 1.099    C  0.00e+00  1.05e-02  0.00e+00  3.40e+00
 4.50 0.0000 1.099    N  0.00e+00  3.78e-03  0.00e+00  3.40e+00
 4.50 0.0000 1.099    O  0.00e+00  3.27e-02  0.00e+00  3.40e+00
 4.50 0.0000 1.099    F  0.00e+00  1.66e-06  0.00e+00  3.40e+00
 4.50 0.0000 1.099   Ne  0.00e+00  5.97e-03  0.00e+00  3.40e+00
 4.50 0.0000 1.099   Mg  0.00e+00  2.23e-03  0.00e+00  3.40e+00
 4.50 0.0000 1.099   Si  0.00e+00  2.39e-03  0.00e+00  3.40e+00
 4.50 0.0000 1.099    S  0.00e+00  1.25e-03  0.00e+00  3.40e+00
 4.50 0.0000 1.099   Fe  0.00e+00  6.28e-03  0.00e+00  3.40e+00
 5.00 0.0000 1.099    p  0.00e+00  2.76e+00  0.00e+00  3.90e+00
 5.00 0.0000 1.099   He  0.00e+00  1.07e+00  0.00e+00  3.90e+00
 5.00 0.0000 1.099    C  0.00e+00  1.20e-02  0.00e+00  3.90e+00
 5.00 0.0000 1.099    N  0.00e+00  4.33e-03  0.00e+00  3.90e+00
 5.00 0.0000 1.099    O  0.00e+00  3.75e-02  0.00e+00  3.90e+00
 5.00 0.0000 1.099    F  0.00e+00  1.90e-06  0.00e+00  3.90e+00
 5.00 0.0000 1.099   Ne  0.00e+00  6.84e-03  0.00e+00  3.90e+00
 5.00 0.0000 1.099   Mg  0.00e+00  2.55e-03  0.00e+00  3.90e+00
 5.00 0.0000 1.099   Si  0.00e+00  2.75e-03  0.00e+00  3.90e+00
 5.00 0.0000 1.099    S  0.00e+00  1.43e-03  0.00e+00  3.90e+00
 5.00 0.0000 1.099   Fe  0.00e+00  7.20e-03  0.00e+00  3.90e+00
 5.50 0.0000 1.099    p  0.00e+00  3.11e+00  0.00e+00  4.40e+00
 5.50 0.0000 1.099   He  0.00e+00  1.21e+00  0.00e+00  4.40e+00
 5.50 0.0000 1.099    C  0.00e+00  1.36e-02  0.00e+00  4.40e+00
 5.50 0.0000 1.099    N  0.00e+00  4.89e-03  0.00e+00  4.40e+00
 5.50 0.0000 1.099    O  0.00e+00  4.24e-02  0.00e+00  4.40e+00
 5.50 0.0000 1.099    F  0.00e+00  2.15e-06  0.00e+00  4.40e+00
 5.50 0.0000 1.099   Ne  0.00e+00  7.72e-03  0.00e+00  4.40e+00
 5.50 0.0000 1.099   Mg  0.00e+00  2.88e-03  0.00e+00  4.40e+00
 5.50 0.0000 1.099   Si  0.00e+00  3.10e-03  0.00e+00  4.40e+00
 5.50 0.0000 1.099    S  0.00e+00  1.62e-03  0.00e+00  4.40e+00
 5.50 0.0000 1.099   Fe  0.00e+00  8.12e-03  0.00e+00  4.40e+00
 6.00 0.0000 1.099    p  0.00e+00  3.46e+00  0.00e+00  4.90e+00
 6.00 0.0000 1.099   He  0.00e+00  1.34e+00  0.00e+00  4.90e+00
 6.00 0.0000 1.099    C  0.00e+00  1.51e-02  0.00e+00  4.90e+00
 6.00 0.0000 1.099    N  0.00e+00  5.44e-03  0.00e+00  4.90e+00
 6.00 0.0000 1.099    O  0.00e+00  4.72e-02  0.00e+00  4.90e+00
 6.00 0.0000 1.099    F  0.00e+00  2.39e-06  0.00e+00  4.90e+00
 6.00 0.0000 1.099   Ne  0.00e+00  8.60e-03  0.00e+00  4.90e+00
 6.00 0.0000 1.099   Mg  0.00e+00  3.21e-03  0.00e+00  4.90e+00
 6.00 0.0000 1.099   Si  0.00e+00  3.45e-03  0.00e+00  4.90e+00
 6.00 0.0000 1.099    S  0.00e+00  1.80e-03  0.00e+00  4.90e+00
 6.00 0.0000 1.099   Fe  0.00e+00  9.05e-03  0.00e+00  4.90e+00
