#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 3.00 0.0040 0.731   He  1.18e-01  6.80e-01  5.62e-01  2.27e+00
 3.00 0.0040 0.731    C  3.77e-02  3.90e-02  1.40e-03  2.27e+00
 3.00 0.0040 0.731    N  7.14e-04  1.22e-03  5.03e-04  2.27e+00
 3.00 0.0040 0.731    O  7.98e-06  4.37e-03  4.36e-03  2.27e+00
 3.00 0.0040 0.731    F  1.13e-05  1.15e-05  1.84e-07  2.27e+00
 3.00 0.0040 0.731   Ne  3.54e-03  4.33e-03  7.96e-04  2.27e+00
 3.00 0.0040 0.731   Mg  2.50e-04  5.50e-04  3.00e-04  2.27e+00
 3.00 0.0040 0.731   Si  4.90e-06  3.27e-04  3.23e-04  2.27e+00
 3.00 0.0040 0.731    S -2.29e-06  2.64e-04  2.66e-04  2.27e+00
 3.00 0.0040 0.731   Fe -4.89e-06  5.74e-04  5.78e-04  2.27e+00
 3.50 0.0040 0.814    p -9.48e-02  1.92e+00  2.01e+00  2.69e+00
 3.50 0.0040 0.814   He  6.93e-02  7.34e-01  6.65e-01  2.69e+00
 3.50 0.0040 0.814    C  2.31e-02  2.48e-02  1.65e-03  2.69e+00
 3.50 0.0040 0.814    N  1.05e-03  1.65e-03  5.96e-04  2.69e+00
 3.50 0.0040 0.814    O  9.78e-05  5.26e-03  5.17e-03  2.69e+00
 3.50 0.0040 0.814    F  3.15e-06  3.36e-06  2.18e-07  2.69e+00
 3.50 0.0040 0.814   Ne  1.02e-03  1.97e-03  9.42e-04  2.69e+00
 3.50 0.0040 0.814   Mg  2.29e-04  5.84e-04  3.55e-04  2.69e+00
 3.50 0.0040 0.814   Si  1.03e-05  3.93e-04  3.82e-04  2.69e+00
 3.50 0.0040 0.814    S -2.21e-06  3.12e-04  3.15e-04  2.69e+00
 3.50 0.0040 0.814   Fe -5.82e-06  6.79e-04  6.85e-04  2.69e+00
 4.00 0.0040 0.852    p -1.63e-01  2.19e+00  2.36e+00  3.14e+00
 4.00 0.0040 0.852   He  1.30e-01  9.09e-01  7.80e-01  3.14e+00
 4.00 0.0040 0.852    C  8.98e-03  1.09e-02  1.93e-03  3.14e+00
 4.00 0.0040 0.852    N  2.30e-02  2.37e-02  6.99e-04  3.14e+00
 4.00 0.0040 0.852    O  1.97e-05  6.08e-03  6.06e-03  3.14e+00
 4.00 0.0040 0.852    F  2.31e-06  2.56e-06  2.55e-07  3.14e+00
 4.00 0.0040 0.852   Ne  9.97e-04  2.10e-03  1.10e-03  3.14e+00
 4.00 0.0040 0.852   Mg  3.81e-04  7.97e-04  4.15e-04  3.14e+00
 4.00 0.0040 0.852   Si  1.77e-05  4.66e-04  4.48e-04  3.14e+00
