# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
2.08640e+02 9.76689e+02 9.78211e+02 6.03378e+02 6.03900e+02
2.12822e+02 9.93522e+02 9.95130e+02 6.21699e+02 6.22280e+02
2.17088e+02 1.01018e+03 1.01188e+03 6.40216e+02 6.40862e+02
2.21440e+02 1.02664e+03 1.02844e+03 6.58900e+02 6.59619e+02
2.25879e+02 1.04289e+03 1.04478e+03 6.77723e+02 6.78524e+02
2.30406e+02 1.05889e+03 1.06090e+03 6.96655e+02 6.97546e+02
2.35025e+02 1.07463e+03 1.07675e+03 7.15663e+02 7.16656e+02
2.39736e+02 1.09009e+03 1.09233e+03 7.34715e+02 7.35821e+02
2.44541e+02 1.10524e+03 1.10761e+03 7.53776e+02 7.55007e+02
2.49443e+02 1.12006e+03 1.12258e+03 7.72811e+02 7.74182e+02
2.54443e+02 1.13455e+03 1.13721e+03 7.91785e+02 7.93311e+02
2.59544e+02 1.14867e+03 1.15148e+03 8.10661e+02 8.12360e+02
2.64746e+02 1.16241e+03 1.16540e+03 8.29406e+02 8.31295e+02
2.70053e+02 1.17576e+03 1.17892e+03 8.47984e+02 8.50083e+02
2.75466e+02 1.18870e+03 1.19206e+03 8.66360e+02 8.68691e+02
2.80988e+02 1.20122e+03 1.20478e+03 8.84503e+02 8.87089e+02
2.86620e+02 1.21331e+03 1.21710e+03 9.02381e+02 9.05247e+02
2.92366e+02 1.22496e+03 1.22898e+03 9.19964e+02 9.23138e+02
2.98226e+02 1.23617e+03 1.24044e+03 9.37226e+02 9.40736e+02
3.04204e+02 1.24692e+03 1.25146e+03 9.54140e+02 9.58019e+02
3.10302e+02 1.25721e+03 1.26205e+03 9.70686e+02 9.74965e+02
3.16522e+02 1.26705e+03 1.27221e+03 9.86843e+02 9.91559e+02
3.22866e+02 1.27643e+03 1.28192e+03 1.00260e+03 1.00779e+03
3.29338e+02 1.28536e+03 1.29121e+03 1.01793e+03 1.02363e+03
3.35940e+02 1.29383e+03 1.30008e+03 1.03283e+03 1.03909e+03
3.42674e+02 1.30186e+03 1.30853e+03 1.04730e+03 1.05416e+03
3.49542e+02 1.30945e+03 1.31657e+03 1.06133e+03 1.06884e+03
3.56549e+02 1.31660e+03 1.32421e+03 1.07491e+03 1.08312e+03
3.63696e+02 1.32334e+03 1.33147e+03 1.08805e+03 1.09701e+03
3.70986e+02 1.32967e+03 1.33837e+03 1.10075e+03 1.11052e+03
3.78423e+02 1.33561e+03 1.34491e+03 1.11303e+03 1.12366e+03
3.86008e+02 1.34116e+03 1.35111e+03 1.12488e+03 1.13644e+03
3.93746e+02 1.34635e+03 1.35700e+03 1.13632e+03 1.14887e+03
4.01638e+02 1.35118e+03 1.36260e+03 1.14736e+03 1.16098e+03
4.09689e+02 1.35569e+03 1.36791e+03 1.15801e+03 1.17277e+03
4.17901e+02 1.35988e+03 1.37297e+03 1.16830e+03 1.18426e+03
4.26278e+02 1.36377e+03 1.37780e+03 1.17823e+03 1.19549e+03
4.34823e+02 1.36738e+03 1.38243e+03 1.18782e+03 1.20646e+03
4.43539e+02 1.37074e+03 1.38687e+03 1.19710e+03 1.21720e+03
4.52429e+02 1.37385e+03 1.39115e+03 1.20609e+03 1.22775e+03
4.61498e+02 1.37674e+03 1.39529e+03 1.21479e+03 1.23810e+03
4.70749e+02 1.37944e+03 1.39933e+03 1.22323e+03 1.24831e+03
4.80185e+02 1.38195e+03 1.40328e+03 1.23142e+03 1.25838e+03
4.89810e+02 1.38430e+03 1.40718e+03 1.23940e+03 1.26834e+03
4.99629e+02 1.38650e+03 1.41104e+03 1.24717e+03 1.27822e+03
5.09644e+02 1.38858e+03 1.41490e+03 1.25475e+03 1.28804e+03
5.19859e+02 1.39055e+03 1.41879e+03 1.26216e+03 1.29783e+03
5.30280e+02 1.39243e+03 1.42272e+03 1.26941e+03 1.30761e+03
5.40909e+02 1.39424e+03 1.42673e+03 1.27653e+03 1.31739e+03
5.51752e+02 1.39600e+03 1.43084e+03 1.28352e+03 1.32722e+03
5.62812e+02 1.39771e+03 1.43507e+03 1.29041e+03 1.33710e+03
5.74093e+02 1.39940e+03 1.43946e+03 1.29720e+03 1.34707e+03
5.85601e+02 1.40107e+03 1.44403e+03 1.30391e+03 1.35713e+03
5.97339e+02 1.40275e+03 1.44881e+03 1.31055e+03 1.36732e+03
6.09313e+02 1.40445e+03 1.45383e+03 1.31713e+03 1.37766e+03
6.21526e+02 1.40617e+03 1.45910e+03 1.32367e+03 1.38817e+03
6.33985e+02 1.40794e+03 1.46467e+03 1.33017e+03 1.39886e+03
6.46693e+02 1.40976e+03 1.47055e+03 1.33665e+03 1.40976e+03
6.59656e+02 1.41164e+03 1.47677e+03 1.34312e+03 1.42089e+03
6.72879e+02 1.41359e+03 1.48337e+03 1.34957e+03 1.43227e+03
6.86366e+02 1.41563e+03 1.49037e+03 1.35604e+03 1.44392e+03
7.00125e+02 1.41776e+03 1.49780e+03 1.36251e+03 1.45586e+03
7.14159e+02 1.42000e+03 1.50570e+03 1.36901e+03 1.46811e+03
7.28474e+02 1.42234e+03 1.51408e+03 1.37553e+03 1.48069e+03
7.43076e+02 1.42480e+03 1.52300e+03 1.38210e+03 1.49362e+03
7.57971e+02 1.42739e+03 1.53247e+03 1.38871e+03 1.50693e+03
7.73164e+02 1.43012e+03 1.54253e+03 1.39538e+03 1.52062e+03
7.88662e+02 1.43299e+03 1.55322e+03 1.40211e+03 1.53474e+03
8.04471e+02 1.43601e+03 1.56458e+03 1.40891e+03 1.54928e+03
8.20597e+02 1.43919e+03 1.57664e+03 1.41580e+03 1.56429e+03
8.37045e+02 1.44254e+03 1.58945e+03 1.42278e+03 1.57978e+03
8.53824e+02 1.44607e+03 1.60305e+03 1.42986e+03 1.59577e+03
8.70939e+02 1.44978e+03 1.61747e+03 1.43705e+03 1.61229e+03
8.88397e+02 1.45368e+03 1.63277e+03 1.44437e+03 1.62936e+03
9.06205e+02 1.45779e+03 1.64900e+03 1.45181e+03 1.64701e+03
9.24369e+02 1.46210e+03 1.66620e+03 1.45940e+03 1.66527e+03
9.42898e+02 1.46664e+03 1.68443e+03 1.46714e+03 1.68415e+03
9.61799e+02 1.47141e+03 1.70374e+03 1.47505e+03 1.70369e+03
9.81078e+02 1.47643e+03 1.72418e+03 1.48313e+03 1.72392e+03
1.00074e+03 1.48169e+03 1.74582e+03 1.49140e+03 1.74486e+03
1.02080e+03 1.48723e+03 1.76872e+03 1.49987e+03 1.76654e+03
1.04127e+03 1.49304e+03 1.79294e+03 1.50856e+03 1.78900e+03
1.06214e+03 1.49914e+03 1.81854e+03 1.51747e+03 1.81227e+03
1.08343e+03 1.50555e+03 1.84561e+03 1.52663e+03 1.83638e+03
1.10514e+03 1.51227e+03 1.87419e+03 1.53604e+03 1.86136e+03
1.12730e+03 1.51933e+03 1.90438e+03 1.54571e+03 1.88725e+03
1.14989e+03 1.52673e+03 1.93625e+03 1.55567e+03 1.91409e+03
1.17294e+03 1.53449e+03 1.96987e+03 1.56592e+03 1.94190e+03
1.19646e+03 1.54264e+03 2.00533e+03 1.57648e+03 1.97074e+03
1.22044e+03 1.55118e+03 2.04271e+03 1.58737e+03 2.00064e+03
1.24490e+03 1.56013e+03 2.08210e+03 1.59860e+03 2.03164e+03
1.26986e+03 1.56951e+03 2.12358e+03 1.61018e+03 2.06378e+03
1.29531e+03 1.57934e+03 2.16725e+03 1.62213e+03 2.09711e+03
1.32127e+03 1.58963e+03 2.21320e+03 1.63446e+03 2.13167e+03
1.34776e+03 1.60042e+03 2.26152e+03 1.64720e+03 2.16751e+03
1.37477e+03 1.61170e+03 2.31232e+03 1.66035e+03 2.20468e+03
