energy[ev]	n-1     k
      1144.10  -0.00049820925   0.00010515987
      1144.20  -0.00049812362   0.00010512766
      1144.30  -0.00049803791   0.00010509541
      1144.40  -0.00049795233   0.00010506322
      1144.50  -0.00049786677   0.00010503103
      1144.60  -0.00049778123   0.00010499886
      1144.70  -0.00049769571   0.00010496669
      1144.80  -0.00049761011   0.00010493450
      1144.90  -0.00049752464   0.00010490235
      1145.00  -0.00049743919   0.00010487021
      1145.10  -0.00049735376   0.00010483809
      1145.20  -0.00049726836   0.00010480597
      1145.30  -0.00049718287   0.00010477382
      1145.40  -0.00049709751   0.00010474172
      1145.50  -0.00049701217   0.00010470963
      1145.60  -0.00049692686   0.00010467755
      1145.70  -0.00049684156   0.00010464548
      1145.80  -0.00049675619   0.00010461338
      1145.90  -0.00049667094   0.00010458133
      1146.00  -0.00049658571   0.00010454929
      1146.10  -0.00049650050   0.00010451726
      1146.20  -0.00049641532   0.00010448524
      1146.30  -0.00049633006   0.00010445319
      1146.40  -0.00049624492   0.00010442119
      1146.50  -0.00049615980   0.00010438919
      1146.60  -0.00049607471   0.00010435721
      1146.70  -0.00049598964   0.00010432524
      1146.80  -0.00049590448   0.00010429323
      1146.90  -0.00049581945   0.00010426128
      1147.00  -0.00049573445   0.00010422933
      1147.10  -0.00049564946   0.00010419740
      1147.20  -0.00049556450   0.00010416547
      1147.30  -0.00049547946   0.00010413352
      1147.40  -0.00049539454   0.00010410161
      1147.50  -0.00049530965   0.00010406971
      1147.60  -0.00049522477   0.00010403782
      1147.70  -0.00049513992   0.00010400595
      1147.80  -0.00049505499   0.00010397404
      1147.90  -0.00049497018   0.00010394218
      1148.00  -0.00049488540   0.00010391033
      1148.10  -0.00049480063   0.00010387849
      1148.20  -0.00049471589   0.00010384666
      1148.30  -0.00049463107   0.00010381480
      1148.40  -0.00049454637   0.00010378299
      1148.50  -0.00049446170   0.00010375119
      1148.60  -0.00049437704   0.00010371939
      1148.70  -0.00049429241   0.00010368761
      1148.80  -0.00049420770   0.00010365580
      1148.90  -0.00049412311   0.00010362403
      1149.00  -0.00049403855   0.00010359228
      1149.10  -0.00049395400   0.00010356053
      1149.20  -0.00049386948   0.00010352880
      1149.30  -0.00049378488   0.00010349703
      1149.40  -0.00049370040   0.00010346532
      1149.50  -0.00049361595   0.00010343361
      1149.60  -0.00049353151   0.00010340191
      1149.70  -0.00049344710   0.00010337022
      1149.80  -0.00049336261   0.00010333850
      1149.90  -0.00049327824   0.00010330684
      1150.00  -0.00049319390   0.00010327518
      1150.10  -0.00049310957   0.00010324352
      1150.20  -0.00049302527   0.00010321188
      1150.30  -0.00049294089   0.00010318021
      1150.40  -0.00049285663   0.00010314859
      1150.50  -0.00049277239   0.00010311698
      1150.60  -0.00049268818   0.00010308538
      1150.70  -0.00049260398   0.00010305378
      1150.80  -0.00049251971   0.00010302216
      1150.90  -0.00049243556   0.00010299058
      1151.00  -0.00049235143   0.00010295902
      1151.10  -0.00049226733   0.00010292746
      1151.20  -0.00049218324   0.00010289591
      1151.30  -0.00049209908   0.00010286434
      1151.40  -0.00049201504   0.00010283281
      1151.50  -0.00049193102   0.00010280129
      1151.60  -0.00049184702   0.00010276978
      1151.70  -0.00049176305   0.00010273828
      1151.80  -0.00049167899   0.00010270675
      1151.90  -0.00049159506   0.00010267527
      1152.00  -0.00049151115   0.00010264380
      1152.10  -0.00049142726   0.00010261234
      1152.20  -0.00049134339   0.00010258089
      1152.30  -0.00049125945   0.00010254940
      1152.40  -0.00049117562   0.00010251797
      1152.50  -0.00049109182   0.00010248654
      1152.60  -0.00049100804   0.00010245513
      1152.70  -0.00049092429   0.00010242372
      1152.80  -0.00049084045   0.00010239229
      1152.90  -0.00049075673   0.00010236090
      1153.00  -0.00049067304   0.00010232952
      1153.10  -0.00049058937   0.00010229815
      1153.20  -0.00049050572   0.00010226679
      1153.30  -0.00049042199   0.00010223541
      1153.40  -0.00049033838   0.00010220407
      1153.50  -0.00049025480   0.00010217273
      1153.60  -0.00049017123   0.00010214141
      1153.70  -0.00049008769   0.00010211010
      1153.80  -0.00049000407   0.00010207876
      1153.90  -0.00048992057   0.00010204746
      1154.00  -0.00048983709   0.00010201618
      1154.10  -0.00048975364   0.00010198490
      1154.20  -0.00048967021   0.00010195364
      1154.30  -0.00048958669   0.00010192234
      1154.40  -0.00048950330   0.00010189110
      1154.50  -0.00048941993   0.00010185986
      1154.60  -0.00048933659   0.00010182863
      1154.70  -0.00048925326   0.00010179741
      1154.80  -0.00048916985   0.00010176616
      1154.90  -0.00048908657   0.00010173496
      1155.00  -0.00048900331   0.00010170377
      1155.10  -0.00048891935   0.00010167310
      1155.20  -0.00048883542   0.00010164244
      1155.30  -0.00048875140   0.00010161175
      1155.40  -0.00048866751   0.00010158111
      1155.50  -0.00048858364   0.00010155047
      1155.60  -0.00048849979   0.00010151985
      1155.70  -0.00048841597   0.00010148924
      1155.80  -0.00048833206   0.00010145859
      1155.90  -0.00048824828   0.00010142800
      1156.00  -0.00048816452   0.00010139741
      1156.10  -0.00048808078   0.00010136683
      1156.20  -0.00048799706   0.00010133626
      1156.30  -0.00048791326   0.00010130566
      1156.40  -0.00048782959   0.00010127511
      1156.50  -0.00048774593   0.00010124457
      1156.60  -0.00048766230   0.00010121404
      1156.70  -0.00048757869   0.00010118351
      1156.80  -0.00048749500   0.00010115296
      1156.90  -0.00048741143   0.00010112245
      1157.00  -0.00048732789   0.00010109196
      1157.10  -0.00048724437   0.00010106147
      1157.20  -0.00048716087   0.00010103099
      1157.30  -0.00048707728   0.00010100048
      1157.40  -0.00048699382   0.00010097002
      1157.50  -0.00048691039   0.00010093957
      1157.60  -0.00048682694   0.00010090913
      1157.70  -0.00048674321   0.00010087872
      1157.80  -0.00048665941   0.00010084827
      1157.90  -0.00048657573   0.00010081788
      1158.00  -0.00048649207   0.00010078749
      1158.10  -0.00048640843   0.00010075711
      1158.20  -0.00048632481   0.00010072674
      1158.30  -0.00048624112   0.00010069634
      1158.40  -0.00048615754   0.00010066599
      1158.50  -0.00048607399   0.00010063565
      1158.60  -0.00048599046   0.00010060531
      1158.70  -0.00048590695   0.00010057499
      1158.80  -0.00048582336   0.00010054463
      1158.90  -0.00048573990   0.00010051433
      1159.00  -0.00048565645   0.00010048403
      1159.10  -0.00048557303   0.00010045374
      1159.20  -0.00048548963   0.00010042346
      1159.30  -0.00048540615   0.00010039315
      1159.40  -0.00048532279   0.00010036289
      1159.50  -0.00048523946   0.00010033264
      1159.60  -0.00048515614   0.00010030239
      1159.70  -0.00048507285   0.00010027216
      1159.80  -0.00048498947   0.00010024189
      1159.90  -0.00048490622   0.00010021168
      1160.00  -0.00048482300   0.00010018147
      1160.10  -0.00048473979   0.00010015127
      1160.20  -0.00048465660   0.00010012108
      1160.30  -0.00048457334   0.00010009086
      1160.40  -0.00048449020   0.00010006069
      1160.50  -0.00048440707   0.00010003052
      1160.60  -0.00048432397   0.00010000037
      1160.70  -0.00048424090   9.9970220e-05
      1160.80  -0.00048415774   9.9940046e-05
      1160.90  -0.00048407470   9.9909918e-05
      1161.00  -0.00048399169   9.9879798e-05
      1161.10  -0.00048390870   9.9849688e-05
      1161.20  -0.00048382572   9.9819586e-05
      1161.30  -0.00048374267   9.9789456e-05
      1161.40  -0.00048365975   9.9759372e-05
      1161.50  -0.00048357684   9.9729297e-05
      1161.60  -0.00048349395   9.9699231e-05
      1161.70  -0.00048341109   9.9669174e-05
