# wavelength (nm)
# intensity (erg s-1 cm-2 nm-1 sr-1)
col1 col2
95.48 1.925597946235326e-06
95.49 1.9263617344985244e-06
95.5 1.9271263559558374e-06
95.51 1.9278921413608186e-06
95.52 1.9286587593672983e-06
95.53 1.929426209713807e-06
95.54 1.93019482305031e-06
95.55 1.9309639372582813e-06
95.56 1.931734213864607e-06
95.57 1.9325053216969568e-06
95.58 1.9332775912672667e-06
95.59 1.93405036073447e-06
95.6 1.9348242913489714e-06
95.61 1.935599052077382e-06
95.62 1.9363746426592605e-06
95.63 1.937151393434168e-06
95.64 1.9379286429075277e-06
95.65 1.9387070519844564e-06
95.66 1.9394862898050793e-06
95.67 1.9402663561095186e-06
95.68 1.941047581065138e-06
95.69 1.9418293035234887e-06
95.7 1.9426121840447623e-06
95.71 1.943395891942411e-06
95.72 1.9441804269571213e-06
95.73 1.944965788829692e-06
95.74 1.9457519773010277e-06
95.75 1.9465393222977054e-06
95.76 1.9473274933063215e-06
95.77 1.9481161599515186e-06
95.78 1.948905982242341e-06
95.79 1.949696959816859e-06
95.8 1.9504884322868254e-06
95.81 1.951280729476067e-06
95.82 1.952074181070727e-06
95.83 1.952868126889571e-06
95.84 1.9536632265288923e-06
95.85 1.9544591497864765e-06
95.86 1.9552558964045652e-06
95.87 1.956053466125511e-06
95.88 1.9568518586917713e-06
95.89 1.9576510738459125e-06
95.9 1.9584511113306073e-06
95.91 1.959252300523375e-06
95.92 1.9600539818632616e-06
95.93 1.960856814328386e-06
95.94 1.9616601384954726e-06
95.95 1.96246461320542e-06
95.96 1.963269908635554e-06
95.97 1.964076024529318e-06
95.98 1.9648829606302637e-06
95.99 1.9656903873220365e-06
96.0 1.9664989631027374e-06
96.01 1.9673083583219083e-06
96.02 1.96811857272353e-06
96.03 1.96892993527451e-06
96.04 1.969741787239114e-06
96.05 1.9705544576187513e-06
96.06 1.9713679461578262e-06
96.07 1.972182252600851e-06
96.08 1.972997376692442e-06
96.09 1.973813318177325e-06
96.1 1.9746304057833447e-06
96.11 1.975447981255178e-06
96.12 1.9762663733551198e-06
96.13 1.977085581828319e-06
96.14 1.9779056064200296e-06
96.15 1.978726446875613e-06
96.16 1.9795481029405366e-06
96.17 1.9803709031039273e-06
96.18 1.981194189590173e-06
96.19 1.982018290922801e-06
96.2 1.982843206847701e-06
96.21 1.9836689371108686e-06
96.22 1.9844951528856776e-06
96.23 1.9853225110979334e-06
96.24 1.9861506828870694e-06
96.25 1.9869796679995025e-06
96.26 1.9878091377455663e-06
96.27 1.9886397487783865e-06
96.28 1.9894708440064166e-06
96.29 1.9903030799465276e-06
96.3 1.991135799643823e-06
96.31 1.991969331213292e-06
96.32 1.9928040026336714e-06
96.33 1.9936391571549235e-06
96.34 1.9944751227900716e-06
96.35 1.995311571157164e-06
96.36 1.9961491582966043e-06
96.37 1.996987555792593e-06
96.38 1.9978264353656256e-06
96.39 1.998666452852129e-06
96.4 1.9995069519795635e-06
96.41 2.0003482605232485e-06
96.42 2.001190378231342e-06
96.43 2.0020333048521085e-06
96.44 2.002877040133916e-06
96.45 2.0037212560360434e-06
96.46 2.0045666079194364e-06
96.47 2.005412439988357e-06
96.48 2.006259079780761e-06
96.49 2.0071065270455194e-06
96.5 2.0079547815316032e-06
96.51 2.0088035154026806e-06
96.52 2.009653383612688e-06
96.53 2.0105037307740194e-06
96.54 2.0113548842214493e-06
96.55 2.0122068437044484e-06
96.56 2.013059281556812e-06
96.57 2.013912852393684e-06
96.58 2.0147669011671745e-06
96.59 2.0156217550429307e-06
96.6 2.0164774137709196e-06
96.61 2.017333877101212e-06
96.62 2.018190817571526e-06
96.63 2.019048562212324e-06
96.64 2.019907110773966e-06
96.65 2.0207664630069162e-06
96.66 2.021626291584692e-06
96.67 2.022486923402684e-06
96.68 2.0233483582116435e-06
96.69 2.0242105957624288e-06
96.7 2.0250736358059964e-06
96.71 2.0259371511854622e-06
96.72 2.0268014686275375e-06
96.73 2.0276662610431123e-06
96.74 2.0285321818980365e-06
96.75 2.0293985772968192e-06
96.76 2.0302657738313528e-06
96.77 2.0311334445480173e-06
96.78 2.0320022426428244e-06
96.79 2.032871514490844e-06
96.8 2.0337412599452544e-06
96.81 2.0346121319998284e-06
96.82 2.0354834772324063e-06
96.83 2.036355621999205e-06
96.84 2.0372282395834352e-06
96.85 2.0381016562740313e-06
96.86 2.03897587182349e-06
96.87 2.039850559616414e-06
96.88 2.0407263721751835e-06
96.89 2.041602330249656e-06
96.9 2.0424794125956406e-06
96.91 2.0433569663985287e-06
96.92 2.0442353177120146e-06
96.93 2.045114140123295e-06
96.94 2.045993759618906e-06
96.95 2.0468741759521987e-06
96.96 2.0477550628115723e-06
96.97 2.048636746082888e-06
96.98 2.049519225519782e-06
96.99 2.0504021749117928e-06
97.0 2.0512859200441676e-06
97.01 2.0521701347738293e-06
97.02 2.0530551448189794e-06
97.03 2.053940949933719e-06
97.04 2.054827224076006e-06
97.05 2.0557142928635304e-06
97.06 2.056601830321565e-06
97.07 2.057490162000823e-06
97.08 2.058379287655869e-06
97.09 2.059268881412908e-06
97.1 2.060159268722243e-06
97.11 2.0610501237773226e-06
97.12 2.061941771961544e-06
97.13 2.062834213029935e-06
97.14 2.0637271212767712e-06
97.15 2.064620496557786e-06
97.16 2.0655146641226387e-06
97.17 2.06640962372672e-06
97.18 2.067305049798628e-06
97.19 2.068201267487799e-06
97.2 2.06909795128995e-06
97.21 2.069995426287731e-06
97.22 2.070893367043952e-06
97.23 2.071792098574502e-06
97.24 2.0726912955092573e-06
97.25 2.0735912827973747e-06
97.26 2.0744917351357667e-06
97.27 2.075392977406887e-06
97.28 2.0762946843746563e-06
97.29 2.0771971808548508e-06
97.3 2.078100141678374e-06
97.31 2.0790038915943517e-06
97.32 2.0799081055006408e-06
97.33 2.0808131080797454e-06
97.34 2.081718574296448e-06
97.35 2.0826248287666585e-06
97.36 2.0835315465220577e-06
97.37 2.0844390521119863e-06
97.38 2.085347020634999e-06
97.39 2.0862554519484924e-06
97.4 2.087164670501996e-06
97.41 2.0880746760530577e-06
97.42 2.088984819308458e-06
97.43 2.089896073702172e-06
97.44 2.0908074655156294e-06
97.45 2.0917196435575828e-06
97.46 2.092632607586017e-06
97.47 2.093546033000056e-06
97.48 2.0944599196577054e-06
97.49 2.095374591709447e-06
97.5 2.0962897246544657e-06
97.51 2.097205642576863e-06
97.52 2.0981216968498483e-06
97.53 2.099038859909725e-06
97.54 2.0999561590369223e-06
97.55 2.100874566468461e-06
97.56 2.1017931096843275e-06
97.57 2.102712436695817e-06
97.58 2.103632223268643e-06
97.59 2.104552793221649e-06
97.6 2.1054734984601945e-06
97.61 2.1063953106239135e-06
97.62 2.107317257790956e-06
97.63 2.108239987574611e-06
97.64 2.1091634997344185e-06
97.65 2.1100871465078925e-06
97.66 2.111011575309502e-06
97.67 2.1119364622042772e-06
97.68 2.112862130713152e-06
97.69 2.113788256967603e-06
97.7 2.114714840827073e-06
97.71 2.1156422057133163e-06
97.72 2.1165700278574163e-06
97.73 2.1174983071190093e-06
97.74 2.118427043357789e-06
97.75 2.1193565598633553e-06
97.76 2.120286532999501e-06
97.77 2.1212169626261115e-06
97.78 2.1221481719337466e-06
97.79 2.1230798373856643e-06
97.8 2.1240119588419417e-06
97.81 2.1249448593941612e-06
97.82 2.12587789240658e-06
97.83 2.1268117041693094e-06
97.84 2.1277459713112325e-06
97.85 2.128681016792046e-06
97.86 2.1296165173068436e-06
97.87 2.130552472716147e-06
97.88 2.131488882880531e-06
97.89 2.1324257476606277e-06
97.9 2.1333633898514255e-06
97.91 2.134301486313408e-06
97.92 2.1352400369073975e-06
97.93 2.1361790414942764e-06
97.94 2.1371188227373885e-06
97.95 2.138058734859958e-06
97.96 2.138999423294908e-06
97.97 2.1399405651009584e-06
97.98 2.140882482809919e-06
97.99 2.141824530908853e-06
98.0 2.1427673545673922e-06
98.01 2.1437106309762857e-06
98.02 2.1446543599969655e-06
98.03 2.14559854149092e-06
98.04 2.146543497792843e-06
98.05 2.147488583785147e-06
98.06 2.1484344442429126e-06
98.07 2.1493807565547255e-06
98.08 2.150327520582375e-06
98.09 2.151274736187706e-06
98.1 2.152222403232625e-06
98.11 2.1531708438221583e-06
98.12 2.1541194132993396e-06
98.13 2.155068755979555e-06
98.14 2.156018549481879e-06
98.15 2.1569687936685174e-06
98.16 2.157919488401731e-06
98.17 2.1588706335438344e-06
98.18 2.159822550970521e-06
98.19 2.1607745964847856e-06
98.2 2.161727413942969e-06
98.21 2.1626803592793583e-06
98.22 2.1636340762192548e-06
98.23 2.1645882426775945e-06
98.24 2.165542858517106e-06
98.25 2.166497923600573e-06
98.26 2.167453437790837e-06
98.27 2.1684094009507924e-06
98.28 2.1693658129433927e-06
98.29 2.170322673631644e-06
98.3 2.171279982878612e-06
98.31 2.172238062134919e-06
98.32 2.1731962680560213e-06
98.33 2.174155243647466e-06
98.34 2.175114345695652e-06
98.35 2.1760742170754314e-06
98.36 2.177034214704094e-06
98.37 2.1779949813258502e-06
98.38 2.1789558739888277e-06
98.39 2.179917535306647e-06
98.4 2.1808796437515915e-06
98.41 2.181841877926633e-06
98.42 2.1828048802496088e-06
98.43 2.1837683292909532e-06
98.44 2.18473190375171e-06
98.45 2.18569624585405e-06
98.46 2.186660713168921e-06
98.47 2.187625947788117e-06
98.48 2.1885916284455243e-06
98.49 2.1895574340055067e-06
98.5 2.190524006364393e-06
98.51 2.191490703419457e-06
98.52 2.1924581669367844e-06
98.53 2.193425754944088e-06
98.54 2.1943941090772594e-06
98.55 2.1953625874944e-06
98.56 2.1963315109294694e-06
98.57 2.1973008792470266e-06
98.58 2.1982710130183963e-06
98.59 2.199241270662291e-06
98.6 2.2002119727826838e-06
98.61 2.20118311924435e-06
98.62 2.202154389335488e-06
98.63 2.2031264241067578e-06
98.64 2.204098902813956e-06
98.65 2.2050718253220805e-06
98.66 2.20604487104952e-06
98.67 2.2070183603729955e-06
98.68 2.207992613539365e-06
98.69 2.208966989617928e-06
98.7 2.209941808888121e-06
98.71 2.2109170712152494e-06
98.72 2.2118927764646725e-06
98.73 2.212868604282339e-06
98.74 2.2138451950050793e-06
98.75 2.2148219080919025e-06
98.76 2.2157993837500244e-06
98.77 2.216776981568262e-06
98.78 2.2177550215668907e-06
98.79 2.2187335036116333e-06
98.8 2.2197121075756754e-06
98.81 2.220691473342409e-06
98.82 2.2216709608249126e-06
98.83 2.2226508898816926e-06
98.84 2.2236312603787238e-06
98.85 2.224612072182032e-06
98.86 2.2255933251576995e-06
98.87 2.2265746994058277e-06
98.88 2.227556834357013e-06
98.89 2.2285390903777573e-06
98.9 2.2295217871003725e-06
98.91 2.2305046047544745e-06
98.92 2.2314881825121956e-06
98.93 2.2324718809988427e-06
98.94 2.2334560197176077e-06
98.95 2.234440598535019e-06
98.96 2.235425297842441e-06
98.97 2.2364107564892284e-06
98.98 2.237396335423901e-06
98.99 2.2383823539884018e-06
99.0 2.2393684927033717e-06
99.01 2.240355390160175e-06
99.02 2.2413424075656615e-06
99.03 2.2423298641328906e-06
99.04 2.2433174405116743e-06
99.05 2.2443057750355933e-06
99.06 2.2452942291696197e-06
99.07 2.2462828028775343e-06
99.08 2.24727213429971e-06
99.09 2.24826158509457e-06
