name,formula,Nc,Nh,url_gen,symmetry_neutral,symmetry_ions,IP1_adiab_eV,IP1_vert_eV,IP1_exp_eV,IP2_singlet_adiab_eV,IP2_singlet_vert_eV,IP2_triplet_adiab_eV,IP2_triplet_vert_eV,IP2_exp_eV,EA_adiab_eV,EA_vert_eV,EA_exp_eV,ZPE_anion_kcalmol,ZPE_neutral_kcalmol,ZPE_cation_kcalmol,ZPE_dication_T_kcalmol,pol_anion_axx_Ang3,pol_anion_ayy_Ang3,pol_anion_azz_Ang3,pol_anion_amean_Ang3,pol_neutral_axx_Ang3,pol_neutral_ayy_Ang3,pol_neutral_azz_Ang3,pol_neutral_amean_Ang3,pol_cation_axx_Ang3,pol_cation_ayy_Ang3,pol_cation_azz_Ang3,pol_cation_amean_Ang3,pol_dication_S_axx_Ang3,pol_dication_S_ayy_Ang3,pol_dication_S_azz_Ang3,pol_dication_S_amean_Ang3,rot_anion_A_cm-1,rot_anion_B_cm-1,rot_anion_C_cm-1,rot_neutral_A_cm-1,rot_neutral_B_cm-1,rot_neutral_C_cm-1,rot_cation_A_cm-1,rot_cation_B_cm-1,rot_cation_C_cm-1,rot_dication_S_A_cm-1,rot_dication_S_B_cm-1,rot_dication_S_C_cm-1,rot_dication_T_A_cm-1,rot_dication_T_B_cm-1,rot_dication_T_C_cm-1,vdW_alpha0_au,vdW_omega1,vdW_C6_x1e-3_au,vdW_KAA_x1e-6_au
Chrysene,C18H12,18,12,https://www.dsf.unica.it/~gmalloci/pahs/chrysene/chrysene_gen.html,,,7.17,7.25,7.6,18.45,18.78,18.84,18.94,,0.29,0.19,,150.0,154.0,154.0,,38.0,90.0,19.0,49.0,33.0,58.0,15.0,35.333333333333336,32.0,74.0,14.0,40.0,31.0,76.0,13.0,40.0,0.04195,0.008601,0.007138,0.04188,0.008742,0.007232,0.04228,0.008674,0.007197,0.04269,0.008553,0.007126,0.04139,0.008748,0.007222,239.0,0.373,15.9,2.27
Triphenylene,C18H12,18,12,https://www.dsf.unica.it/~gmalloci/pahs/triphenylene/triphenylene_gen.html,,,7.52,7.86,7.87,19.24,19.59,19.09,19.2,,0.01,,,149.0,154.0,153.0,153.0,59.0,67.0,22.0,49.333333333333336,44.0,44.0,16.0,34.666666666666664,47.0,52.0,14.0,37.666666666666664,46.0,49.0,13.0,36.0,0.01697,0.01681,0.008445,0.01704,0.01704,0.008518,0.01724,0.01685,0.008521,0.01736,0.01661,0.008489,0.017,0.017,0.0085,231.0,0.39,15.7,2.14
Benzo[a]anthracene,C18H12,18,12,https://www.dsf.unica.it/~gmalloci/pahs/benzoanthracene/benzoanthracene_gen.html,,,6.98,7.05,7.45,18.14,18.42,18.33,18.48,,0.56,0.47,0.39,150.0,153.0,154.0,,83.0,40.0,18.0,47.0,60.0,34.0,16.0,36.666666666666664,70.0,34.0,14.0,39.333333333333336,76.0,32.0,13.0,40.333333333333336,0.03896,0.008411,0.006917,0.03896,0.008514,0.006987,0.03925,0.008491,0.006981,0.0398,0.008393,0.006931,0.03878,0.008499,0.006971,246.0,0.364,16.6,2.42
Corannulene,C20H10,20,10,https://www.dsf.unica.it/~gmalloci/pahs/corannulene/corannulene_gen.html,,,7.62,7.73,7.83,19.63,20.14,19.28,19.5,20.1,0.62,0.5,,144.0,147.0,145.0,144.0,51.0,56.0,19.0,42.0,44.0,45.0,19.0,36.0,49.0,54.0,18.0,40.333333333333336,46.0,50.0,14.0,36.666666666666664,0.01667,0.01692,0.00867,0.01692,0.01692,0.008769,0.01662,0.01714,0.008721,0.01739,0.01621,0.00865,0.01719,0.01647,0.008708,244.0,0.39,17.5,2.38
Perylene,C20H12,20,12,https://www.dsf.unica.it/~gmalloci/pahs/perylene/perylene_gen.html,,,6.57,6.64,6.96,17.19,17.46,18.6,18.73,18.0,0.96,0.87,0.973,159.0,162.0,162.0,,67.0,51.0,19.0,45.666666666666664,56.0,44.0,16.0,38.666666666666664,60.0,43.0,15.0,39.333333333333336,57.0,43.0,14.0,38.0,0.02052,0.01102,0.007171,0.02076,0.01099,0.007186,0.02065,0.01109,0.007216,0.0205,0.01115,0.007221,0.02022,0.01118,0.007199,262.0,0.361,18.6,2.74
Benzo[a]pyrene,C20H12,20,12,https://www.dsf.unica.it/~gmalloci/pahs/benzo_a_pyrene/benzo_a_pyrene_gen.html,,,6.71,6.78,7.12,17.46,17.73,18.18,18.3,,0.77,0.67,0.815,159.0,162.0,162.0,,82.0,44.0,19.0,48.333333333333336,67.0,39.0,17.0,41.0,70.0,38.0,15.0,41.0,70.0,38.0,14.0,40.666666666666664,0.02839,0.00841,0.006488,0.0283,0.00853,0.006554,0.02852,0.008497,0.006547,0.02866,0.008442,0.006521,0.02804,0.00855,0.006552,277.0,0.345,19.8,3.06
Benzo[e]pyrene,C20H12,20,12,https://www.dsf.unica.it/~gmalloci/pahs/benzo_e_pyrene/benzo_e_pyrene_gen.html,,,7.05,7.12,7.43,18.25,18.51,18.38,18.52,,0.45,0.36,0.534,158.0,162.0,162.0,,63.0,62.0,21.0,48.666666666666664,50.0,48.0,17.0,38.333333333333336,59.0,49.0,15.0,41.0,60.0,48.0,14.0,40.666666666666664,0.01683,0.01285,0.007285,0.01708,0.01282,0.007322,0.01698,0.01291,0.007333,0.01684,0.01295,0.007322,0.01698,0.01282,0.007304,260.0,0.375,18.9,2.69
Anthanthrene,C22H12,22,12,https://www.dsf.unica.it/~gmalloci/pahs/anthanthrene/anthanthrene_gen.html,,,6.46,6.52,6.92,16.9,17.1,18.01,18.09,,1.05,0.97,,167.0,170.0,170.0,,52.0,85.0,20.0,52.333333333333336,45.0,73.0,17.0,45.0,46.0,74.0,16.0,45.333333333333336,345.0,71.0,15.0,143.66666666666666,0.02095,0.008087,0.005834,0.02085,0.008191,0.005881,0.02095,0.008186,0.005886,0.02098,0.008168,0.005879,0.02057,0.008246,0.005886,304.0,0.34,23.5,3.69
"Benzo[g,h,i]perylene",C22H12,22,12,https://www.dsf.unica.it/~gmalloci/pahs/benzoperylene/benzoperylene_gen.html,,,6.79,6.86,7.17,17.53,17.78,17.98,18.09,,0.73,0.65,0.42,167.0,170.0,170.0,,70.0,21.0,68.0,53.0,56.0,17.0,51.0,41.333333333333336,62.0,16.0,52.0,43.333333333333336,63.0,15.0,50.0,42.666666666666664,0.01473,0.01105,0.006313,0.01489,0.01104,0.00634,0.0148,0.01113,0.006352,0.01468,0.01118,0.006347,0.01489,0.011,0.006328,282.0,0.373,22.2,3.17
Pentacene,C22H14,22,14,https://www.dsf.unica.it/~gmalloci/pahs/pentacene/pentacene_gen.html,,,6.12,6.16,6.589,16.03,16.18,16.67,16.79,17.4,1.48,1.41,1.392,180.0,183.0,184.0,,138.0,43.0,22.0,67.66666666666667,99.0,39.0,19.0,52.333333333333336,124.0,37.0,17.0,59.333333333333336,136.0,35.0,16.0,62.333333333333336,0.04429,0.003861,0.003552,0.04396,0.003906,0.003588,0.04401,0.003917,0.003597,0.04398,0.003922,0.003601,0.0441,0.003899,0.003582,353.0,0.301,28.1,4.98
Coronene,C24H12,24,12,https://www.dsf.unica.it/~gmalloci/pahs/coronene/coronene_gen.html,,,7.02,7.08,7.29,17.88,18.11,17.74,17.8,18.7,0.47,0.38,0.47,173.0,178.0,177.0,178.0,72.0,69.0,21.0,54.0,61.0,61.0,19.0,47.0,64.0,60.0,17.0,47.0,66.0,61.0,16.0,47.666666666666664,0.01108,0.01099,0.005518,0.0111,0.0111,0.005552,0.01119,0.01103,0.005554,0.01124,0.01094,0.005544,0.0111,0.0111,0.005548,318.0,0.357,27.0,4.03
"Dibenzo[b,def]chrysene",C24H14,24,14,https://www.dsf.unica.it/~gmalloci/pahs/dibenzochrysene/dibenzochrysene_gen.html,,,6.39,6.45,,16.5,16.73,17.39,17.51,,1.1,1.03,,188.0,191.0,192.0,,49.0,120.0,22.0,63.666666666666664,45.0,93.0,20.0,52.666666666666664,44.0,106.0,18.0,56.0,43.0,111.0,17.0,57.0,0.0252,0.004645,0.003922,0.02507,0.004706,0.003962,0.02522,0.004693,0.003957,0.02532,0.004671,0.003944,0.02515,0.004681,0.003947,355.0,0.321,30.4,5.04
"Dibenzo[cd,lm]perylene",C26H14,26,14,https://www.dsf.unica.it/~gmalloci/pahs/dibenzoperylene/dibenzoperylene_gen.html,,,6.31,6.38,6.72,16.2,16.45,17.35,17.43,,1.17,1.08,,197.0,200.0,200.0,,120.0,56.0,23.0,66.33333333333333,100.0,50.0,20.0,56.666666666666664,104.0,51.0,19.0,58.0,101.0,50.0,18.0,56.333333333333336,0.01863,0.004603,0.003691,0.01855,0.004661,0.003725,0.01867,0.004646,0.00372,0.01876,0.004623,0.003709,0.01835,0.004687,0.003733,384.0,0.314,34.8,5.89
Hexacene,C26H16,26,16,https://www.dsf.unica.it/~gmalloci/pahs/hexacene/hexacene_gen.html,,,5.83,5.87,,15.18,15.3,15.68,15.78,,1.78,1.72,,210.0,212.0,213.0,,189.0,49.0,24.0,87.33333333333333,134.0,46.0,22.0,67.33333333333333,179.0,44.0,20.0,81.0,195.0,41.0,19.0,85.0,0.03712,0.002352,0.002211,0.03687,0.002374,0.002231,0.0369,0.002382,,0.03687,0.002386,0.002241,0.03695,0.002375,0.002232,454.0,0.272,42.1,8.23
