# Numerical radiation field:  mathis1983
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
   95.6100 5.853584e+05
   95.6200 5.856542e+05
   95.6300 5.859504e+05
   95.6400 5.862468e+05
   95.6500 5.865436e+05
   95.6600 5.868407e+05
   95.6700 5.871381e+05
   95.6800 5.874359e+05
   95.6900 5.877339e+05
   95.7000 5.880323e+05
   95.7100 5.883310e+05
   95.7200 5.886300e+05
   95.7300 5.889293e+05
   95.7400 5.892289e+05
   95.7500 5.895289e+05
   95.7600 5.898292e+05
   95.7700 5.901297e+05
   95.7800 5.904306e+05
   95.7900 5.907319e+05
   95.8000 5.910334e+05
   95.8100 5.913352e+05
   95.8200 5.916374e+05
   95.8300 5.919398e+05
   95.8400 5.922426e+05
   95.8500 5.925457e+05
   95.8600 5.928491e+05
   95.8700 5.931528e+05
   95.8800 5.934568e+05
   95.8900 5.937611e+05
   95.9000 5.940657e+05
   95.9100 5.943707e+05
   95.9200 5.946759e+05
   95.9300 5.949815e+05
   95.9400 5.952873e+05
   95.9500 5.955935e+05
   95.9600 5.959000e+05
   95.9700 5.962068e+05
   95.9800 5.965139e+05
   95.9900 5.968212e+05
   96.0000 5.971289e+05
   96.0100 5.974369e+05
   96.0200 5.977452e+05
   96.0300 5.980539e+05
   96.0400 5.983628e+05
   96.0500 5.986720e+05
   96.0600 5.989815e+05
   96.0700 5.992913e+05
   96.0800 5.996014e+05
   96.0900 5.999118e+05
   96.1000 6.002226e+05
   96.1100 6.005336e+05
   96.1200 6.008449e+05
   96.1300 6.011565e+05
   96.1400 6.014684e+05
   96.1500 6.017806e+05
   96.1600 6.020931e+05
   96.1700 6.024060e+05
   96.1800 6.027191e+05
   96.1900 6.030325e+05
   96.2000 6.033462e+05
   96.2100 6.036602e+05
   96.2200 6.039744e+05
   96.2300 6.042890e+05
   96.2400 6.046039e+05
   96.2500 6.049191e+05
   96.2600 6.052345e+05
   96.2700 6.055503e+05
   96.2800 6.058663e+05
   96.2900 6.061827e+05
   96.3000 6.064993e+05
   96.3100 6.068162e+05
   96.3200 6.071335e+05
   96.3300 6.074510e+05
   96.3400 6.077688e+05
   96.3500 6.080868e+05
   96.3600 6.084052e+05
   96.3700 6.087239e+05
   96.3800 6.090428e+05
   96.3900 6.093621e+05
   96.4000 6.096816e+05
   96.4100 6.100014e+05
   96.4200 6.103215e+05
   96.4300 6.106419e+05
   96.4400 6.109626e+05
   96.4500 6.112835e+05
   96.4600 6.116048e+05
   96.4700 6.119263e+05
   96.4800 6.122481e+05
   96.4900 6.125702e+05
   96.5000 6.128926e+05
   96.5100 6.132152e+05
   96.5200 6.135382e+05
   96.5300 6.138614e+05
   96.5400 6.141849e+05
   96.5500 6.145087e+05
   96.5600 6.148327e+05
   96.5700 6.151571e+05
   96.5800 6.154817e+05
   96.5900 6.158066e+05
   96.6000 6.161318e+05
   96.6100 6.164573e+05
   96.6200 6.167830e+05
   96.6300 6.171090e+05
   96.6400 6.174353e+05
   96.6500 6.177619e+05
   96.6600 6.180887e+05
   96.6700 6.184158e+05
   96.6800 6.187432e+05
   96.6900 6.190709e+05
   96.7000 6.193989e+05
   96.7100 6.197271e+05
   96.7200 6.200556e+05
   96.7300 6.203843e+05
   96.7400 6.207134e+05
   96.7500 6.210427e+05
   96.7600 6.213723e+05
   96.7700 6.217021e+05
   96.7800 6.220323e+05
   96.7900 6.223627e+05
   96.8000 6.226933e+05
   96.8100 6.230243e+05
   96.8200 6.233555e+05
   96.8300 6.236870e+05
   96.8400 6.240187e+05
   96.8500 6.243507e+05
   96.8600 6.246830e+05
   96.8700 6.250155e+05
   96.8800 6.253484e+05
   96.8900 6.256814e+05
   96.9000 6.260148e+05
   96.9100 6.263484e+05
   96.9200 6.266823e+05
   96.9300 6.270164e+05
   96.9400 6.273508e+05
   96.9500 6.276855e+05
   96.9600 6.280204e+05
   96.9700 6.283556e+05
   96.9800 6.286911e+05
   96.9900 6.290268e+05
   97.0000 6.293628e+05
   97.0100 6.296990e+05
   97.0200 6.300355e+05
   97.0300 6.303723e+05
   97.0400 6.307093e+05
   97.0500 6.310466e+05
   97.0600 6.313841e+05
   97.0700 6.317219e+05
   97.0800 6.320600e+05
   97.0900 6.323983e+05
   97.1000 6.327369e+05
   97.1100 6.330757e+05
   97.1200 6.334148e+05
   97.1300 6.337542e+05
   97.1400 6.340938e+05
   97.1500 6.344336e+05
   97.1600 6.347737e+05
   97.1700 6.351141e+05
   97.1800 6.354547e+05
   97.1900 6.357956e+05
   97.2000 6.361367e+05
   97.2100 6.364781e+05
   97.2200 6.368197e+05
   97.2300 6.371616e+05
   97.2400 6.375037e+05
   97.2500 6.378461e+05
   97.2600 6.381887e+05
   97.2700 6.385316e+05
   97.2800 6.388747e+05
   97.2900 6.392181e+05
   97.3000 6.395617e+05
   97.3100 6.399056e+05
   97.3200 6.402497e+05
   97.3300 6.405941e+05
