# Object	Reference	Metallicity	[Fe/H]	[Mg/Fe]
CS22942-011	I.U.Roederer+AJ1471362014	-2.83	-2.88	0.44
CS22942-012	G.W.Preston+AJ12010142000	-1.24	-1.24	0.56
CS22942-019	T.Masseron+AAP509A932010	-2.43	-2.48	0.58
CS22942-019	W.Aoki+PASJ549332002	-2.64	-2.64	0.56
CS22942-019	W.Aoki+ApJ58011492002	-2.64	-2.64	
CS22942-019	G.W.Preston+AJ12215452001	-2.67	-2.67	0.75
CS22942-035	I.U.Roederer+AJ1471362014	-2.99	-3.08	0.47
CS22943-045	E.Arnone+AAP4305072005		-2.5	0.35
CS22943-059	I.U.Roederer+AJ1471362014	-2.64	-2.95	0.43
CS22943-095	I.U.Roederer+AJ1471362014	-2.44	-2.52	0.4
CS22943-095	P.E.Nissen+AAP4693192007	-2.24	-2.24	
CS22943-132	I.U.Roederer+MNRAS44529702014	-2.67	-2.67	
CS22943-132	I.U.Roederer+AJ1471362014	-2.67	-2.63	0.53
CS22943-137	I.U.Roederer+AJ1471362014	-3.39	-3.64	0.73
CS22943-137	K.A.Venn+AJ12811772004		-3.22	0.63
CS22943-201	I.U.Roederer+AJ1471362014	-2.69	-2.68	0.62
CS22943-201	I.U.Roederer+ApJ7841582014	-2.69	-2.68	0.62
CS22944-014	I.U.Roederer+AJ1471362014	-2.62	-2.64	0.49
CS22944-032	I.U.Roederer+AJ1471362014	-3.15	-3.22	0.55
CS22944-032	D.K.Lai+ApJ66711852007	-2.64	-2.47	
CS22944-032	D.K.Lai+ApJ68115242008	-3	-2.98	0.37
CS22944-032	D.K.Lai+AJ12824022004		-2.64	0.57
CS22944-039	G.W.Preston+AJ132852006	-2.3	-2.41	0.37
CS22944-061	I.U.Roederer+AJ1471362014	-2.95	-2.96	0.44
CS22945-017	I.U.Roederer+MNRAS44529702014	-2.73	-2.73	
CS22945-017	I.U.Roederer+AJ1471362014	-2.73	-2.89	0.42
CS22945-017	T.Masseron+AAP509A932010	-2.52	-2.57	0.59
CS22945-024	I.U.Roederer+AJ1471362014	-2.59	-2.58	0.46
CS22945-024	J.A.Johnson+ApJ65812032007	-2.26	-2.24	
CS22945-028	P.S.Barklem+AAP4391292005	-2.66	-2.66	0.3
CS22945-028	I.U.Roederer+AJ1471362014	-2.89	-2.92	0.47
CS22945-028	L.Zhang+AAP528A922011		-2.66	
CS22945-028	N.Christlieb+AAP42810272004	-2.38		
CS22945-028	J.Ren+AAP537A1182012	-2.66	-2.49	
CS22945-031	I.U.Roederer+AJ1471362014	-3.03	-3.29	0.6
CS22945-056	I.U.Roederer+AJ1471362014	-2.83	-2.82	0.49
CS22945-056	G.W.Preston+AJ132852006	-2.5	-2.9	0.61
CS22945-058	I.U.Roederer+MNRAS44529702014	-2.71	-2.71	
CS22945-058	I.U.Roederer+AJ1471362014	-2.71	-2.98	0.4
CS22945-063	I.U.Roederer+AJ1471362014	-2.84	-2.84	0.28
CS22946-011	G.W.Preston+AJ12010142000	-2.59	-2.59	0.61
CS22947-187	A.McWilliam+AJ10927571995	-2.6	-2.32	0.33
CS22947-187	I.U.Roederer+AJ1471362014	-2.58	-2.58	0.56
CS22947-187	J.A.Johnson+ApJ65812032007	-2.25	-2.23	
CS22947-187	T.Masseron+ApJ751142012	-2.56	-2.61	0.51
CS22947-187	A.McWilliam+AJ10927361995			
CS22947-187	K.A.Venn+AJ12811772004		-2.49	0.5
CS22948-006	G.W.Preston+AJ132852006	-2.5	-2.62	0.31
CS22948-027	B.Barbuy+AAP42910312005	-2.47	-2.47	0.29
CS22948-027	V.Hill+AAP3535572000	-2.47	-2.47	0.37
CS22948-027	W.Aoki+ApJ6554922007	-2.3	-2.26	0.53
CS22948-027	W.Aoki+ApJ56711662002	-2.57	-2.57	0.57
CS22948-027	G.W.Preston+AJ12215452001	-2.6	-2.79	0.33
CS22948-066	S.M.Andrievsky+AAP49410832009	-3.14	-3.14	
CS22948-066	A.McWilliam+AJ10927571995	-3.1	-2.86	0.1
CS22948-066	R.Cayrel+AAP41611172004	-3.14	-3.15	0.27
CS22948-066	M.Spite+AAP4306552005	-3.14	-3.14	
CS22948-066	A.McWilliam+AJ10927361995			
CS22948-066	M.Spite+AAP541A1432012	-3.14	-3.14	
CS22948-066	S.M.Andrievsky+AAP509A882010	-3.14	-3.14	0.35
CS22948-066	K.A.Venn+AJ12811772004		-3.03	0.27
CS22948-066	P.Francois+AAP4769352007	-3	-3.14	
CS22948-066	S.M.Andrievsky+AAP46410812007	-3.14	-3.14	
CS22948-066	I.U.Roederer+AJ1471362014	-3.18	-3.5	0.46
CS22948-066	M.Spite+AAP4552912006	-3.14	-3.14	
CS22948-066	I.U.Roederer+ApJ7841582014	-3.18	-3.5	0.46
CS22948-066	M.Spite+AAP528A92011	-3.14	-3.14	
CS22948-066	S.M.Andrievsky+AAP4814812008	-3.14	-3.14	
CS22948-068	G.W.Preston+AJ12010142000	-1.37	-1.37	0.53
CS22948-079	G.W.Preston+AJ12010142000	-1.63	-1.63	0.22
CS22948-093	S.M.Andrievsky+AAP49410832009	-3.3	-3.3	
CS22948-093	W.Aoki+ApJ69818032009	-3.43	-3.48	0.11
CS22948-093	P.Bonifacio+AAP4628512007	-3.3	-3.29	
CS22948-093	P.Bonifacio+AAP5015192009	-3.3	-3.29	0.02
CS22948-093	M.Spite+AAP541A1432012	-3.43	-3.43	
CS22948-093	I.U.Roederer+ApJ7115732010	-3.35	-3.36	0.2
CS22948-093	S.M.Andrievsky+AAP509A882010	-3.43	-3.43	0.16
CS22948-093	S.M.Andrievsky+AAP46410812007	-3.43	-3.43	
CS22948-093	I.U.Roederer+AJ1471362014	-3.42	-3.32	0.27
CS22948-093	L.Sbordone+AAP522A262010	-3.31	-3.31	
CS22948-093	S.M.Andrievsky+AAP4814812008	-3.43	-3.43	
CS22948-104	J.A.Johnson+ApJ65812032007	-2.39	-2.37	
CS22948-104	T.Masseron+ApJ751142012	-2.76	-2.81	0.36
CS22949-008a	T.Masseron+ApJ751142012	-2.14	-2.19	0.59
CS22949-008b	T.Masseron+ApJ751142012	-2.14	-2.19	0.59
CS22949-030	I.U.Roederer+AJ1471362014	-2.88	-3.01	0.52
CS22949-037	A.McWilliam+AJ10927571995	-3.5	-3.82	1.01
CS22949-037	M.Spite+AAP4306552005	-3.97	-3.97	
CS22949-037	A.McWilliam+AJ10927361995			
CS22949-037	J.G.Cohen+ApJ778562013	-3.93	-3.98	1.38
CS22949-037	S.M.Andrievsky+AAP509A882010	-3.97	-3.97	1.44
CS22949-037	J.E.Norris+ApJ569L1072002	-3.79	-3.79	
CS22949-037	J.E.Norris+ApJ56110342001	-3.79	-3.62	1.03
CS22949-037	E.Depagne+AAP3901872002	-3.9	-3.99	1.56
CS22949-037	I.U.Roederer+ApJ7841582014	-4.21	-4.38	1.56
CS22949-037	S.M.Andrievsky+AAP49410832009	-3.97	-3.97	
CS22949-037	R.Cayrel+AAP41611172004	-3.97	-3.99	1.56
CS22949-037	M.Spite+AAP541A1432012	-3.97	-3.97	
CS22949-037	K.A.Venn+AJ12811772004		-3.99	1.18
CS22949-037	S.M.Andrievsky+AAP46410812007	-3.97	-3.97	
CS22949-037	M.Spite+AAP4552912006	-3.97	-3.97	
CS22949-037	I.U.Roederer+AJ1471362014	-4.2	-4.38	1.56
CS22949-037	M.Spite+AAP528A92011	-3.97	-3.97	
CS22949-037	J.G.Cohen+ApJ6723202008		-3.84	1.46
CS22949-037	F.Spite+AAP611A302018	-4	-3.97	
CS22949-048	A.McWilliam+AJ10927571995	-3.3	-3	0.03
CS22949-048	I.U.Roederer+AJ1471362014	-3.37	-3.55	0.4
CS22949-048	D.K.Lai+ApJ66711852007	-2.9	-2.73	
CS22949-048	A.McWilliam+AJ10927361995			
CS22949-048	M.Spite+AAP528A92011	-3.25	-3.25	
CS22949-048	K.A.Venn+AJ12811772004		-3.17	0.2
CS22950-046	A.McWilliam+AJ10927571995	-3.5	-3.23	0.19
CS22950-046	J.A.Johnson+ApJ65812032007	-3.29	-3.27	
CS22950-046	J.G.Cohen+AJ1244702002	-3.27		
CS22950-046	A.McWilliam+AJ10927361995			
CS22950-046	J.G.Cohen+ApJ778562013	-3.27		
CS22950-046	E.Carretta+AJ1244812002	-3.3	-3.26	0.41
CS22950-046	K.A.Venn+AJ12811772004		-3.4	0.36
CS22950-046	Y.Ishimaru+ApJ600L472004	-3.3	-3.34	
CS22950-046	I.U.Roederer+AJ1471362014	-3.64	-4.12	0.58
CS22950-078	G.W.Preston+AJ12010142000	-1.86	-1.86	0.26
CS22950-153	D.K.Lai+ApJ66711852007	-2.1	-1.93	
CS22950-153	D.K.Lai+AJ12824022004		-2.1	0.64
CS22950-173	G.W.Preston+AJ12010142000	-2.5	-2.5	0.36
CS22950-173	M.Spite+AAP571A402014	-2.6	-2.6	
CS22950-173	L.Sbordone+AAP522A262010	-2.78	-2.78	
CS22951-005	I.U.Roederer+AJ1471362014	-2.67	-2.74	0.34
CS22951-059	I.U.Roederer+AJ1471362014	-2.83	-2.84	0.48
CS22951-077	I.U.Roederer+AJ1471362014	-2.54	-2.54	0.39
CS22951-077	G.W.Preston+AJ132852006	-2.3	-2.43	0.27
CS22952-015	A.McWilliam+AJ10927571995	-3.4	-3.21	-0.52
CS22952-015	M.Spite+AAP4306552005	-3.43	-3.43	
CS22952-015	A.McWilliam+AJ10927361995			
CS22952-015	S.M.Andrievsky+AAP509A882010	-3.43	-3.43	0.03
CS22952-015	P.Francois+AAP4769352007	-3.4	-3.43	
CS22952-015	L.Zhang+AAP528A922011		-3.41	
CS22952-015	S.Honda+ApJS1521132004			
CS22952-015	S.Honda+ApJ6074742004	-2.94	-2.93	-0.22
CS22952-015	S.M.Andrievsky+AAP4814812008	-3.43	-3.43	
CS22952-015	P.S.Barklem+AAP4391292005	-3.41	-3.41	0.04
CS22952-015	S.M.Andrievsky+AAP49410832009	-3.43	-3.43	
CS22952-015	R.Cayrel+AAP41611172004	-3.43	-3.45	0
CS22952-015	M.Spite+AAP541A1432012	-3.43	-3.43	
CS22952-015	K.A.Venn+AJ12811772004		-3.4	-0.2
CS22952-015	S.M.Andrievsky+AAP46410812007	-3.43	-3.43	
CS22952-015	M.Spite+AAP4552912006	-3.43	-3.43	
CS22952-015	I.U.Roederer+AJ1471362014	-3.68	-3.87	0.3
CS22953-003	A.McWilliam+AJ10927571995	-2.9	-2.64	0.08
CS22953-003	M.Spite+AAP4306552005	-2.84	-2.84	
CS22953-003	A.McWilliam+AJ10927361995			
CS22953-003	S.M.Andrievsky+AAP509A882010	-2.84	-2.84	0.27
CS22953-003	P.Francois+AAP4769352007	-3	-2.84	
CS22953-003	S.M.Andrievsky+AAP4814812008	-2.84	-2.84	
CS22953-003	S.M.Andrievsky+AAP49410832009	-2.84	-2.84	
CS22953-003	R.Cayrel+AAP41611172004	-2.84	-2.85	0.12
CS22953-003	I.U.Roederer+MNRAS44529702014	-3	-3	
CS22953-003	T.Masseron+AAP509A932010	-2.88	-2.93	0.44
CS22953-003	M.Spite+AAP541A1432012	-2.84	-2.84	
CS22953-003	K.A.Venn+AJ12811772004		-2.82	0.25
CS22953-003	S.M.Andrievsky+AAP46410812007	-2.84	-2.84	
CS22953-003	M.Spite+AAP4552912006	-2.84	-2.84	
CS22953-003	I.U.Roederer+AJ1471362014	-3	-3.13	0.39
CS22953-003	M.Spite+AAP528A92011	-2.84	-2.84	
CS22953-003	F.Spite+AAP611A302018	-2.8	-2.84	
CS22953-037	S.M.Andrievsky+AAP46410812007	-2.89	-2.89	
CS22953-037	P.Bonifacio+AAP4628512007	-2.89	-2.88	
CS22953-037	I.U.Roederer+AJ1471362014	-3.05	-3.21	0.55
CS22953-037	P.Bonifacio+AAP5015192009	-2.89	-2.88	0.33
CS22953-037	M.Spite+AAP541A1432012	-2.89	-2.89	
CS22953-037	S.M.Andrievsky+AAP509A882010	-2.89	-2.89	0.34
CS22953-037	L.Sbordone+AAP522A262010	-2.91	-2.91	
CS22953-037	K.A.Venn+AJ12811772004		-2.94	0.38
CS22953-037	S.M.Andrievsky+AAP4814812008	-2.89	-2.89	
CS22954-004	I.U.Roederer+AJ1471362014	-2.78	-3	0.44
CS22954-015	I.U.Roederer+AJ1471362014	-1.97	-2.11	0.43
CS22955-110	G.W.Preston+AJ12010142000	-0.71	-0.71	0.26
CS22955-110	I.U.Roederer+AJ1471362014	-1.39	-1.37	0.45
CS22955-115	G.W.Preston+AJ12010142000	-0.42	-0.42	0.29
CS22955-174	I.U.Roederer+AJ1471362014	-3.1	-3.1	0.61
CS22955-174	G.W.Preston+AJ132852006	-2.5	-2.89	0.34
CS22956-015	I.U.Roederer+AJ1471362014	-2.48	-2.81	0.41
CS22956-021	I.U.Roederer+AJ1471362014	-2.51	-2.73	0.38
CS22956-028	G.W.Preston+AJ12010142000	-2.08	-2.08	0.29
CS22956-028	C.Sneden+ApJ5925042003	-2.08	-2.08	
CS22956-028	T.Masseron+AAP509A932010	-2.33	-2.38	0.56
CS22956-050	S.M.Andrievsky+AAP49410832009	-3.33	-3.33	
CS22956-050	R.Cayrel+AAP41611172004	-3.33	-3.32	0.34
CS22956-050	M.Spite+AAP4306552005	-3.33	-3.33	
CS22956-050	M.Spite+AAP541A1432012	-3.33	-3.33	
CS22956-050	S.M.Andrievsky+AAP509A882010	-3.33	-3.33	0.32
CS22956-050	P.Francois+AAP4769352007	-3.3	-3.33	
CS22956-050	S.M.Andrievsky+AAP46410812007	-3.33	-3.33	
CS22956-050	I.U.Roederer+AJ1471362014	-3.57	-3.67	0.67
CS22956-050	M.Spite+AAP4552912006	-3.33	-3.33	
CS22956-050	M.Spite+AAP528A92011	-3.33	-3.33	
CS22956-050	S.M.Andrievsky+AAP4814812008	-3.33	-3.33	
CS22956-062	I.U.Roederer+AJ1471362014	-2.76	-2.75	0.48
CS22956-081	I.U.Roederer+AJ1471362014	-2.8	-2.71	0.38
CS22956-102	I.U.Roederer+AJ1471362014	-2.21	-2.39	0.29
CS22956-106	I.U.Roederer+AJ1471362014	-2.6	-2.69	0.36
CS22956-110	I.U.Roederer+AJ1471362014	-3.14	-3.15	0.29
CS22956-114	I.U.Roederer+AJ1471362014	-2.86	-3.19	0.49
CS22957-013	P.S.Barklem+AAP4391292005	-2.64	-2.64	0.15
CS22957-013	I.U.Roederer+AJ1471362014	-3.01	-2.98	0.47
CS22957-013	L.Zhang+AAP528A922011		-2.64	
CS22957-013	N.Christlieb+AAP42810272004	-2.86		
CS22957-019	I.U.Roederer+AJ1471362014	-2.42	-2.43	0.29
CS22957-022	I.U.Roederer+AJ1471362014	-3.17	-3.28	0.46
CS22957-022	D.K.Lai+ApJ66711852007	-3.02	-2.85	
CS22957-022	D.K.Lai+ApJ68115242008	-2.9	-2.93	0.26
CS22957-022	D.K.Lai+AJ12824022004		-3.02	0.53
CS22957-024	I.U.Roederer+AJ1471362014	-2.81	-2.91	0.37
CS22957-026	I.U.Roederer+AJ1471362014	-1.89	-1.93	0.37
CS22957-027	I.U.Roederer+AJ1471362014	-3	-3.19	0.08
CS22957-027	W.Aoki+PASJ549332002	-3.11	-3.12	0.67
CS22957-027	I.U.Roederer+ApJ7841582014	-3	-3.19	0.08
CS22957-027	W.Aoki+ApJ576L1412002	-3.11	-3.12	0.67
CS22957-027	J.G.Cohen+ApJ778562013		-3.11	0.1
CS22957-027	G.W.Preston+AJ12215452001	-2.96	-2.96	0.19
CS22957-027	J.G.Cohen+AJ1321372006	-3.22	-3.12	0.35
CS22957-036	I.U.Roederer+AJ1471362014	-2.09	-2.28	0.35
CS22958-037	I.U.Roederer+AJ1471362014	-2.51	-2.51	0.34
CS22958-041	I.U.Roederer+AJ1471362014	-2.88	-3.1	0.41
CS22958-042	I.U.Roederer+AJ1471362014	-2.99	-3.4	0.75
CS22958-042	J.A.Johnson+ApJ65812032007	-2.65	-2.63	
CS22958-042	I.U.Roederer+ApJ7841582014	-2.99	-3.4	0.75
CS22958-042	T.Sivarani+AAP4591252006	-2.85	-2.85	0.3
CS22958-052	I.U.Roederer+MNRAS44529702014	-2.42	-2.42	
CS22958-052	I.U.Roederer+AJ1471362014	-2.42	-2.62	0.32
CS22958-065	I.U.Roederer+AJ1471362014	-2.24	-2.29	0.39
CS22958-074	I.U.Roederer+AJ1471362014	-2.62	-2.67	0.43
CS22958-083	P.S.Barklem+AAP4391292005	-2.79	-2.79	0.38
CS22958-083	I.U.Roederer+AJ1471362014	-3.04	-3.05	0.59
CS22958-083	L.Zhang+AAP528A922011		-2.79	
CS22958-083	J.A.Johnson+ApJ65812032007	-2.5	-2.48	
CS22958-083	N.Christlieb+AAP42810272004	-2.68		
CS22958-083	G.W.Preston+AJ132852006	-2.5	-2.97	0.47
CS22959-074	I.U.Roederer+AJ1471362014	-2.49	-2.6	0.2
CS22959-139	I.U.Roederer+AJ1471362014	-2.45	-2.67	0.25
CS22960-010	P.S.Barklem+AAP4391292005	-2.65	-2.65	0.23
CS22960-010	I.U.Roederer+AJ1471362014	-3.03	-3.02	0.36
CS22960-010	L.Zhang+AAP528A922011		-2.65	
CS22960-010	N.Christlieb+AAP42810272004	-2.15		
CS22960-029	I.U.Roederer+AJ1471362014	-2.77	-3.05	0.43
CS22960-048	I.U.Roederer+AJ1471362014	-3.78	-3.91	0.72
CS22960-053	I.U.Roederer+AJ1471362014	-3.33	-3.64	0.77
CS22960-053	J.A.Johnson+ApJ65812032007	-3.08	-3.06	
CS22960-053	W.Aoki+ApJ6554922007	-3.2	-3.19	0.63
CS22960-058	G.W.Preston+AJ12010142000	-2.13	-2.13	0.31
CS22960-064	I.U.Roederer+AJ1471362014	-2.77	-2.77	0.44
CS22960-064	I.U.Roederer+ApJ7841582014	-2.77	-2.77	0.44
CS22963-004	I.U.Roederer+AJ1471362014	-3.85	-4.09	0.58
CS22963-004	D.K.Lai+ApJ66711852007	-3.03	-2.86	
CS22963-004	D.K.Lai+ApJ68115242008	-3.5	-3.42	0.33
CS22963-004	D.K.Lai+AJ12824022004		-3.03	0.24
CS22964-074	G.W.Preston+AJ12010142000	-2	-1.99	-0.01
CS22964-115	I.U.Roederer+AJ1471362014	-2.7	-2.82	0.42
CS22964-161A	I.B.Thompson+ApJ6775562008	-2.2	-2.37	0.3
CS22964-161B	I.B.Thompson+ApJ6775562008	-2.2	-2.39	0.31
CS22964-176	I.U.Roederer+AJ1471362014	-2.46	-2.56	0.32
CS22964-183	I.U.Roederer+AJ1471362014	-2.87	-3.01	-0.06
CS22964-214	G.W.Preston+AJ12010142000	-2.3	-2.3	0.2
CS22964-214	I.U.Roederer+AJ1471362014	-2.84	-2.95	0.4
CS22964-214	C.Sneden+ApJ5925042003	-2.3	-2.3	
CS22965-016	I.U.Roederer+AJ1471362014	-2.93	-3.13	0.6
CS22965-016	D.K.Lai+ApJ66711852007	-2.59	-2.42	
CS22965-016	D.K.Lai+AJ12824022004		-2.59	
CS22965-029	D.K.Lai+ApJ66711852007	-2.31	-2.14	
CS22965-029	D.K.Lai+AJ12824022004		-2.31	0.28
CS22965-054	W.Aoki+ApJ69818032009	-2.84	-2.89	0.24
CS22965-054	P.Bonifacio+AAP4628512007	-3.04	-3.03	
CS22965-054	P.Bonifacio+AAP5015192009	-3.04	-3.03	0.22
CS22965-054	M.Spite+AAP541A1432012	-3.04	-3.04	
CS22965-054	S.M.Andrievsky+AAP509A882010	-3.04	-3.04	0.23
CS22965-054	S.M.Andrievsky+AAP46410812007	-3.04	-3.04	
CS22965-054	I.U.Roederer+AJ1471362014	-2.89	-3.17	0.25
CS22965-054	D.K.Lai+ApJ68115242008	-3.1	-3.09	0.29
CS22965-054	M.Spite+AAP528A92011	-3.04	-3.04	
CS22965-054	L.Sbordone+AAP522A262010	-2.9	-2.9	
CS22965-054	S.M.Andrievsky+AAP4814812008	-3.04	-3.04	
CS22966-011	S.M.Andrievsky+AAP49410832009	-3.1	-3.1	
CS22966-011	P.Bonifacio+AAP4628512007	-3.07	-3.06	
CS22966-011	P.Bonifacio+AAP5015192009	-3.07	-3.06	0.18
CS22966-011	M.Spite+AAP541A1432012	-3.07	-3.07	
CS22966-011	S.M.Andrievsky+AAP509A882010	-3.07	-3.07	0.19
CS22966-011	S.M.Andrievsky+AAP46410812007	-3.07	-3.07	
CS22966-011	L.Sbordone+AAP522A262010	-3.22	-3.22	
CS22966-011	S.M.Andrievsky+AAP4814812008	-3.07	-3.07	
CS22966-012	K.A.Venn+AJ12811772004		-1.91	-0.67
CS22966-037	G.W.Preston+AJ12010142000	-1.34	-1.34	0.83
CS22966-043	G.W.Preston+AJ12010142000	-1.96	-1.96	-0.66
CS22966-043	I.I.Ivans+ApJ5929062003	-1.91	-1.89	-0.69
CS22966-054	G.W.Preston+AJ12010142000	-1.18	-1.17	0.11
CS22966-057	S.M.Andrievsky+AAP49410832009	-2.62	-2.62	
CS22966-057	R.Cayrel+AAP41611172004	-2.62	-2.61	0.09
CS22966-057	M.Spite+AAP4306552005	-2.62	-2.62	
CS22966-057	M.Spite+AAP541A1432012	-2.62	-2.62	
CS22966-057	S.M.Andrievsky+AAP509A882010	-2.62	-2.62	0.41
CS22966-057	P.Francois+AAP4769352007	-2.6	-2.62	
CS22966-057	S.M.Andrievsky+AAP46410812007	-2.62	-2.62	
CS22966-057	M.Spite+AAP4552912006	-2.62	-2.62	
CS22966-057	M.Spite+AAP528A92011	-2.62	-2.62	
CS22966-057	F.Spite+AAP611A302018	-2.6	-2.62	
CS22966-057	S.M.Andrievsky+AAP4814812008	-2.62	-2.62	
CS22968-001	I.U.Roederer+AJ1471362014	-2.84	-3.12	0.42
CS22968-001	G.W.Preston+AJ132852006	-2.5	-3.01	0.23
CS22968-014	S.M.Andrievsky+AAP49410832009	-3.56	-3.56	
CS22968-014	A.McWilliam+AJ10927571995	-3.5	-3.24	-0.25
CS22968-014	J.A.Johnson+ApJ65812032007	-3.3	-3.28	
CS22968-014	R.Cayrel+AAP41611172004	-3.56	-3.57	0.19
CS22968-014	M.Spite+AAP4306552005	-3.56	-3.56	
CS22968-014	A.McWilliam+AJ10927361995			
CS22968-014	M.Spite+AAP541A1432012	-3.56	-3.56	
CS22968-014	S.M.Andrievsky+AAP509A882010	-3.56	-3.56	0.23
CS22968-014	K.A.Venn+AJ12811772004		-3.41	-0.08
CS22968-014	P.Francois+AAP4769352007	-3.5	-3.56	
CS22968-014	S.M.Andrievsky+AAP46410812007	-3.56	-3.56	
CS22968-014	I.U.Roederer+AJ1471362014	-3.85	-3.99	0.57
CS22968-014	M.Spite+AAP4552912006	-3.56	-3.56	
CS22968-014	S.M.Andrievsky+AAP4814812008	-3.56	-3.56	
CS22968-026	I.U.Roederer+AJ1471362014	-2.33	-2.57	0.37
CS22968-029	I.U.Roederer+AJ1471362014	-3.11	-3.1	0.38
CS29491-053	S.M.Andrievsky+AAP49410832009	-3.04	-3.04	
CS29491-053	R.Cayrel+AAP41611172004	-3.04	-3.03	0.5
CS29491-053	M.Spite+AAP4306552005	-3.04	-3.04	
CS29491-053	M.Spite+AAP541A1432012	-3.04	-3.04	
CS29491-053	S.M.Andrievsky+AAP509A882010	-3.04	-3.04	0.53
CS29491-053	P.Francois+AAP4769352007	-3	-3.04	
CS29491-053	S.M.Andrievsky+AAP46410812007	-3.04	-3.04	
CS29491-053	M.Spite+AAP4552912006	-3.04	-3.04	
CS29491-053	M.Spite+AAP528A92011	-3.04	-3.04	
CS29491-053	S.M.Andrievsky+AAP4814812008	-3.04	-3.04	
CS29491-069	P.S.Barklem+AAP4391292005	-2.81	-2.81	0.26
CS29491-069	L.Zhang+AAP528A922011		-2.81	
CS29491-069	I.U.Roederer+ApJ69819632009	-2.6	-2.6	
CS29491-069	N.Christlieb+AAP42810272004	-2.81		
CS29491-069	J.Ren+AAP537A1182012	-2.81	-2.64	
CS29491-084	L.Sbordone+AAP522A262010	-3.04	-3.04	
CS29491-084	K.A.Venn+AJ12811772004		-2.74	0.12
CS29491-109	P.S.Barklem+AAP4391292005	-2.9	-2.9	0.28
CS29491-109	L.Zhang+AAP528A922011		-2.9	
CS29491-109	N.Christlieb+AAP42810272004	-2.37		
CS29493-023	I.U.Roederer+AJ1471362014	-2.66	-2.89	0.37
CS29493-050	I.U.Roederer+AJ1471362014	-2.89	-2.92	0.45
CS29493-062	I.U.Roederer+AJ1471362014	-2.59	-2.76	0.42
CS29493-090	P.S.Barklem+AAP4391292005	-3.13	-3.13	0.75
CS29493-090	M.Spite+AAP571A402014	-3.1	-3.14	0.96
CS29493-090	L.Zhang+AAP528A922011		-3.13	
CS29493-090	J.A.Johnson+ApJ65812032007	-2.82	-2.8	
CS29493-090	T.Masseron+ApJ751142012	-3.25	-3.3	1
CS29493-094	I.U.Roederer+AJ1471362014	-2.44	-2.66	0.35
CS29495-005	I.U.Roederer+AJ1471362014	-2.26	-2.44	0.42
CS29495-041	S.M.Andrievsky+AAP49410832009	-2.82	-2.82	
CS29495-041	R.Cayrel+AAP41611172004	-2.82	-2.81	0.3
CS29495-041	M.Spite+AAP4306552005	-2.82	-2.82	
CS29495-041	M.Spite+AAP541A1432012	-2.82	-2.82	
CS29495-041	S.M.Andrievsky+AAP509A882010	-2.82	-2.82	0.45
CS29495-041	P.Francois+AAP4769352007	-2.8	-2.82	
CS29495-041	S.M.Andrievsky+AAP46410812007	-2.82	-2.82	
CS29495-041	M.Spite+AAP4552912006	-2.82	-2.82	
CS29495-041	S.M.Andrievsky+AAP4814812008	-2.82	-2.82	
CS29495-042	I.U.Roederer+AJ1471362014	-2.18	-2.54	0.38
CS29495-042	J.A.Johnson+ApJ65812032007	-2.3	-2.28	
CS29497-004	P.S.Barklem+AAP4391292005	-2.81	-2.81	0.29
CS29497-004	L.Zhang+AAP528A922011		-2.81	
CS29497-004	N.Christlieb+AAP42810272004	-2.64	-2.68	0.29
CS29497-004	J.Ren+AAP537A1182012	-2.81	-2.64	
CS29497-030	I.I.Ivans+ApJ627L1452005	-2.57	-2.57	0.42
CS29497-030	G.W.Preston+AJ12010142000		-2.16	
CS29497-030	I.U.Roederer+AJ1471362014	-2.52	-2.52	0.35
CS29497-030	J.A.Johnson+ApJ65812032007	-2.2	-2.18	
CS29497-030	C.Sneden+ApJ5925042003	-2.16	-2.16	0.45
CS29497-030	T.Sivarani+AAP41310732004	-2.7	-2.77	0.59
CS29497-034	B.Barbuy+AAP42910312005	-2.9	-2.9	0.7
CS29497-034	V.Hill+AAP3535572000	-2.9	-2.9	0.6
CS29497-034	W.Aoki+ApJ6554922007	-3	-2.96	1.29
CS29497-040	D.K.Lai+ApJ66711852007	-2.8	-2.63	
CS29497-040	D.K.Lai+AJ12824022004		-2.8	0.51
CS29498-043	I.U.Roederer+AJ1471362014	-3.85	-3.87	1.78
CS29498-043	W.Aoki+PASJ549332002	-3.75	-3.75	1.79
CS29498-043	I.U.Roederer+ApJ7841582014	-3.85	-3.87	1.78
CS29498-043	W.Aoki+ApJ6089712004	-3.5	-3.54	1.73
CS29498-043	W.Aoki+ApJ576L1412002	-3.75	-3.75	1.79
CS29499-003	I.U.Roederer+AJ1471362014	-2.35	-2.51	0.26
CS29499-058	I.U.Roederer+AJ1471362014	-2.61	-2.81	0.34
CS29499-060	P.Bonifacio+AAP4628512007	-2.7	-2.69	
CS29499-060	P.Bonifacio+AAP5015192009	-2.7	-2.69	0.16
CS29499-060	M.Spite+AAP541A1432012	-2.7	-2.7	
CS29499-060	S.M.Andrievsky+AAP509A882010	-2.7	-2.7	0.17
CS29499-060	K.A.Venn+AJ12811772004		-2.63	0.16
CS29499-060	S.M.Andrievsky+AAP46410812007	-2.7	-2.7	
CS29499-060	I.U.Roederer+AJ1471362014	-2.75	-2.79	0.28
CS29499-060	M.Spite+AAP528A92011	-2.7	-2.7	
