# Object	Reference	Metallicity	[Fe/H]	[S/Fe]
BD+44_493	H.Ito+ApJ698L372009	-3.68	-3.73	
BD+44_493	I.U.Roederer+AJ1471362014	-4.26	-4.28	
BD+44_493	H.Ito+ApJ773332013	-3.8	-3.83	<1.06
BD+44_493	I.U.Roederer+ApJ7841582014	-4.26	-4.28	
BD+44_493	B.W.Carney+AJ1252932003	-2.71	-2.71	
BD-04_3208	P.E.Nissen+AAP4693192007	-2.29	-2.29	0.68
BD-04_3208	C.J.Hansen+AAP545A312012	-2.27	-2.27	
BD-04_3208	J.A.Rich+ApJ70115192009	-2.35	-2.35	
BD-04_3208	C.J.Akerman+AAP4149312004	-2.27	-2.27	
BD-04_3208	K.F.Tan+MNRAS3922052009	-2.28	-2.27	
BD-04_3208	A.E.GarciaPerez+AAP5042132009	-2.28	-2.28	
BD-04_3208	J.Melendez+AAP515L32010	-2.29	-2.29	
BD-04_3208	P.E.Nissen+AAP4159932004	-2.27	-2.27	0.54
BD-04_3208	M.Bergemann+AAP4928232008	-2.23	-2.23	
BD-04_3208	J.R.Shi+AAP4655872007	-2.23	-2.22	
BD-04_3208	J.Melendez+ApJ64210822006	-2.1	-2.33	
BD-04_3208	A.M.Boesgaard+AJ1174921999	-2.31	-2.14	
BD-04_3208	K.A.Venn+AJ12811772004		-2.62	
BD-04_3208	P.E.Nissen+AAP3902352002	-2.3	-2.27	
BD-04_3208	J.P.Fulbright+AJ12018412000	-2.5	-2.6	
BD-04_3208	C.Charbonnel+AAP4429612005	-2.23	-2.23	
BD-04_3208	D.Fabbian+AAP50011432009	-2.29	-2.34	
BD-04_3208	M.Asplund+ApJ6442292006	-2.3	-2.3	
BD-18_555	G.Israelian+ApJ 557L432001	-2.7	-2.7	<1.49
BD-18_5550	A.McWilliam+AJ10927571995		-2.74	
BD-18_5550	J.A.Johnson+ApJ65812032007	-2.89	-2.87	
BD-18_5550	M.Spite+AAP4306552005	-3.06	-3.06	
BD-18_5550	A.McWilliam+AJ10927361995			
BD-18_5550	S.M.Andrievsky+AAP509A882010	-3.06	-3.06	
BD-18_5550	G.Bihain+AAP4237772004	-3.01	-2.84	
BD-18_5550	T.V.Mishenina+AAP3709512001	-3.01	-3.01	
BD-18_5550	J.K.Hollek+ApJ742542011	-3.2	-3.2	
BD-18_5550	P.Francois+AAP4769352007	-3	-3.06	
BD-18_5550	J.A.Johnson+ApJ5796162002		-2.87	
BD-18_5550	J.A.Johnson+ApJ5548882001	-2.9	-2.88	
BD-18_5550	J.Melendez+ApJ5754742002	-2.87	-2.87	
BD-18_5550	J.A.Johnson+ApJS1392192002	-2.9	-3.03	
BD-18_5550	S.M.Andrievsky+AAP4814812008	-3.06	-3.06	
BD-18_5550	S.M.Andrievsky+AAP49410832009	-3.06	-3.06	
BD-18_5550	R.Cayrel+AAP41611172004	-3.06	-3.06	
BD-18_5550	M.Spite+AAP541A1432012	-3.06	-3.06	
BD-18_5550	Y.Takeda+PASJ63S5372011	-3.06	-3.06	1.09
BD-18_5550	T.V.Mishenina+AAP3961892002		-3.01	
BD-18_5550	D.L.Burris+ApJ5443022000	-3	-2.76	
BD-18_5550	S.M.Andrievsky+AAP46410812007	-3.06	-3.06	
BD-18_5550	I.U.Roederer+AJ1471362014	-3.15	-3.2	
BD-18_5550	M.Spite+AAP4552912006	-3.06	-3.06	
BD-18_5550	M.Spite+AAP528A92011	-3.06	-3.06	0.59
BD-18_5550	B.W.Carney+AJ1252932003	-3.11	-3.11	
BD-21_3420	P.E.Nissen+AAP511L102010	-1.13	-1.13	
BD-21_3420	E.Caffau+AAP4415332005	-1.04	-1.04	<0.66
BD-21_3420	R.Smiljanic+AAP4991032009	-1.04	-1.04	
BD-21_3420	H.L.Yan+AAP5851022016	-1.13	-1.13	
BD-21_3420	P. E. Nissen+AAP530A152011	-1.13	-1.13	
BS16968-061	S.M.Andrievsky+AAP46410812007	-3.05	-3.05	
BS16968-061	P.Bonifacio+AAP4628512007	-3.05	-3.04	
BS16968-061	P.Bonifacio+AAP5015192009	-3.05	-3.04	
BS16968-061	M.Spite+AAP541A1432012	-3.05	-3.05	
BS16968-061	M.Spite+AAP528A92011	-3.05	-3.05	0.83
BS16968-061	S.M.Andrievsky+AAP509A882010	-3.05	-3.05	
BS16968-061	K.A.Venn+AJ12811772004		-3.08	
BS16968-061	S.M.Andrievsky+AAP4814812008	-3.05	-3.05	
BS17569-049	S.M.Andrievsky+AAP49410832009	-2.88	-2.88	
BS17569-049	R.Cayrel+AAP41611172004	-2.88	-2.85	
BS17569-049	M.Spite+AAP4306552005	-2.88	-2.88	
BS17569-049	M.Spite+AAP541A1432012	-2.88	-2.88	
BS17569-049	P.Francois+AAP4769352007	-3	-2.88	
BS17569-049	S.M.Andrievsky+AAP46410812007	-2.88	-2.88	
BS17569-049	M.Spite+AAP4552912006	-2.88	-2.88	
BS17569-049	M.Spite+AAP528A92011	-2.88	-2.88	0.46
BS17569-049	F.Spite+AAP611A302018	-2.9	-2.88	
BS17569-049	S.M.Andrievsky+AAP4814812008	-2.88	-2.88	
BS17570-063	S.M.Andrievsky+AAP49410832009	-2.92	-2.92	
BS17570-063	P.Bonifacio+AAP4628512007	-2.92	-2.91	
BS17570-063	P.Bonifacio+AAP5015192009	-2.92	-2.91	
BS17570-063	M.Spite+AAP541A1432012	-2.92	-2.92	
BS17570-063	S.M.Andrievsky+AAP509A882010	-2.92	-2.92	
BS17570-063	S.M.Andrievsky+AAP46410812007	-2.92	-2.92	
BS17570-063	M.Spite+AAP528A92011	-2.92	-2.92	0.85
BS17570-063	L.Sbordone+AAP522A262010	-3.05	-3.05	
BS17570-063	S.M.Andrievsky+AAP4814812008	-2.92	-2.92	
CD-24_17504	W.Aoki+ApJ69818032009	-3.4	-3.45	
CD-24_17504	A.M.Boesgaard+ApJ7431402011	-3.42	-3.42	
CD-24_17504	M.N.Ishigaki+ApJ753642012	-3.2	-3.2	
CD-24_17504	A.Hosford+AAP4936012009	-3.33	-3.35	
CD-24_17504	P.E.Nissen+AAP4693192007	-3.21	-3.21	0.73
CD-24_17504	M.Ishigaki+PASJ621432010	-3.66	-3.66	
CD-24_17504	J.A.Rich+ApJ70115192009	-3.42	-3.42	
CD-24_17504	G.Bihain+AAP4237772004	-2.99	-2.82	
CD-24_17504	F.Primas+AAP3626662000	-3.3	-3.13	
CD-24_17504	J.E.Norris+ApJ56110342001	-3.37	-3.2	
CD-24_17504	G.Israelian+ApJ5518332001	-3.32	-3.32	
CD-24_17504	E.Arnone+AAP4305072005		-3.45	
CD-24_17504	M.N.Ishigaki+ApJ771672013	-3.19	-3.19	
CD-24_17504	J.Melendez+AAP515L32010	-3.34	-3.34	
CD-25_9024	E.Caffau+AAP4415332005	-0.8	-0.8	0.4
CD-26_1453	E.Caffau+AAP4415332005	-0.63	-0.63	0.42
CD-28_17381	E.Caffau+AAP4415332005	-1.16	-1.16	0.6
CD-30_18140	S.G.Ryan+ApJ549552001	-2.1	-2.1	
CD-30_18140	P.E.Nissen+AAP4693192007	-1.89	-1.89	0.5
CD-30_18140	J.Melendez+ApJ64210822006	-1.7	-1.87	
CD-30_18140	C.J.Hansen+AAP545A312012	-1.92	-1.92	
CD-30_18140	C.J.Akerman+AAP4149312004	-1.88	-1.88	
CD-30_18140	P.E.Nissen+AAP3902352002	-1.91	-1.88	
CD-30_18140	K.F.Tan+MNRAS3922052009	-1.87	-1.86	
CD-30_18140	C.Charbonnel+AAP4429612005	-2.06	-2.06	
CD-30_18140	M.Asplund+ApJ6442292006	-1.9	-1.9	
CD-30_18140	J.Melendez+AAP515L32010	-1.9	-1.9	
CD-30_18140	P.E.Nissen+AAP4159932004	-1.88	-1.88	0.33
CD-33_3337	P.E.Nissen+AAP511L102010	-1.36	-1.36	
CD-33_3337	R.G.Gratton+AAP4041872003	-1.25	-1.29	
CD-33_3337	E.Caffau+AAP4415332005	-1.28	-1.28	<0.87
CD-33_3337	C.J.Hansen+AAP545A312012	-1.55	-1.55	
CD-33_3337	R.Smiljanic+AAP4991032009	-1.3	-1.3	
CD-33_3337	H.L.Yan+AAP5851022016	-1.36	-1.36	
CD-33_3337	M.Asplund+ApJ6442292006	-1.31	-1.31	
CD-33_3337	J.Melendez+AAP515L32010	-1.33	-1.33	
CD-33_3337	P. E. Nissen+AAP530A152011	-1.36	-1.36	
CD-35_14849	A.Hosford+AAP4936012009	-2.36	-2.44	
CD-35_14849	P.E.Nissen+AAP4693192007	-2.34	-2.34	0.5
CD-35_14849	J.Melendez+ApJ64210822006	-2	-2.33	
CD-35_14849	C.J.Akerman+AAP4149312004	-2.41	-2.41	
CD-35_14849	P.E.Nissen+AAP3902352002	-2.34	-2.31	
CD-35_14849	E.Arnone+AAP4305072005		-2.55	
CD-35_14849	C.Charbonnel+AAP4429612005	-2.63	-2.63	
CD-35_14849	M.Asplund+ApJ6442292006	-2.27	-2.27	
CD-35_14849	J.Melendez+AAP515L32010	-2.35	-2.35	
CD-35_14849	P.E.Nissen+AAP4159932004	-2.41	-2.41	0.39
CD-35_360	R.G.Gratton+AAP4041872003	-1.12	-1.16	
CD-35_360	E.Caffau+AAP4415332005	-1.15	-1.15	0.75
CD-37_8363	E.Caffau+AAP4415332005	-0.7	-0.7	<0.55
CD-38_8457	E.Caffau+AAP4415332005	-1.84	-1.84	0.87
CD-39_7674	E.Caffau+AAP4415332005	-0.42	-0.42	0.25
CD-42_14278	P.E.Nissen+AAP4693192007	-2.03	-2.03	0.41
CD-42_14278	J.Melendez+ApJ64210822006	-1.8	-1.99	
CD-42_14278	C.J.Akerman+AAP4149312004	-2.12	-2.12	
CD-42_14278	P.E.Nissen+AAP4159932004	-2.12	-2.12	0.38
CD-45_13178	C.Charbonnel+AAP4429612005	-1.7	-1.7	
CD-45_13178	E.Caffau+AAP4415332005	-1.81	-1.81	1.05
CD-45_3283	P.E.Nissen+AAP511L102010	-0.91	-0.91	
CD-45_3283	R.G.Gratton+AAP4041872003	-0.81	-0.86	
CD-45_3283	E.Caffau+AAP4415332005	-0.85	-0.85	<0.7
CD-45_3283	C.J.Hansen+AAP545A312012	-0.99	-0.99	
CD-45_3283	R.Smiljanic+AAP4991032009	-0.83	-0.83	
CD-45_3283	H.L.Yan+AAP5851022016	-0.91	-0.91	
CD-45_3283	P. E. Nissen+AAP530A152011	-0.91	-0.91	
CD-47_1087	R.G.Gratton+AAP4041872003	-0.74	-0.8	
CD-47_1087	E.Caffau+AAP4415332005	-0.79	-0.79	0.58
CD-48_4818	E.Caffau+AAP4415332005	-0.43	-0.43	>0.03
CD-57_1633	P.E.Nissen+AAP511L102010	-0.9	-0.9	
CD-57_1633	R.G.Gratton+AAP4041872003	-0.8	-0.85	
CD-57_1633	C.J.Hansen+AAP545A312012	-1.01	-1.01	
CD-57_1633	P.E.Nissen+AAP3902352002	-0.89	-0.86	
CD-57_1633	K.F.Tan+MNRAS3922052009	-0.91	-0.9	
CD-57_1633	E.Caffau+AAP4415332005	-0.84	-0.84	<1.1
CD-57_1633	R.Smiljanic+AAP4991032009	-0.9	-0.9	
CD-57_1633	H.L.Yan+AAP5851022016	-0.9	-0.9	
CD-57_1633	P. E. Nissen+AAP530A152011	-0.9	-0.9	
CD-57_6303	E.Caffau+AAP4415332005	-1.39	-1.39	<1.04
CD-59_6824	C.Charbonnel+AAP4429612005	-1.6	-1.6	
CD-59_6824	E.Caffau+AAP4415332005	-1.54	-1.54	0.64
CD-60_545	E.Caffau+AAP4415332005	-0.82	-0.82	0.38
CD-61_282	P.E.Nissen+AAP511L102010	-1.23	-1.23	
CD-61_282	R.G.Gratton+AAP4041872003	-1.21	-1.26	
CD-61_282	E.Caffau+AAP4415332005	-1.25	-1.25	0.85
CD-61_282	R.Smiljanic+AAP4991032009	-1.15	-1.15	
CD-61_282	H.L.Yan+AAP5851022016	-1.23	-1.23	
CD-61_282	P. E. Nissen+AAP530A152011	-1.23	-1.23	
CD-65_253	C.Charbonnel+AAP4429612005	-1.6	-1.6	
CD-65_253	E.Caffau+AAP4415332005	-1.52	-1.52	0.42
CD-68_74	E.Caffau+AAP4415332005	-0.99	-0.99	0.56
CD-69_109	E.Caffau+AAP4415332005	-0.95	-0.95	0.55
CD-71_1234	E.Arnone+AAP4305072005		-2.55	
CD-71_1234	A.Hosford+AAP4936012009	-2.52	-2.54	
CD-71_1234	P.E.Nissen+AAP4693192007	-2.38	-2.38	0.55
CPD-27_666	E.Caffau+AAP4415332005	-1.54	-1.54	0.61
CS22169-035	S.M.Andrievsky+AAP49410832009	-3.04	-3.04	
CS22169-035	R.Cayrel+AAP41611172004	-3.04	-3.04	
CS22169-035	M.Spite+AAP4306552005	-3.04	-3.04	
CS22169-035	M.Spite+AAP541A1432012	-3.04	-3.04	
CS22169-035	S.M.Andrievsky+AAP509A882010	-3.04	-3.04	
CS22169-035	C.M.Sakari+ApJ8681102018	-3.03	-3.03	
CS22169-035	P.Francois+AAP4769352007	-3	-3.04	
CS22169-035	S.M.Andrievsky+AAP46410812007	-3.04	-3.04	
CS22169-035	I.U.Roederer+AJ1471362014	-3.12	-3.31	
CS22169-035	M.Spite+AAP4552912006	-3.04	-3.04	
CS22169-035	S.Honda+ApJS1521132004			
CS22169-035	M.Spite+AAP528A92011	-3.04	-3.04	0.42
CS22169-035	S.Honda+ApJ6074742004	-2.72	-2.71	
CS22169-035	S.Giridhar+PASP1135192001	-2.8	-2.86	
CS22169-035	S.M.Andrievsky+AAP4814812008	-3.04	-3.04	
CS22186-025	S.M.Andrievsky+AAP49410832009	-3	-3	
CS22186-025	P.S.Barklem+AAP4391292005	-2.87	-2.87	
CS22186-025	R.Cayrel+AAP41611172004	-3	-3	
CS22186-025	M.Spite+AAP4306552005	-3	-3	
CS22186-025	M.Spite+AAP541A1432012	-3	-3	
CS22186-025	S.M.Andrievsky+AAP509A882010	-3	-3	
CS22186-025	N.Christlieb+AAP42810272004	-2.77		
CS22186-025	P.Francois+AAP4769352007	-3	-3	
CS22186-025	S.M.Andrievsky+AAP46410812007	-3	-3	
CS22186-025	L.Zhang+AAP528A922011		-2.87	
CS22186-025	M.Spite+AAP4552912006	-3	-3	
CS22186-025	M.Spite+AAP528A92011	-3	-3	0.58
CS22186-025	S.M.Andrievsky+AAP4814812008	-3	-3	
CS22189-009	S.M.Andrievsky+AAP49410832009	-3.49	-3.49	
CS22189-009	A.McWilliam+AJ10927571995	-3.4	-3.27	
CS22189-009	R.Cayrel+AAP41611172004	-3.49	-3.49	
CS22189-009	M.Spite+AAP4306552005	-3.49	-3.49	
CS22189-009	A.McWilliam+AJ10927361995			
CS22189-009	M.Spite+AAP541A1432012	-3.49	-3.49	
CS22189-009	S.M.Andrievsky+AAP509A882010	-3.49	-3.49	
CS22189-009	K.A.Venn+AJ12811772004		-3.44	
CS22189-009	P.Francois+AAP4769352007	-3.5	-3.49	
CS22189-009	S.M.Andrievsky+AAP46410812007	-3.49	-3.49	
CS22189-009	I.U.Roederer+AJ1471362014	-3.85	-3.92	
CS22189-009	M.Spite+AAP4552912006	-3.49	-3.49	
CS22189-009	M.Spite+AAP528A92011	-3.49	-3.49	0.62
CS22189-009	S.M.Andrievsky+AAP4814812008	-3.49	-3.49	
CS22873-055	S.M.Andrievsky+AAP49410832009	-2.99	-2.99	
CS22873-055	A.McWilliam+AJ10927571995	-2.9	-2.71	
CS22873-055	R.Cayrel+AAP41611172004	-2.99	-2.98	
CS22873-055	M.Spite+AAP4306552005	-2.99	-2.99	
CS22873-055	A.McWilliam+AJ10927361995			
CS22873-055	M.Spite+AAP541A1432012	-2.99	-2.99	
CS22873-055	S.M.Andrievsky+AAP509A882010	-2.99	-2.99	
CS22873-055	P.Francois+AAP4769352007	-3	-2.99	
