# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
HD4306	S.HondaApJ6074742004	-2.89	-2.88	
HD4306	A.E.GarciaPerezAAP4472992006	-2.33	-2.33	
HD4307	Y.TakedaPASJ57652005	-0.29	-0.29	0.17
HD4307	Y.TakedaPASJ57452005	-0.29	-0.47	
HD4307	T.V.MisheninaAAP552A1282013	-0.18	-0.18	0.35
HD4307	Y.TakedaPASJ593352007	-0.29	-0.29	
HD43318	Y.TakedaPASJ57652005	-0.19	-0.19	0.3
HD43318	Y.TakedaPASJ57452005	-0.19	-0.19	
HD43318	Y.TakedaPASJ593352007	-0.19	-0.19	
HD43587	T.V.MisheninaAAP552A1282013	-0.11	-0.11	0.27
HD43947	T.V.MisheninaAAP552A1282013	-0.24	-0.24	0.41
HD43947	Y.Q.Chen1414912000	-0.33	-0.33	0.35
HD43947	K.A.VennAJ12811772004		-0.3	
HD45067	T.V.MisheninaAAP552A1282013	-0.02	-0.02	0.19
HD45067	K.A.VennAJ12811772004		-0.12	
HD45205	J.P.FulbrightAJ12018412000	-0.8	-0.87	
HD45205	R.G.GrattonAAP4041872003	-0.87	-0.92	
HD45205	B.E.ReddyMNRAS36713292006	-0.87	-0.92	0.96
HD45205	K.A.VennAJ12811772004		-0.89	
HD45282	R.G.GrattonAAP3541692000	-1.37	-1.4	0.5
HD45282	J.R.ShiAAP4655872007	-1.52	-1.51	
HD45282	J.P.FulbrightApJ59511542003	-1.5	-1.31	0.59
HD45282	Y.SaitoPASJ615492009	-1.29	-1.46	
HD45282	T.V.MisheninaAAP3961892002	-1.31	-1.31	
HD45282	K.A.VennAJ12811772004		-1.5	
HD45282	T.V.MisheninaAAP3709512001	-1.28	-1.28	
HD45282	I.U.RoedererAJ1471362014	-1.73	-1.59	
HD45282	J.P.FulbrightAJ12018412000	-1.4	-1.48	
HD45282	B.W.CarneyAJ1252932003	-1.8	-1.8	
HD45282	A.E.GarciaPerezAAP4516212006	-1.53	-1.52	0.55
HD45282	A.E.GarciaPerezAAP4472992006	-1.52	-1.52	
HD45415	A.Alves-BritoAAP513A352010	-0.04	-0.04	0.04
HD4614	M.Takada-HidaiApJ5736142002	-0.3	-0.37	
HD4614	Y.TakedaPASJ57652005	-0.21	-0.21	0.18
HD4614	Y.TakedaPASJ57452005	-0.21	-0.23	
HD4614	T.V.MisheninaAAP552A1282013	-0.24	-0.24	0.51
HD4614	Y.TakedaPASJ593352007	-0.21	-0.21	
HD4628	Y.TakedaPASJ57652005	-0.24	-0.24	0.32
HD4628	Y.TakedaPASJ57452005	-0.24	0.22	
HD4628	T.V.MisheninaAAP552A1282013	-0.36	-0.36	0.54
HD4628	Y.TakedaPASJ593352007	-0.24	-0.24	
HD4628	T.V.MisheninaAAP547A1062012	-0.21	-0.21	
HD46317	Y.Q.Chen1414912000	-0.24	-0.24	0.32
HD46341	J.P.FulbrightAJ12018412000	-0.7	-0.78	
HD46341	R.G.GrattonAAP4041872003	-0.6	-0.65	
HD46341	B.E.ReddyMNRAS36713292006	-0.59	-0.64	0.39
HD46341	R.SmiljanicAAP4991032009	-0.7	-0.7	
HD46341	T.GehrenAAP45110652006	-0.58	-0.57	
HD46341	K.A.VennAJ12811772004		-0.8	
HD4635	T.V.MisheninaAAP552A1282013	0.07	0.07	-0.16
HD4635	T.V.MisheninaAAP547A1062012	0.07	0.07	
HD47752	T.V.MisheninaAAP552A1282013	-0.05	-0.05	0.23
HD47752	T.V.MisheninaAAP547A1062012	-0.05	-0.05	
HD4813	Y.TakedaPASJ57652005	-0.05	-0.05	0.16
HD4813	Y.TakedaPASJ57452005	-0.05	-0.04	
HD4813	Y.TakedaPASJ593352007	-0.05	-0.05	
HD4906	J.P.FulbrightApJ59511542003	-0.8	-0.57	0.43
HD49301	K.JonsellAAP4403212005	-0.82	-0.99	0.32
HD49732	Y.Q.Chen1414912000	-0.7	-0.7	0.44
HD5015	Y.TakedaPASJ57652005	0.13	0.13	0.01
HD5015	Y.TakedaPASJ57452005	0.13	0.36	
HD5015	Y.TakedaPASJ593352007	0.13	0.13	
HD50281	T.V.MisheninaAAP552A1282013	-0.2	-0.2	0.33
HD50554	Y.TakedaPASJ57652005	-0.03	-0.03	0.18
HD50554	Y.TakedaPASJ57452005	-0.03	-0.04	
HD50554	Y.TakedaPASJ593352007	-0.03	-0.03	
HD50692	T.V.MisheninaAAP552A1282013	-0.1	-0.1	0.28
HD50692	T.V.MisheninaAAP547A1062012	-0.1	-0.1	
HD50778	A.Alves-BritoAAP513A352010	-0.33	-0.33	0.27
HD51219	B.E.ReddyMNRAS36713292006	-0.05	-0.1	0.08
HD51419	T.V.MisheninaAAP552A1282013	-0.37	-0.37	0.48
HD51754	P.E.NissenAAP511L102010	-0.58	-0.58	
HD51754	J.P.FulbrightAJ12018412000	-0.5	-0.72	
HD51754	T.BensbyAAP562A712014	-0.62	-0.67	0.46
HD51754	R.G.GrattonAAP4041872003	-0.56	-0.61	
HD51754	R.SmiljanicAAP4991032009	-0.5	-0.5	
HD51754	H.L.YanAAP5851022016	-0.58	-0.58	
HD51754	K.A.VennAJ12811772004		-0.74	
HD51754	P. E. NissenAAP530A152011	-0.58	-0.58	
HD5256	B.E.ReddyMNRAS36713292006	-0.62	-0.67	0.65
HD5268	A.Alves-BritoAAP513A352010	-0.5	-0.5	0.36
HD52711	Y.TakedaPASJ57652005	-0.11	-0.11	0.14
HD52711	Y.TakedaPASJ57452005	-0.11	-0.13	
HD52711	K.A.VennAJ12811772004		-0.2	
HD52711	Y.TakedaPASJ593352007	-0.11	-0.11	
HD5294	T.V.MisheninaAAP552A1282013	-0.17	-0.17	0.16
HD5351	T.V.MisheninaAAP552A1282013	-0.21	-0.21	0.32
HD54351	B.E.ReddyMNRAS36713292006	-0.15	-0.2	0.26
HD54371	T.V.MisheninaAAP552A1282013	0.06	0.06	0.12
HD54371	T.V.MisheninaAAP547A1062012	0.06	0.06	
HD54717	Y.Q.Chen1414912000	-0.44	-0.44	0.41
HD55575	Y.TakedaPASJ57652005	-0.33	-0.33	0.14
HD55575	Y.TakedaPASJ57452005	-0.33	-0.28	
HD55575	T.V.MisheninaAAP552A1282013	-0.31	-0.31	
HD55575	Y.Q.Chen1414912000	-0.36	-0.36	0.39
HD55575	Y.TakedaPASJ593352007	-0.33	-0.33	
HD56451	B.E.ReddyMNRAS36713292006	-0.3	-0.35	0.45
HD5750	Y.Q.Chen1414912000	-0.44	-0.44	0.32
HD5750	K.A.VennAJ12811772004		-0.39	
HD58551	T.GehrenAAP45110652006	-0.53	-0.52	
HD58551	Y.Q.Chen1414912000	-0.54	-0.54	0.42
HD58595	T.V.MisheninaAAP552A1282013	-0.31	-0.31	0.34
HD58855	Y.Q.Chen1414912000	-0.31	-0.31	0.32
HD59374	K.JonsellAAP4403212005	-0.93	-0.88	0.48
HD59374	J.P.FulbrightAJ12018412000	-0.8	-0.91	
HD59374	T.BensbyAAP562A712014	-0.95	-1	0.56
HD59374	R.G.GrattonAAP4041872003	-0.84	-0.89	
HD59374	R.SmiljanicAAP4991032009	-0.8	-0.8	
HD59374	T.GehrenAAP45110652006	-0.83	-0.82	
HD59374	K.A.VennAJ12811772004		-0.93	
HD59380	Y.Q.Chen1414912000	-0.17	-0.17	0.34
HD59392	P.E.NissenAAP511L102010	-1.6	-1.6	
HD59392	M.AsplundApJ6442292006	-1.61	-1.61	0.62
HD59392	P. E. NissenAAP530A152011	-1.6	-1.6	
HD59984	Y.TakedaPASJ57652005	-0.65	-0.65	0.6
HD59984	Y.SaitoPASJ615492009	-0.87	-0.96	
HD59984	Y.TakedaPASJ57452005	-0.65	-1.16	
HD59984	K.A.VennAJ12811772004		-0.75	
HD59984	Y.TakedaPASJ593352007	-0.65	-0.65	
HD59984	M.Takada-HidaiApJ5736142002	-0.85	-0.92	
HD59984	J.SimmererApJ61710912004		-0.77	
HD59984	R.SmiljanicAAP4991032009	-0.7	-0.7	
HD59984	T.GehrenAAP45110652006	-0.74	-0.73	
HD59984A	Y.Q.Chen1414912000	-0.71	-0.71	0.48
HD60319	R.G.GrattonAAP4041872003	-0.75	-0.81	0.44
HD60319	B.E.ReddyMNRAS36713292006	-0.77	-0.82	0.67
HD60319	C.J.HansenAAP545A312012	-0.9	-0.89	
HD60319	K.A.VennAJ12811772004		-0.88	
HD60319	J.P.FulbrightAJ12018412000	-0.7	-0.86	
HD60319	T.BensbyAAP562A712014	-0.84	-0.89	0.44
HD60319	E.CaffauAAP4415332005	-0.8	-0.8	
HD60319	R.SmiljanicAAP4991032009	-0.7	-0.7	
HD60319	T.GehrenAAP45110652006	-0.82	-0.81	
HD60319	Y.Q.Chen1414912000	-0.85	-0.85	0.51
HD61383	B.E.ReddyMNRAS36713292006	-0.51	-0.56	0.51
HD61421	M.BergemannAAP4928232008	-0.03	-0.03	
HD61421	M.BergemannMNRAS40113342010	-0.03	-0.03	
HD61421	Y.TakedaPASJ57652005	-0.02	-0.02	0.11
HD61421	Y.TakedaPASJ57452005	-0.02	-0.01	
HD61421	Y.TakedaPASJ593352007	-0.02	-0.02	
HD61606	T.V.MisheninaAAP552A1282013	-0.12	-0.12	0.22
HD61606	T.V.MisheninaAAP547A1062012	-0.12	-0.12	
HD61902	K.JonsellAAP4403212005	-0.71	-0.69	0.2
HD6229	R.G.GrattonAAP3541692000	-1.01	-1.04	0.41
HD62613	T.V.MisheninaAAP552A1282013	-0.1	-0.1	0.26
HD6268	A.McWilliamAJ10927571995	-2.7	-2.41	
HD6268	J.P.FulbrightApJ59511542003	-2.1	-2.4	0.5
HD6268	Y.SaitoPASJ615492009	-2.36	-2.56	
HD6268	A.McWilliamAJ10927361995			
HD6268	D.L.BurrisApJ5443022000	-3	-2.19	
HD6268	K.A.VennAJ12811772004		-2.36	
HD6268	I.U.RoedererAJ1471362014	-2.69	-2.82	0.67
HD6268	I.U.RoedererApJ69819632009	-2.42	-2.42	
HD6268	S.HondaApJS1521132004			
HD6268	W.AokiApJ592L672003	-2.5		
HD6268	J.MelendezApJ5754742002	-2.35	-2.35	0.71
HD6268	S.HondaApJ6074742004	-2.63	-2.62	
HD6268	J.J.CowanApJ6272382005	-2.42	-2.45	
HD63333	Y.Q.Chen1414912000	-0.39	-0.39	0.35
HD63333	K.A.VennAJ12811772004		-0.38	
HD63433	T.V.MisheninaAAP552A1282013	-0.06	-0.06	0.28
HD63433	T.V.MisheninaAAP547A1062012	-0.06	-0.06	
HD63598	K.JonsellAAP4403212005	-0.84	-0.87	0.43
HD63598	C.J.HansenAAP545A312012	-0.99	-0.99	
HD64090	R.G.GrattonAAP3541692000	-1.51	-1.55	0.42
HD64090	J.A.RichApJ70115192009	-1.77	-1.77	0.59
HD64090	G.BihainAAP4237772004	-1.74	-1.57	
HD64090	T.V.MisheninaAAP3709512001	-1.69	-1.69	
HD64090	I.U.RoedererApJ7249752010		-1.78	
HD64090	A.M.BoesgaardApJ7431402011	-1.77	-1.77	0.35
HD64090	R.G.GrattonAAP4041872003	-1.59	-1.65	0.72
HD64090	A.M.BoesgaardAJ1174921999	-1.67	-1.5	0.64
HD64090	T.V.MisheninaAAP3961892002	-1.69	-1.69	
HD64090	K.A.VennAJ12811772004		-1.79	
HD64090	A.FordAAP3936172002	-1.82	-1.82	
HD64090	J.P.FulbrightAJ12018412000	-1.7	-1.77	
HD64090	I.U.RoedererAJ1471362014	-2.04	-2.03	0.49
HD64090	C.CharbonnelAAP4429612005	-1.77	-1.77	
HD64090	T.BensbyAAP562A712014	-1.84	-1.89	
HD64090	J.SimmererApJ61710912004	-1.78	-1.78	
HD64385	B.E.ReddyMNRAS36713292006	-0.79	-0.84	0.77
HD64606	R.G.GrattonAAP4041872003	-0.9	-0.95	
HD64606	T.V.MisheninaAAP3961892002	-0.99	-0.99	
HD64606	T.V.MisheninaAAP552A1282013	-0.91	-0.91	
HD64606	K.A.VennAJ12811772004		-0.86	
HD64606	T.V.MisheninaAAP3709512001	-0.82	-0.82	
HD64606	J.P.FulbrightAJ12018412000	-0.7	-0.84	
HD64606	T.BensbyAAP562A712014	-0.91	-0.96	0.75
HD64606	R.SmiljanicAAP4991032009	-0.7	-0.7	
HD64815	T.V.MisheninaAAP552A1282013	-0.33	-0.33	0.19
HD6500	B.E.ReddyMNRAS36713292006	-0.74	-0.79	0.77
HD65583	T.V.MisheninaAAP552A1282013	-0.67	-0.67	0.66
HD6582	R.G.GrattonAAP4041872003	-0.82	-0.88	
HD6582	Y.TakedaPASJ57652005	-0.81	-0.81	0.65
HD6582	B.E.ReddyMNRAS36713292006	-0.86	-0.91	0.81
HD6582	Y.TakedaPASJ63S5372011	-0.81	-0.81	
HD6582	T.V.MisheninaAAP3961892002	-0.89	-0.89	
HD6582	Y.TakedaPASJ57452005	-0.81	-0.46	
HD6582	T.V.MisheninaAAP552A1282013	-0.94	-0.94	0.69
HD6582	G.BihainAAP4237772004	-0.86	-0.69	
HD6582	J.MelendezApJ5568582001	-0.83	-0.83	0.43
HD6582	K.A.VennAJ12811772004		-0.98	
HD6582	Y.TakedaPASJ593352007	-0.81	-0.81	
HD6582	T.MisheninaMNRAS46943782017		-0.83	0.76
HD6582	T.V.MisheninaAAP3709512001	-0.89	-0.89	
HD6582	M.Takada-HidaiApJ5736142002	-0.85	-0.93	
HD6582	J.P.FulbrightAJ12018412000	-0.8	-0.96	
HD65871	B.E.ReddyMNRAS36713292006	-0.41	-0.46	0.41
HD65874	T.V.MisheninaAAP552A1282013	0.05	0.05	0.19
HD6660	T.V.MisheninaAAP552A1282013	0.08	0.08	0.07
HD6660	T.V.MisheninaAAP547A1062012	0.08	0.08	
HD67228	Y.TakedaPASJ57652005	0.13	0.13	-0.04
HD67228	Y.TakedaPASJ57452005	0.13	0.2	
HD67228	Y.TakedaPASJ593352007	0.13	0.13	
HD6734	B.E.ReddyMNRAS36713292006	-0.47	-0.52	0.6
HD67767	Y.TakedaPASJ57652005	-0.05	-0.05	0.15
HD67767	B.E.ReddyMNRAS36713292006	-0.12	-0.17	0.17
HD67767	Y.TakedaPASJ57452005	-0.05	0.17	
HD67767	Y.TakedaPASJ593352007	-0.05	-0.05	
HD68017	B.E.ReddyMNRAS36713292006	-0.47	-0.52	0.63
HD68017	T.V.MisheninaAAP552A1282013	-0.42	-0.42	0.53
HD68146A	Y.Q.Chen1414912000	-0.09	-0.09	0.25
HD6834	Y.Q.Chen1414912000	-0.73	-0.73	0.52
HD6834	K.A.VennAJ12811772004		-0.69	
HD6840	Y.Q.Chen1414912000	-0.45	-0.45	0.43
HD6840	K.A.VennAJ12811772004		-0.43	
HD68638	T.V.MisheninaAAP552A1282013	-0.24	-0.24	0.36
HD693	Y.TakedaPASJ57652005	-0.34	-0.34	0.37
HD693	Y.TakedaPASJ57452005	-0.34	-0.65	
HD693	Y.TakedaPASJ593352007	-0.34	-0.34	
HD69611	B.E.ReddyMNRAS36713292006	-0.62	-0.67	0.8
HD69611	T.GehrenAAP45110652006	-0.65	-0.64	
HD69611	K.A.VennAJ12811772004		-0.58	
HD69830	Y.TakedaPASJ57652005	-0.01	-0.01	0.22
HD69830	Y.TakedaPASJ57452005	-0.01	0.11	
HD69830	Y.TakedaPASJ593352007	-0.01	-0.01	
HD69897	M.Takada-HidaiApJ5736142002	-0.25	-0.54	
HD69897	Y.TakedaPASJ57652005	-0.31	-0.31	0.2
HD69897	J.SimmererApJ61710912004		-0.27	
HD69897	Y.TakedaPASJ57452005	-0.31	-0.44	
HD69897	Y.Q.Chen1414912000	-0.28	-0.28	0.37
HD69897	K.A.VennAJ12811772004		-0.25	
HD69897	Y.TakedaPASJ593352007	-0.31	-0.31	
HD70110	Y.TakedaPASJ57652005	0.12	0.12	-0.02
HD70110	Y.TakedaPASJ57452005	0.12	0.12	
HD70110	Y.TakedaPASJ593352007	0.12	0.12	
HD7041	R.G.GrattonAAP3541692000	-0.83	-0.88	0.3
HD70923	T.V.MisheninaAAP552A1282013	0.06	0.06	0.21
HD72760	T.V.MisheninaAAP552A1282013	0.01	0.01	0.23
HD72905	T.V.MisheninaAAP552A1282013	-0.07	-0.07	0.19
HD72945A	Y.Q.Chen1414912000	0	0	0.25
HD73017	A.Alves-BritoAAP513A352010	-0.47	-0.47	0.04
HD73667	T.V.MisheninaAAP552A1282013	-0.58	-0.58	0.64
HD73667	T.V.MisheninaAAP547A1062012	-0.61	-0.61	
HD74000	A.M.BoesgaardApJ7431402011	-2.05	-2.05	0.43
HD74000	A.HosfordAAP4936012009	-2.2	-2.19	
HD74000	R.G.GrattonAAP4041872003	-1.96	-2.03	
HD74000	A.M.BoesgaardAJ1174921999	-1.99	-1.82	0.62
HD74000	J.A.RichApJ70115192009	-2.05	-2.05	0.67
HD74000	K.A.VennAJ12811772004		-2.08	
HD74000	A.FordAAP3936172002	-2	-2	
HD74000	E.ArnoneAAP4305072005		-2.17	
HD74000	J.P.FulbrightAJ12018412000	-2	-2.06	
HD74000	C.CharbonnelAAP4429612005	-1.96	-1.96	
HD74000	A.HosfordAAP511A472010	-2.2		
HD74000	R.SmiljanicAAP4991032009	-2	-2	
HD74011	B.E.ReddyMNRAS36713292006	-0.7	-0.75	0.77
HD74011	K.A.VennAJ12811772004		-0.65	
HD7424	B.E.ReddyMNRAS36713292006	-0.59	-0.64	0.88
HD7476	Y.TakedaPASJ57652005	-0.28	-0.28	0.18
HD7476	Y.TakedaPASJ57452005	-0.28	-0.07	
HD7476	Y.TakedaPASJ593352007	-0.28	-0.28	
HD75332	Y.Q.Chen1414912000	0	0	0.34
HD75530	R.G.GrattonAAP4041872003	-0.57	-0.62	0.7
HD75530	B.E.ReddyMNRAS36713292006	-0.59	-0.64	0.66
HD75732	Y.TakedaPASJ57652005	0.46	0.46	-0.14
HD75732	Y.TakedaPASJ57452005	0.46	1.11	
HD75732	T.V.MisheninaAAP552A1282013	0.25	0.25	0.06
HD75732	Y.TakedaPASJ593352007	0.46	0.46	
HD75767	T.V.MisheninaAAP552A1282013	-0.01	-0.01	0.07
HD75767	T.V.MisheninaAAP547A1062012	-0.01	-0.01	
HD7590	T.V.MisheninaAAP552A1282013	-0.1	-0.1	0.11
HD7590	T.V.MisheninaAAP547A1062012	-0.1	-0.1	
HD76151	Y.TakedaPASJ57652005	0.02	0.02	0.27
HD76151	Y.TakedaPASJ57452005	0.02	0.25	
HD76151	T.V.MisheninaAAP552A1282013	0.05	0.05	
HD76151	Y.TakedaPASJ593352007	0.02	0.02	
HD76349	Y.Q.Chen1414912000	-0.49	-0.49	0.4
HD76349	K.A.VennAJ12811772004		-0.44	
HD76932	K.JonsellAAP4403212005	-0.89	-0.88	0.47
HD76932	C.J.HansenAAP545A312012	-0.97	-0.97	
HD76932	J.A.RichApJ70115192009	-0.95	-0.95	0.48
HD76932	Y.TakedaPASJ57452005	-0.9	-0.98	
HD76932	T.V.MisheninaAAP552A1282013	-0.95	-0.95	0.69
HD76932	G.BihainAAP4237772004	-0.9	-0.73	
HD76932	T.V.MisheninaAAP3709512001	-0.9	-0.9	
HD76932	K.F.TanMNRAS3922052009	-0.89	-0.88	0.72
HD76932	R.SmiljanicAAP4991032009	-0.7	-0.7	
HD76932	T.BensbyAAP4331852005	-0.91	-0.91	
HD76932	P.E.NissenAAP511L102010	-0.87	-0.87	
HD76932	A.M.BoesgaardApJ7431402011	-0.95	-0.95	0.24
HD76932	R.G.GrattonAAP4041872003	-0.8	-0.86	0.55
HD76932	Y.TakedaPASJ57652005	-0.9	-0.9	0.88
HD76932	A.M.BoesgaardAJ1174921999	-0.87	-0.7	0.51
HD76932	B.E.ReddyMNRAS36713292006	-0.86	-0.91	0.73
HD76932	T.V.MisheninaAAP3961892002	-0.9	-0.9	
HD76932	K.A.VennAJ12811772004		-0.82	
HD76932	Y.TakedaPASJ593352007	-0.9	-0.9	
HD76932	P.E.NissenAAP3902352002	-0.86	-0.83	0.46
HD76932	M.Takada-HidaiApJ5736142002	-0.8	-1.04	
HD76932	J.P.FulbrightAJ12018412000	-0.7	-0.89	
HD76932	T.BensbyAAP562A712014	-0.9	-0.95	
HD76932	E.CaffauAAP4415332005	-0.85	-0.85	
HD76932	J.SimmererApJ61710912004		-0.89	
HD76932	H.L.YanAAP5851022016	-0.87	-0.87	
HD76932	P. E. NissenAAP530A152011	-0.87	-0.87	
HD77236	A.Alves-BritoAAP513A352010	-0.67	-0.67	0.56
HD77729	A.Alves-BritoAAP513A352010	-0.51	-0.51	0.52
HD78050	A.Alves-BritoAAP513A352010	-0.94	-0.94	0.32
HD78050	J.P.FulbrightAJ12018412000	-0.9	-1.06	
HD78050	C.CharbonnelAAP4429612005	-1.02	-1.02	
HD78050	Y.SaitoPASJ615492009	-1.08	-0.8	
HD78050	K.A.VennAJ12811772004		-1.08	
HD78418A	Y.Q.Chen1414912000	-0.26	-0.26	0.32
HD78558	B.E.ReddyMNRAS36713292006	-0.51	-0.56	0.67
HD78558	J.SimmererApJ61710912004		-0.49	
HD78558	K.A.VennAJ12811772004		-0.4	
HD787	A.Alves-BritoAAP513A352010	-0.22	-0.22	0.15
HD78747	K.JonsellAAP4403212005	-0.8	-0.72	0.59
HD78747	K.A.VennAJ12811772004		-0.64	
HD79028	Y.TakedaPASJ57652005	0	0	0.12
HD79028	Y.TakedaPASJ57452005	0	0.11	
HD79028	Y.Q.Chen1414912000	-0.05	-0.05	0.27
HD79028	Y.TakedaPASJ593352007	0	0	
HD7924	T.V.MisheninaAAP552A1282013	-0.22	-0.22	0.28
HD7924	T.V.MisheninaAAP547A1062012	-0.22	-0.22	
HD79601	K.JonsellAAP4403212005	-0.74	-0.74	0.54
HD7983	B.E.ReddyMNRAS36713292006	-0.67	-0.72	0.68
HD80218	Y.Q.Chen1414912000	-0.28	-0.28	0.37
HD80218	K.A.VennAJ12811772004		-0.28	
HD80811	A.Alves-BritoAAP513A352010	-0.51	-0.51	0.51
HD80811	B.E.ReddyMNRAS36713292006	-0.46	-0.51	0.66
HD80863	K.JonsellAAP4403212005	-0.61	-0.57	0.43
HD81809	Y.TakedaPASJ57652005	-0.34	-0.34	0.58
HD81809	Y.TakedaPASJ57452005	-0.34	-0.4	
HD81809	T.V.MisheninaAAP552A1282013	-0.28	-0.28	0.46
HD81809	Y.TakedaPASJ593352007	-0.34	-0.34	
HD82106	T.V.MisheninaAAP552A1282013	-0.11	-0.11	0.2
HD82328	M.Takada-HidaiApJ5736142002	-0.2	-0.14	
HD82328	Y.TakedaPASJ57652005	-0.27	-0.27	-0.06
HD82328	A.M.BoesgaardAJ1174921999	-0.17	0	0.23
HD82328	J.SimmererApJ61710912004		-0.22	
HD82328	Y.TakedaPASJ57452005	-0.27	-0.73	
HD82328	K.A.VennAJ12811772004		-0.2	
HD82328	Y.TakedaPASJ593352007	-0.27	-0.27	
HD82443	T.V.MisheninaAAP552A1282013	-0.03	-0.03	0.27
HD82443	T.V.MisheninaAAP547A1062012	-0.03	-0.03	
HD82885	Y.TakedaPASJ57652005	0.33	0.33	0.03
HD82885	Y.TakedaPASJ57452005	0.33	0.73	
HD82885	Y.TakedaPASJ593352007	0.33	0.33	
HD82885	T.V.MisheninaAAP547A1062012	0.4	0.4	
HD82943	Y.TakedaPASJ57652005	0.27	0.27	0.17
HD82943	Y.TakedaPASJ57452005	0.27	0.3	
HD82943	Y.TakedaPASJ593352007	0.27	0.27	
HD83212	A.Alves-BritoAAP513A352010	-1.42	-1.42	0.65
HD83212	H.JonssonAAP530A1442011	-1.4	-1.4	
HD83212	J.P.FulbrightAJ12018412000	-1.3	-1.44	
HD83212	R.G.GrattonAAP3541692000	-1.41	-1.42	0.63
HD83212	C.J.HansenAAP545A312012	-1.25	-1.25	
HD83212	B.W.CarneyAJ1252932003	-1.45	-1.45	
HD83212	D.L.BurrisApJ5443022000	-1.2	-1.26	
HD83212	K.A.VennAJ12811772004		-1.46	
HD83220	R.G.GrattonAAP4041872003	-0.39	-0.44	0.15
HD84035	T.V.MisheninaAAP552A1282013	0.25	0.25	-0.07
HD84035	T.V.MisheninaAAP547A1062012	0.25	0.25	
HD84038	B.E.ReddyMNRAS36713292006	-0.47	-0.52	0.62
HD84737	Y.TakedaPASJ57652005	0.13	0.13	0.02
HD84737	Y.TakedaPASJ57452005	0.13	0.14	
HD84737	Y.TakedaPASJ593352007	0.13	0.13	
HD84937	A.HosfordAAP4936012009	-2.34	-2.32	
HD84937	P.E.NissenAAP4693192007	-2.11	-2.11	
HD84937	D.K.LaiApJ66711852007	-1.91	-1.74	
HD84937	T.V.MisheninaAAP3709512001	-2	-2	
HD84937	A.HosfordAAP511A472010	-2.34		
HD84937	R.SmiljanicAAP4991032009	-2	-2	
HD84937	I.U.RoedererApJ8601252018	-2.25	-2.24	
HD84937	J.R.ShiAAP4655872007	-2.16	-2.15	
HD84937	R.G.GrattonAAP4041872003	-2.18	-2.23	
HD84937	H.LiApJ852L312018		-2.31	
HD84937	T.V.MisheninaAAP3961892002	-2	-2	
HD84937	T.MisheninaMNRAS46943782017		-2.24	
HD84937	A.FordAAP3936172002	-2.49	-2.49	
HD84937	M.SpiteAAP600262017	-2.25	-2.25	0.95
HD84937	M.Takada-HidaiApJ5736142002	-2.15	-2.07	
HD84937	C.CharbonnelAAP4429612005	-2.28	-2.28	
HD84937	D.FabbianAAP50011432009	-2.11	-2.16	0.74
HD84937	T.GehrenAAP45110652006	-2.16	-2.15	
HD84937	K.JonsellAAP4403212005	-1.96	-1.96	0.39
HD84937	W.AokiApJ69818032009	-2.15	-2.2	
HD84937	M.BergemannAAP522A92010	-2.16	-2.16	
HD84937	J.A.RichApJ70115192009	-2.2	-2.2	0.89
HD84937	G.BihainAAP4237772004	-2.06	-1.89	
HD84937	L.MashonkinaApJ67915492008	-2.15	-2.15	
HD84937	E.ArnoneAAP4305072005		-2.36	
HD84937	M.BergemannMNRAS40113342010	-2.16	-2.16	
HD84937	M.BergemannAAP4928232008	-2.16	-2.16	
HD84937	A.M.BoesgaardApJ7431402011	-2.2	-2.2	0.65
HD84937	A.M.BoesgaardAJ1174921999	-2.14	-1.97	0.86
HD84937	N.RydeAAP4155592004	-2.06	-2.06	
HD84937	K.A.VennAJ12811772004		-2.08	
HD84937	J.P.FulbrightAJ12018412000	-2	-2.06	
HD84937	T.BensbyAAP562A712014	-1.92	-1.97	0.45
HD8638	B.E.ReddyMNRAS36713292006	-0.41	-0.46	0.57
HD8648	T.V.MisheninaAAP552A1282013	0.12	0.12	0.11
HD86728	Y.TakedaPASJ57652005	0.27	0.27	0.04
HD86728	Y.TakedaPASJ57452005	0.27	0.33	
HD86728	T.V.MisheninaAAP552A1282013	0.22	0.22	
HD86728	Y.TakedaPASJ593352007	0.27	0.27	
HD86728	T.V.MisheninaAAP547A1062012	0.22	0.22	
HD87140	J.P.FulbrightAJ12018412000	-1.8	-1.93	
HD87140	R.G.GrattonAAP3541692000	-1.73	-1.77	0.58
HD87140	J.P.FulbrightApJ59511542003	-2	-1.84	0.65
HD87140	T.V.MisheninaAAP3961892002	-1.71	-1.71	
HD87140	G.BihainAAP4237772004	-1.83	-1.66	
HD87140	K.A.VennAJ12811772004		-1.95	
HD87140	T.V.MisheninaAAP3709512001	-1.71	-1.71	
HD87883	T.V.MisheninaAAP552A1282013		0	0.26
HD88072	T.V.MisheninaAAP552A1282013		0	-0.03
HD88609	C.J.HansenAAP545A312012	-2.87	-2.87	
HD88609	T.V.MisheninaAAP3709512001	-2.66	-2.66	
HD88609	J.A.JohnsonApJ5796162002		-2.79	
HD88609	S.HondaApJS1521132004			
HD88609	I.U.RoedererApJ7249752010		-3.07	
HD88609	J.A.JohnsonApJ5548882001	-2.8	-2.8	
HD88609	S.HondaApJ6074742004	-3.07	-3.06	
HD88609	J.A.JohnsonApJS1392192002	-2.8	-2.95	
