# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
BD03_740	J.P.FulbrightAJ12018412000	-2.7	-2.82	
BD03_740	I.I.IvansApJ5929062003	-2.75	-2.74	<0.88
BD03_740	C.CharbonnelAAP4429612005	-2.77	-2.77	
BD03_740	D.K.LaiApJ68115242008	-2.75	-2.71	<1.12
BD03_740	D.FabbianAAP50011432009	-2.62	-2.67	0.85
BD03_740	T.GehrenAAP45110652006	-2.45	-2.44	
BD03_740	M.AsplundApJ6442292006	-2.65	-2.65	0.64
BD05_3640	D.YongApJ59913572003	-1.34	-1.34	
BD05_3640	R.G.GrattonAAP4041872003	-1.15	-1.2	0.86
BD05_3640	I.U.RoedererApJ7249752010		-1.3	
BD05_3640	E.CaffauAAP4415332005	-1.19	-1.19	
BD05_3640	J.SimmererApJ61710912004	-1.3	-1.3	
BD06_0648	W.AokiPASJ60L72008	-2.1	-2.14	
BD06_0648	J.MelendezApJ5568582001	-2.1	-2.1	0.8
BD06_0648	D.L.BurrisApJ5443022000	-2	-1.93	
BD06_0648	M.AokiApJ83782017	-2.11	-2.11	
BD07_4841	P.E.NissenAAP511L102010	-1.39	-1.39	
BD07_4841	P.E.NissenAAP4693192007	-1.46	-1.46	
BD07_4841	Y.TakedaPASJ63S5372011	-1.46	-1.46	
BD07_4841	C.J.AkermanAAP4149312004	-1.52	-1.52	0.95
BD07_4841	C.CharbonnelAAP4429612005	-1.25	-1.25	
BD07_4841	E.CaffauAAP4415332005	-1.59	-1.59	
BD07_4841	D.FabbianAAP50011432009	-1.46	-1.51	0.86
BD07_4841	H.L.YanAAP5851022016	-1.39	-1.39	
BD07_4841	P. E. NissenAAP530A152011	-1.39	-1.39	
BD07_4841	P.E.NissenAAP4159932004	-1.52	-1.52	
BD08_3095	J.MelendezApJ64210822006	-0.6	-0.78	0.84
BD08_3095	C.J.AkermanAAP4149312004	-0.76	-0.76	0.42
BD08_3095	P.E.NissenAAP4159932004	-0.76	-0.76	
BD09_2190	A.M.BoesgaardApJ7431402011	-3	-3	0.56
BD09_2190	A.HosfordAAP4936012009	-2.68	-2.84	
BD09_2190	C.J.HansenAAP545A312012	-2.6	-2.6	
BD09_2190	J.A.RichApJ70115192009	-3	-3	0.8
BD09_2190	E.ArnoneAAP4305072005		-2.83	
BD09_2190	C.CharbonnelAAP4429612005	-2.88	-2.88	
BD09_2190	M.AsplundApJ6442292006	-2.66	-2.66	0.49
BD09_2190	J.MelendezAAP515L32010	-2.64	-2.64	
BD10_2495	M.N.IshigakiApJ753642012	-2.02	-2.02	
BD10_2495	M.IshigakiPASJ621432010	-2.17	-2.17	
BD10_2495	I.U.RoedererApJ7115732010	-2.45	-2.31	0.92
BD10_2495	I.U.RoedererAJ1471362014	-2.14	-2.16	0.21
BD10_2495	L.ZhangApJ70610952009	-2.1	-1.93	
BD10_2495	J.A.JohnsonApJ5796162002		-1.9	
BD10_2495	C.CharbonnelAAP4429612005	-1.83	-1.83	
