# Object	Reference	Metallicity	[O/H]	[N/H]
BD+23_3130	I.U.Roederer+AJ1471362014	-2.9		<-2.03
BD+23_3130	J.P.Fulbright+AJ12018412000	-2.6		
BD+23_3130	D.K.Lai+ApJ68115242008	-2.6	-1.89	-3.03
BD+23_3130	R.Cayrel+NewAR455332001	-2.62	-1.77	
BD+24_1676	A.M.Boesgaard+ApJ7431402011	-2.55	-2	
BD+24_1676	A.Hosford+AAP4936012009	-2.53		
BD+24_1676	C.J.Hansen+AAP545A312012	-2.5		
BD+24_1676	A.Stephens+AJ12316472002	-2.56		
BD+24_1676	P.E.Nissen+AAP3902352002	-2.41		
BD+24_1676	E.Arnone+AAP4305072005			
BD+24_1676	I.U.Roederer+AJ1471362014	-2.54	-2.4	<0.02
BD+24_1676	I.I.Ivans+ApJ5929062003	-2.49	-1.39	
BD+24_1676	C.Charbonnel+AAP4429612005	-2.65		
BD+24_1676	D.K.Lai+ApJ68115242008	-2.6	-1.84	<-2.33
BD+24_1676	A.M.Boesgaard+ApJ6333982005	-2.56		
BD+24_1676	J.Melendez+AAP515L32010	-2.54		
BD+29_2356	I.U.Roederer+AJ1471362014	-1.62	-1.04	-1.12
BD+29_2356	L.Zhang+ApJ70610952009	-1.45		
BD+29_2356	M.N.Ishigaki+ApJ753642012	-1.65		
BD+29_2356	M.Ishigaki+PASJ621432010	-1.44		
BD+29_2356	I.U.Roederer+ApJ7115732010	-1.55	-0.65	-1.26
BD+44_493	Y.Takeda+PASJ63S5372011	-3.68		
BD+44_493	I.U.Roederer+ApJ824L192016	-3.8		
BD+44_493	V.M.Placco+ApJ790342014	-3.8	-2.34	
BD+44_493	H.Ito+ApJ698L372009	-3.68	-2.12	-3.41
BD+44_493	I.U.Roederer+AJ1471362014	-4.26		<-2.08
BD+44_493	H.Ito+ApJ773332013	-3.8	-2.19	-3.43
BD+44_493	I.U.Roederer+ApJ7841582014	-4.26		<-2.08
BD+44_493	B.W.Carney+AJ1252932003	-2.71		
BD+80_245	I.U.Roederer+AJ1471362014	-2.01	-1.84	<-1.03
BD+80_245	J.P.Fulbright+AJ12018412000	-1.9		
BD+80_245	I.I.Ivans+ApJ5929062003	-2.07	<-1.01	
BD+80_245	K.A.Venn+AJ12811772004			
BD-15_5781	I.U.Roederer+AJ1471362014	-2.87	-2.35	-2.37
BD-15_5781	B.W.Carney+AJ1252932003	-2.47		
BD-15_5781	D.L.Burris+ApJ5443022000	-3		
BD-18_5550	A.McWilliam+AJ10927571995			
BD-18_5550	J.A.Johnson+ApJ65812032007	-2.89		
BD-18_5550	M.Spite+AAP4306552005	-3.06	-2.5	-3.33
BD-18_5550	A.McWilliam+AJ10927361995			
BD-18_5550	S.M.Andrievsky+AAP509A882010	-3.06		
BD-18_5550	G.Bihain+AAP4237772004	-3.01		
BD-18_5550	T.V.Mishenina+AAP3709512001	-3.01		
BD-18_5550	J.K.Hollek+ApJ742542011	-3.2		
BD-18_5550	P.Francois+AAP4769352007	-3		
BD-18_5550	J.A.Johnson+ApJ5796162002			
BD-18_5550	J.A.Johnson+ApJ5548882001	-2.9		
BD-18_5550	J.Melendez+ApJ5754742002	-2.87	-2.16	
BD-18_5550	J.A.Johnson+ApJS1392192002	-2.9		
BD-18_5550	S.M.Andrievsky+AAP4814812008	-3.06		
BD-18_5550	S.M.Andrievsky+AAP49410832009	-3.06		
BD-18_5550	R.Cayrel+AAP41611172004	-3.06	-2.56	
BD-18_5550	M.Spite+AAP541A1432012	-3.06		
BD-18_5550	Y.Takeda+PASJ63S5372011	-3.06		
BD-18_5550	T.V.Mishenina+AAP3961892002			
BD-18_5550	D.L.Burris+ApJ5443022000	-3		
BD-18_5550	S.M.Andrievsky+AAP46410812007	-3.06		
BD-18_5550	I.U.Roederer+AJ1471362014	-3.15	<-2.19	<-2.63
BD-18_5550	M.Spite+AAP4552912006	-3.06		-3.33
BD-18_5550	M.Spite+AAP528A92011	-3.06		
BD-18_5550	B.W.Carney+AJ1252932003	-3.11		
BD-20_6008	I.U.Roederer+AJ1471362014	-3.05	<-2.48	-2.2
BD-20_6008	B.W.Carney+AJ1252932003	-2.63		
BS16077-007	D.K.Lai+ApJ66711852007	-2.82		
BS16077-007	D.K.Lai+ApJ68115242008	-2.8	<-1.19	<-1.83
BS16077-007	D.K.Lai+AJ12824022004			
BS16084-160	W.Aoki+ApJ6326112005	-3		
BS16084-160	D.K.Lai+ApJ66711852007	-2.93		
BS16084-160	D.K.Lai+ApJ68115242008	-3.15	-2.79	-2.33
BS16084-160	D.K.Lai+AJ12824022004			
BS16467-062	S.M.Andrievsky+AAP49410832009	-3.77		
BS16467-062	P.Francois+AAP40311052003			
BS16467-062	R.Cayrel+AAP41611172004	-3.77		
BS16467-062	D.K.Lai+ApJ66711852007	-3.79		
BS16467-062	M.Spite+AAP4306552005	-3.77		<-3.23
BS16467-062	J.G.Cohen+ApJ778562013	-3.48	<-1.54	<-2.79
BS16467-062	M.Spite+AAP541A1432012	-3.77		
BS16467-062	S.M.Andrievsky+AAP509A882010	-3.77		
BS16467-062	D.K.Lai+AJ12824022004			
BS16467-062	P.Francois+AAP4769352007	-4		
BS16467-062	S.M.Andrievsky+AAP46410812007	-3.77		
BS16467-062	M.Spite+AAP4552912006	-3.77		<-3.23
BS16467-062	D.K.Lai+ApJ68115242008	-3.7		
BS16467-062	J.G.Cohen+ApJ6723202008		<-1.54	<-2.83
BS16467-062	S.M.Andrievsky+AAP4814812008	-3.77		
BS16934-002	W.Aoki+ApJ6607472007	-2.8	-1.66	-2.18
BS16934-002	W.Aoki+ApJ6326112005	-2.8		
bwb002	C.R.daSilveira+AAP614A1492018	0.46	0.18	0.55
bwb003	C.R.daSilveira+AAP614A1492018	-0.48	-0.31	-0.34
bwb005	C.R.daSilveira+AAP614A1492018	0.51	0.23	0.45
bwb007	C.R.daSilveira+AAP614A1492018	0.32	0.14	0.76
bwb008	C.R.daSilveira+AAP614A1492018	-0.8	<-0.73	0.34
bwb009	C.R.daSilveira+AAP614A1492018	0.13	-0.05	0.27
bwb014	C.R.daSilveira+AAP614A1492018	0.48	0.15	0.62
bwb015	C.R.daSilveira+AAP614A1492018	0.22	-0.06	0.26
bwb016	C.R.daSilveira+AAP614A1492018	0.05	-0.08	0.69
bwb017	C.R.daSilveira+AAP614A1492018	-0.39	-0.02	0.05
bwb021	C.R.daSilveira+AAP614A1492018	0.39	0.16	0.58
bwb022	C.R.daSilveira+AAP614A1492018	0.18	-0.05	0.42
bwb024	C.R.daSilveira+AAP614A1492018	0.24	0.01	0.13
bwb025	C.R.daSilveira+AAP614A1492018	-0.68	<-0.61	-0.54
bwb026	C.R.daSilveira+AAP614A1492018	-0.15	-0.04	0.19
bwb027	C.R.daSilveira+AAP614A1492018	-0.24	-0.02	0.2
bwb031	C.R.daSilveira+AAP614A1492018	-0.63	-0.26	-0.24
bwb033	C.R.daSilveira+AAP614A1492018	0.38	0.15	0.27
bwb035	C.R.daSilveira+AAP614A1492018	-0.67	-0.25	-0.23
bwb037	C.R.daSilveira+AAP614A1492018	0.41	0.23	0.75
bwb038	C.R.daSilveira+AAP614A1492018	-0.56	-0.24	-0.12
bwb040	C.R.daSilveira+AAP614A1492018	-0.59	-0.32	0
bwb041	C.R.daSilveira+AAP614A1492018	0.31	0.08	0.5
bwb043	C.R.daSilveira+AAP614A1492018	-0.04	0.03	0.4
bwb044	C.R.daSilveira+AAP614A1492018	-0.44	-0.27	0.1
bwb047	C.R.daSilveira+AAP614A1492018	-0.22	-0.32	0.22
bwb048	C.R.daSilveira+AAP614A1492018	-0.26	-0.14	-0.12
bwb049	C.R.daSilveira+AAP614A1492018	0.33	0.15	0.47
bwb050	C.R.daSilveira+AAP614A1492018	-0.2	-0.08	0.39
bwb053	C.R.daSilveira+AAP614A1492018	0.27	0.04	0.31
bwb054	C.R.daSilveira+AAP614A1492018	0.17	-0.06	0.51
bwb055	C.R.daSilveira+AAP614A1492018	-0.24	-0.07	0.4
bwb056	C.R.daSilveira+AAP614A1492018	-0.33	-0.08	-0.29
bwb057	C.R.daSilveira+AAP614A1492018	-0.16	0.06	0.48
bwb058	C.R.daSilveira+AAP614A1492018	-0.21	0.11	0.23
