# Object	Reference	Metallicity	[O/H]	[C/H]
BD+17_4708	R.Smiljanic+AAP4991032009	-1.5		
BD+17_4708	J.Melendez+AAP515L32010	-1.59		
BD+17_4708	P.E.Nissen+AAP4159932004	-1.64		
BD+17_4708	S.G.Ryan+ApJ549552001	-1.86		
BD+17_4708	A.M.Boesgaard+ApJ7431402011	-1.7	-1.15	
BD+17_4708	R.G.Gratton+AAP4041872003	-1.58	-0.85	
BD+17_4708	J.Melendez+ApJ64210822006	-1.4	-0.74	
BD+17_4708	A.M.Boesgaard+AJ1174921999	-1.73	-0.71	
BD+17_4708	T.V.Mishenina+AAP3961892002	-1.56		
BD+17_4708	K.A.Venn+AJ12811772004			
BD+17_4708	P.E.Nissen+AAP3902352002	-1.58	-0.77	
BD+17_4708	I.U.Roederer+AJ1471362014	-1.7	-1.45	-1.89
BD+17_4708	J.P.Fulbright+AJ12018412000	-1.5		
BD+17_4708	C.Charbonnel+AAP4429612005	-1.73		
BD+17_4708	E.Caffau+AAP4415332005	-1.62		
BD+17_4708	D.Fabbian+AAP50011432009	-1.55	-0.83	-1.49
BD+17_4708	J.Simmerer+ApJ61710912004	-1.59		-1.46
BD+17_4708	M.Asplund+ApJ6442292006	-1.51	-1	
BD+18_3423	B.E.Reddy+MNRAS36713292006	-0.87	-0.28	-0.49
BD+20_2594	B.E.Reddy+MNRAS36713292006	-0.94	-0.31	-0.47
BD+20_2594	T.Gehren+AAP45110652006	-0.81		
BD+22_2442	B.E.Reddy+MNRAS36713292006	-0.83	-0.19	-0.28
BD+23_3130	D.K.Lai+ApJ66711852007	-2.59		-2.16
BD+23_3130	J.P.Fulbright+ApJ59511542003	-2.7	-1.65	
BD+23_3130	Y.Takeda+PASJ63S5372011	-2.6		
BD+23_3130	T.V.Mishenina+AAP3961892002	-2.61		
BD+23_3130	G.Bihain+AAP4237772004	-2.66		
BD+23_3130	K.A.Venn+AJ12811772004			
BD+23_3130	T.V.Mishenina+AAP3709512001	-2.62		
BD+23_3130	G.Israelian+ApJ5518332001		-1.21	
BD+23_3130	I.U.Roederer+AJ1471362014	-2.9		-2.94
BD+23_3130	J.P.Fulbright+AJ12018412000	-2.6		
BD+23_3130	D.K.Lai+ApJ68115242008	-2.6	-1.89	-2.38
BD+23_3130	R.Cayrel+NewAR455332001	-2.62	-1.77	
BD+24_1676	A.M.Boesgaard+ApJ7431402011	-2.55	-2	
BD+24_1676	A.Hosford+AAP4936012009	-2.53		
BD+24_1676	C.J.Hansen+AAP545A312012	-2.5		
BD+24_1676	A.Stephens+AJ12316472002	-2.56		
BD+24_1676	P.E.Nissen+AAP3902352002	-2.41		
BD+24_1676	E.Arnone+AAP4305072005			
BD+24_1676	I.U.Roederer+AJ1471362014	-2.54	-2.4	-2.24
BD+24_1676	I.I.Ivans+ApJ5929062003	-2.49	-1.39	
BD+24_1676	C.Charbonnel+AAP4429612005	-2.65		
BD+24_1676	D.K.Lai+ApJ68115242008	-2.6	-1.84	-2.13
BD+24_1676	A.M.Boesgaard+ApJ6333982005	-2.56		
BD+24_1676	J.Melendez+AAP515L32010	-2.54		
BD+25_1858	B.E.Reddy+MNRAS36713292006	-0.84	-0.02	-0.08
BD+26_2621	A.M.Boesgaard+ApJ7431402011	-2.69	-2.02	
BD+26_2621	A.Hosford+AAP4936012009	-2.67		
BD+26_2621	P.E.Nissen+AAP4693192007	-2.58		
BD+26_2621	J.A.Rich+ApJ70115192009	-2.69	-1.78	
BD+26_2621	E.Arnone+AAP4305072005			
BD+26_2621	C.Charbonnel+AAP4429612005	-2.84		
BD+26_2621	A.Hosford+AAP511A472010	-2.68		
BD+26_2621	D.Fabbian+AAP50011432009	-2.58	-1.78	-2.4
BD+28_2137	A.M.Boesgaard+ApJ7431402011	-1.97	-1.39	
BD+28_2137	M.N.Ishigaki+ApJ753642012	-1.99		
BD+28_2137	P.E.Nissen+AAP4693192007	-1.93		
BD+28_2137	M.Ishigaki+PASJ621432010	-2.42		
BD+28_2137	G.S.Bai+AAP4256712004	-1.93	-1.23	
BD+28_2137	C.Charbonnel+AAP4429612005	-2.23		
BD+28_2137	M.N.Ishigaki+ApJ771672013	-1.99		
BD+28_2137	D.Fabbian+AAP50011432009	-1.93	-1.09	-1.62
BD+29_2356	I.U.Roederer+AJ1471362014	-1.62	-1.04	-1.85
BD+29_2356	L.Zhang+ApJ70610952009	-1.45		
BD+29_2356	M.N.Ishigaki+ApJ753642012	-1.65		
BD+29_2356	M.Ishigaki+PASJ621432010	-1.44		
BD+29_2356	I.U.Roederer+ApJ7115732010	-1.55	-0.65	-1.72
BD+30_2611	M.N.Ishigaki+ApJ753642012	-1.53		
BD+30_2611	W.Aoki+PASJ60L72008	-1.5		-2.12
BD+30_2611	J.P.Fulbright+ApJ59511542003	-1.3	-0.88	
BD+30_2611	M.Ishigaki+PASJ621432010	-1.32		
BD+30_2611	Y.Saito+PASJ615492009	-1.49		
BD+30_2611	C.J.Hansen+AAP545A312012	-1.2		
BD+30_2611	I.U.Roederer+ApJ7115732010	-1.45	-1.29	-2.11
BD+30_2611	T.V.Mishenina+AAP3961892002			
BD+30_2611	D.L.Burris+ApJ5443022000	-1.4		
BD+30_2611	K.A.Venn+AJ12811772004			
BD+30_2611	T.V.Mishenina+AAP3709512001	-1.41		
BD+30_2611	L.Zhang+ApJ70610952009	-1.41		
BD+30_2611	J.P.Fulbright+AJ12018412000	-1.2		
BD+35_4669	B.E.Reddy+MNRAS36713292006	0.14	0.43	0.42
BD+36_1898	B.E.Reddy+MNRAS36713292006	-0.85	-0.13	-0.33
BD+44_493	Y.Takeda+PASJ63S5372011	-3.68		
BD+44_493	I.U.Roederer+ApJ824L192016	-3.8		
BD+44_493	V.M.Placco+ApJ790342014	-3.8	-2.34	-2.65
BD+44_493	H.Ito+ApJ698L372009	-3.68	-2.12	-2.41
BD+44_493	I.U.Roederer+AJ1471362014	-4.26		-3.08
BD+44_493	H.Ito+ApJ773332013	-3.8	-2.19	-2.48
BD+44_493	I.U.Roederer+ApJ7841582014	-4.26		-3.08
BD+44_493	B.W.Carney+AJ1252932003	-2.71		
BD+45_919	B.E.Reddy+MNRAS36713292006	-0.84	0.13	-0.09
BD+46_1264	B.E.Reddy+MNRAS36713292006	-0.19	0.06	-0.07
BD+46_610	B.E.Reddy+MNRAS36713292006	-0.8	-0.05	-0.3
BD+59_1609	B.E.Reddy+MNRAS36713292006	-0.54	0.15	-0.01
BD+65_737	B.E.Reddy+MNRAS36713292006	-0.65	0.05	-0.18
BD+67_1034	B.E.Reddy+MNRAS36713292006	-0.59	0.14	-0.08
BD+68_394	B.E.Reddy+MNRAS36713292006	-0.89	-0.12	-0.45
BD+70_1218	B.E.Reddy+MNRAS36713292006	-0.38	0.31	0.2
