# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
HD221170	L.Zhang+AAP528A922011		-2.14	
HD221170	P.S.Barklem+AAP4391292005	-2.14	-2.15	
HD221170	J.P.Fulbright+ApJ59511542003	-2.2	-2.2	
HD221170	W.Aoki+PASJ60L72008	-2.1	-2.03	
HD221170	Y.Saito+PASJ615492009	-2.03	-2.04	
HD221170	N.Christlieb+AAP42810272004	-1.61		
HD221170	T.V.Mishenina+AAP3961892002		-2.05	
HD221170	D.L.Burris+ApJ5443022000	-2	-1.98	
HD221170	K.A.Venn+AJ12811772004		-2.19	
HD221170	T.Mishenina+MNRAS46943782017		-2.26	
HD221170	J.P.Fulbright+AJ12018412000	-2.1	-2.17	
HD221170	J.Simmerer+ApJ61710912004	-2.35	-2.35	
HD221170	B.W.Carney+AJ1252932003	-2.26	-2.26	
HD221170	J.J.Cowan+ApJ6272382005	-2.35	-2.38	
HD222925	I.U.Roederer+ApJ8651292018	-1.5	-1.58	0.2
HD222925	R.G.Gratton+AAP3541692000	-1.51	-1.56	
HD224959	T.Masseron+AAP509A932010	-2.06	-2.11	1.88
HD224959	S.VanEck+AAP4042912003		-2.2	
HD23439	R.G.Gratton+AAP3541692000	-0.99	-1.04	-0.06
HD23439	R.G.Gratton+AAP4041872003	-1.04	-1.08	
HD23439	B.E.Reddy+MNRAS36713292006	-1.03	-1.08	
HD23439	T.V.Mishenina+AAP3961892002	-1.14	-1.14	
HD23439	K.A.Venn+AJ12811772004		-1.1	
HD23439	T.V.Mishenina+AAP3709512001	-1.14	-1.14	
HD23439	J.P.Fulbright+AJ12018412000	-0.8	-1.08	
HD23439	I.U.Roederer+ApJ7249752010		-1.22	
HD23439	J.Simmerer+ApJ61710912004	-1.22	-1.22	
HD24035	T.Masseron+AAP509A932010	-0.14	-0.19	0.46
HD26	T.Masseron+AAP509A932010	-1.02	-1.07	0.94
HD26	S.VanEck+AAP4042912003		-1.25	
HD26169	I.U.Roederer+AJ1471362014	-2.81	-2.8	-0.46
HD26169	R.G.Gratton+AAP3541692000	-2.3	-2.36	
HD26169	A.E.GarciaPerez+AAP4516212006	-2.29	-2.28	
HD26169	A.E.GarciaPerez+AAP4472992006	-2.28	-2.28	
HD2796	A.McWilliam+AJ10927571995	-2.6	-2.34	
HD2796	G.Israelian+ApJ 557L432001	-2.3	-2.3	
HD2796	M.Spite+AAP4306552005	-2.47	-2.47	0.94
HD2796	A.McWilliam+AJ10927361995			
HD2796	S.M.Andrievsky+AAP509A882010	-2.47	-2.47	
HD2796	G.Bihain+AAP4237772004	-2.18	-2.01	
HD2796	T.V.Mishenina+AAP3709512001	-2.21	-2.21	
HD2796	P.Francois+AAP4769352007	-2.4	-2.47	
HD2796	J.Melendez+ApJ5754742002	-2.26	-2.26	
HD2796	S.M.Andrievsky+AAP4814812008	-2.47	-2.47	
HD2796	S.M.Andrievsky+AAP49410832009	-2.47	-2.47	
HD2796	R.Cayrel+AAP41611172004	-2.47	-2.45	
HD2796	J.P.Fulbright+ApJ59511542003	-2.2	-2.28	
HD2796	H.Li+ApJ852L312018		-2.49	
HD2796	M.Spite+AAP541A1432012	-2.47	-2.47	
HD2796	T.V.Mishenina+AAP3961892002	-2.21	-2.21	
HD2796	D.L.Burris+ApJ5443022000	-3		
HD2796	K.A.Venn+AJ12811772004		-2.23	
HD2796	S.M.Andrievsky+AAP46410812007	-2.47	-2.47	
HD2796	M.Spite+AAP4552912006	-2.47	-2.47	0.94
HD2796	M.Spite+AAP528A92011	-2.47	-2.47	
HD2796	F.Spite+AAP611A302018	-2.5	-2.47	
HD45282	R.G.Gratton+AAP3541692000	-1.37	-1.4	-0.01
HD45282	J.R.Shi+AAP4655872007	-1.52	-1.51	
HD45282	J.P.Fulbright+ApJ59511542003	-1.5	-1.31	
HD45282	Y.Saito+PASJ615492009	-1.29	-1.46	
HD45282	T.V.Mishenina+AAP3961892002	-1.31	-1.31	
HD45282	K.A.Venn+AJ12811772004		-1.5	
HD45282	T.V.Mishenina+AAP3709512001	-1.28	-1.28	
HD45282	I.U.Roederer+AJ1471362014	-1.73	-1.59	
HD45282	J.P.Fulbright+AJ12018412000	-1.4	-1.48	
HD45282	B.W.Carney+AJ1252932003	-1.8	-1.8	
HD45282	A.E.GarciaPerez+AAP4516212006	-1.53	-1.52	
HD45282	A.E.GarciaPerez+AAP4472992006	-1.52	-1.52	
HD5424	T.Masseron+AAP509A932010	-0.21	-0.26	0.43
HD6229	R.G.Gratton+AAP3541692000	-1.01	-1.04	0.37
HD6268	A.McWilliam+AJ10927571995	-2.7	-2.41	
HD6268	J.P.Fulbright+ApJ59511542003	-2.1	-2.4	
HD6268	Y.Saito+PASJ615492009	-2.36	-2.56	
HD6268	A.McWilliam+AJ10927361995			
HD6268	D.L.Burris+ApJ5443022000	-3	-2.19	
HD6268	K.A.Venn+AJ12811772004		-2.36	
HD6268	I.U.Roederer+AJ1471362014	-2.69	-2.82	0.93
HD6268	I.U.Roederer+ApJ69819632009	-2.42	-2.42	
HD6268	S.Honda+ApJS1521132004			
HD6268	W.Aoki+ApJ592L672003	-2.5		
HD6268	J.Melendez+ApJ5754742002	-2.35	-2.35	
HD6268	S.Honda+ApJ6074742004	-2.63	-2.62	
HD6268	J.J.Cowan+ApJ6272382005	-2.42	-2.45	
HD64090	R.G.Gratton+AAP3541692000	-1.51	-1.55	0.24
HD64090	J.A.Rich+ApJ70115192009	-1.77	-1.77	
HD64090	G.Bihain+AAP4237772004	-1.74	-1.57	
HD64090	T.V.Mishenina+AAP3709512001	-1.69	-1.69	
HD64090	I.U.Roederer+ApJ7249752010		-1.78	
HD64090	A.M.Boesgaard+ApJ7431402011	-1.77	-1.77	
HD64090	R.G.Gratton+AAP4041872003	-1.59	-1.65	
HD64090	A.M.Boesgaard+AJ1174921999	-1.67	-1.5	
HD64090	T.V.Mishenina+AAP3961892002	-1.69	-1.69	
HD64090	K.A.Venn+AJ12811772004		-1.79	
HD64090	A.Ford+AAP3936172002	-1.82	-1.82	
HD64090	J.P.Fulbright+AJ12018412000	-1.7	-1.77	
HD64090	I.U.Roederer+AJ1471362014	-2.04	-2.03	0.35
HD64090	C.Charbonnel+AAP4429612005	-1.77	-1.77	
HD64090	T.Bensby+AAP562A712014	-1.84	-1.89	
HD64090	J.Simmerer+ApJ61710912004	-1.78	-1.78	
HD83212	A.Alves-Brito+AAP513A352010	-1.42	-1.42	
HD83212	H.Jonsson+AAP530A1442011	-1.4	-1.4	
HD83212	J.P.Fulbright+AJ12018412000	-1.3	-1.44	
HD83212	R.G.Gratton+AAP3541692000	-1.41	-1.42	0.59
HD83212	C.J.Hansen+AAP545A312012	-1.25	-1.25	
HD83212	B.W.Carney+AJ1252932003	-1.45	-1.45	
HD83212	D.L.Burris+ApJ5443022000	-1.2	-1.26	
HD83212	K.A.Venn+AJ12811772004		-1.46	
HD87140	J.P.Fulbright+AJ12018412000	-1.8	-1.93	
HD87140	R.G.Gratton+AAP3541692000	-1.73	-1.77	-0.01
HD87140	J.P.Fulbright+ApJ59511542003	-2	-1.84	
HD87140	T.V.Mishenina+AAP3961892002	-1.71	-1.71	
HD87140	G.Bihain+AAP4237772004	-1.83	-1.66	
HD87140	K.A.Venn+AJ12811772004		-1.95	
HD87140	T.V.Mishenina+AAP3709512001	-1.71	-1.71	
HE0007-1832	J.G.Cohen+ApJ61211072004	-3	-2.7	1.87
HE0007-1832	J.G.Cohen+ApJ778562013	-2.79	-2.84	
HE0007-1832	J.G.Cohen+AJ1321372006			
HE0012-1441	J.G.Cohen+ApJ778562013	-2.52	-2.57	0.73
HE0012-1441	J.G.Cohen+AJ1321372006	-2.61	-2.57	0.79
HE0037-0348	J.G.Cohen+ApJ778562013	-3.15	-3.2	1.11
HE0048-0611	J.G.Cohen+ApJ778562013	-2.66	-2.71	0.32
HE0054-2542	T.Hansen+ApJ8071732015	-2.5	-2.48	0.87
HE0056-3022	I.U.Roederer+AJ1471362014	-3.72	-3.77	0.05
HE0056-3022	B.W.Carney+AJ1252932003	-2.9	-2.9	
HE0056-3022	A.E.GarciaPerez+AAP4516212006	-3.04	-3.01	
HE0056-3022	A.E.GarciaPerez+AAP4472992006	-3.01	-3.01	
HE0057-4541	P.S.Barklem+AAP4391292005	-2.32	-2.31	
HE0057-4541	L.Zhang+AAP528A922011		-2.32	
HE0057-4541	C.SiqueiraMello+AAP565A932014	-2.4	-2.34	0.16
HE0100-1622	T.Hansen+ApJ8071732015	-2.9	-2.93	1.9
HE0109-4510	T.Hansen+ApJ8071732015	-3	-2.96	0.57
HE0132-2439	J.G.Cohen+AJ1244702002	-3.56		
HE0132-2439	J.G.Cohen+ApJ778562013		-3.6	1.26
HE0132-2439	E.Carretta+AJ1244812002	-3.59	-3.71	
HE0132-2439	J.G.Cohen+ApJ6723202008		-3.6	1.22
HE0139-2826	V.M.Placco+ApJ781402014	-3.46	-3.46	0.03
HE0143-0441	J.G.Cohen+ApJ61211072004	-3	-2.21	-0.02
HE0143-0441	J.G.Cohen+ApJ778562013	-2.31	-2.36	1.92
HE0143-0441	J.G.Cohen+AJ1321372006	-2.94	-2.36	1.88
HE0206-1916	W.Aoki+ApJ6554922007	-2.2	-2.14	1.61
HE0212-0557	J.G.Cohen+ApJ778562013	-2.27	-2.32	1.28
HE0212-0557	J.G.Cohen+AJ1321372006	-3.45	-2.32	1.24
HE0226+0103	J.G.Cohen+ApJ778562013	-2.81	-2.86	1.07
HE0240-0807	P.S.Barklem+AAP4391292005	-2.68	-2.68	
HE0240-0807	L.Zhang+AAP528A922011		-2.68	
HE0240-0807	C.SiqueiraMello+AAP565A932014	-2.86	-2.86	0.73
HE0240-0807	J.Ren+AAP537A1182012	-2.68	-2.51	
HE0243-3044	T.Hansen+ApJ8071732015	-2.6	-2.58	1.48
HE0305-4520	P.S.Barklem+AAP4391292005	-2.91	-2.91	
HE0305-4520	M.Spite+AAP571A402014	-3	-2.96	1.72
HE0305-4520	L.Zhang+AAP528A922011		-2.91	
HE0336+0113	J.G.Cohen+ApJ778562013	-2.68	-2.73	1.79
HE0336+0113	J.G.Cohen+AJ1321372006	-2.51	-2.73	1.75
HE0338-3945	P.S.Barklem+AAP4391292005	-2.41	-2.41	
HE0338-3945	L.Zhang+AAP528A922011		-2.41	
HE0338-3945	K.Jonsell+AAP4516512006	-2.42	-2.43	1.52
HE0344-0243	J.G.Cohen+ApJ778562013	-3.35	-3.4	0.91
HE0349-0045	J.G.Cohen+ApJ778562013	-2.23	-2.28	0.69
HE0440-3426	T.Hansen+ApJ8071732015	-2.2	-2.19	0.78
HE0441-0652	W.Aoki+ApJ6554922007	-2.5	-2.52	0.89
HE0448-4806	T.Hansen+ApJ8071732015	-2.3	-2.26	1.44
HE0450-4902	T.Hansen+ApJ8071732015	-3.1	-3.07	2
HE0454-4758	P.S.Barklem+AAP4391292005	-3.1	-3.1	
HE0454-4758	I.U.Roederer+AJ1471362014	-3.32	-3.38	0.26
HE0454-4758	L.Zhang+AAP528A922011		-3.1	
HE0507-1430	T.C.Beers+AJ13311932007	-2	-2.45	1.7
HE0507-1653	W.Aoki+ApJ6554922007	-1.5	-1.43	0.8
HE0516-3820	P.S.Barklem+AAP4391292005	-2.33	-2.32	
HE0516-3820	L.Zhang+AAP528A922011		-2.33	
HE0516-3820	C.SiqueiraMello+AAP565A932014	-2.51	-2.48	0.35
HE0524-2055	P.S.Barklem+AAP4391292005	-2.58	-2.59	
HE0524-2055	L.Zhang+AAP528A922011		-2.58	
HE0524-2055	C.SiqueiraMello+AAP565A932014	-2.77	-2.74	0.86
HE0524-2055	J.Ren+AAP537A1182012	-2.58	-2.41	
HE0534-4548	T.C.Beers+AJ13311932007	-1.8	-1.85	1.1
HE0926-0546	J.G.Cohen+ApJ778562013	-3.73	-3.78	1.39
HE1001-0243	T.Masseron+AAP509A932010	-2.88	-2.93	1.2
HE1005-1439	W.Aoki+ApJ6554922007	-3.2	-3.22	1.79
HE1012-1540	I.U.Roederer+AJ1471362014	-3.76	-4.17	1.15
HE1012-1540	I.U.Roederer+ApJ7841582014	-3.76	-4.17	1.15
HE1012-1540	J.G.Cohen+ApJ778562013	-3.51	-3.56	1.44
HE1012-1540	J.G.Cohen+ApJ6723202008		-3.48	1.4
HE1124-2335	P.S.Barklem+AAP4391292005	-2.95	-2.93	
HE1124-2335	I.U.Roederer+AJ1471362014	-3.26	-3.36	0.3
HE1124-2335	L.Zhang+AAP528A922011		-2.95	
HE1124-2335	J.Ren+AAP537A1182012	-2.95	-2.78	
HE1157-0518	W.Aoki+ApJ6554922007	-2.4	-2.39	1.56
HE1207-3108	D.Yong+ApJ762262013	-2.7	-2.7	0.42
HE1207-3108	J.E.Norris+ApJ762252013	-2.7		
HE1226-1149	J.G.Cohen+ApJ778562013	-2.91	-2.96	1.62
HE1305+0007	A.Goswami+MNRAS3723432006	-2.03	-2.08	
HE1305+0007	T.C.Beers+AJ13311932007	-2.5	-2.55	1.9
HE1305+0132	S.C.Schuler+ApJ667L812007	-2	-2.55	1.6
HE1319-1935	W.Aoki+ApJ6554922007	-1.8	-1.79	0.46
HE1320-1339	P.S.Barklem+AAP4391292005	-2.78	-2.78	
HE1320-1339	I.U.Roederer+AJ1471362014	-2.93	-3.18	0.8
HE1320-1339	L.Zhang+AAP528A922011		-2.78	
HE1320-1339	C.M.Sakari+ApJ8681102018	-3.06	-3.06	
HE1337+0012	A.Hosford+AAP4936012009	-3.32	-3.4	
HE1337+0012	P.E.Nissen+AAP4693192007	-3.24	-3.24	
HE1337+0012	M.Ishigaki+PASJ621432010	-3.52	-3.56	
HE1337+0012	C.J.Akerman+AAP4149312004	-3.17	-3.17	
HE1337+0012	T.Matsuno+AJ154522017	-3.38	-3.38	
HE1337+0012	F.Primas+AAP364L422000	-3.3	-3.28	
HE1337+0012	A.M.Boesgaard+ApJ6333982005	-3.47	-3.45	
HE1337+0012	J.Melendez+AAP515L32010	-3.26	-3.26	
HE1337+0012	I.U.Roederer+ApJ8601252018	-3.3	-3.26	
HE1337+0012	M.N.Ishigaki+ApJ753642012	-3.21	-3.21	
HE1337+0012	I.U.Roederer+AJ1471362014	-3.39	-3.58	
HE1337+0012	M.N.Ishigaki+ApJ771672013	-3.24	-3.24	
HE1337+0012	C.Charbonnel+AAP4429612005	-3.38	-3.38	
HE1337+0012	D.Fabbian+AAP50011432009	-3.24	-3.29	
HE1337+0012	T.Gehren+AAP45110652006	-3.12	-3.11	
HE1337+0012	W.Aoki+ApJ6398972006	-3.2	-3.25	1.57
HE1337+0012	W.Aoki+ApJ69818032009	-3.37	-3.42	
HE1337+0012	M.Bergemann+AAP522A92010	-3.12	-3.12	
HE1337+0012	J.A.Rich+ApJ70115192009	-3.45	-3.45	
HE1337+0012	C.J.Hansen+AAP545A312012	-3.1	-3.1	
HE1337+0012	G.Bihain+AAP4237772004	-3.05	-2.88	
HE1337+0012	D.S.Aguado+AAP60492017	-3.2		
HE1337+0012	E.Arnone+AAP4305072005		-3.35	
HE1337+0012	G.Israelian+ApJ5518332001	-3.37	-3.37	
HE1337+0012	M.Bergemann+MNRAS40113342010	-3.12	-3.12	
HE1337+0012	L.Zhang+AAP528A922011		-3.44	
HE1337+0012	T.Matsuno+PASJ69242017	-3.36	-3.36	
HE1337+0012	P.E.Nissen+AAP4159932004	-3.17	-3.17	
HE1337+0012	P.S.Barklem+AAP4391292005	-3.44	-3.44	
HE1337+0012	A.M.Boesgaard+ApJ7431402011	-3.45	-3.45	
HE1337+0012	J.Melendez+ApJ64210822006	-3	-3.24	
HE1337+0012	V.M.Placco+ApJ829242016	-3.29	-3.29	
HE1337+0012	A.Stephens+AJ12316472002	-3.47	-3.46	
HE1351-1721	J.G.Cohen+ApJ778562013	-1.96	-2.01	0.47
HE1405-0822	W.Y.Cui+AAP558A362013	-2.4	-2.37	1.34
HE1410+0213	T.Masseron+AAP509A932010	-2.52	-2.57	
HE1410+0213	J.G.Cohen+ApJ778562013	-2.14	-2.19	1.95
HE1410+0213	J.G.Cohen+AJ1321372006	-3.17	-2.21	1.93
HE1416-1032	J.G.Cohen+ApJ778562013	-3.2	-3.25	0.56
HE1419-1324	T.Masseron+AAP509A932010	-3.05	-3.1	1.47
HE1429-0347	T.Hansen+ApJ8071732015	-2.7	-2.71	1.89
HE1429-0551	W.Aoki+ApJ6554922007	-2.5	-2.52	1.39
HE1434-1442	J.G.Cohen+ApJ778562013	-2.39	-2.43	1.89
HE1434-1442	J.G.Cohen+AJ1321372006	-3.42	-2.43	1.55
HE1447+0102	W.Aoki+ApJ6554922007	-2.5	-2.52	1.39
HE1506-0113	D.Yong+ApJ762262013	-3.54	-3.54	0.61
HE1506-0113	J.E.Norris+ApJ762252013	-3.54		
HE1523-1155	W.Aoki+ApJ6554922007	-2.2	-2.2	1.67
HE2138-3336	V.M.Placco+ApJ7701042013	-2.79	-2.79	1.66
HE2141-3741	V.M.Placco+ApJ781402014	-3.3	-3.3	1.37
HE2142-5656	D.Yong+ApJ762262013	-2.87	-2.87	0.54
HE2142-5656	J.E.Norris+ApJ762252013	-2.87		
HE2148-1247	J.G.Cohen+ApJ61211072004	-2.5		
HE2148-1247	J.G.Cohen+ApJ58810822003	-2.5	-2.37	1.79
HE2148-1247	J.G.Cohen+ApJ778562013	-2.3	-2.35	1.81
HE2157-3404	V.M.Placco+ApJ781402014	-2.89	-2.89	0.66
HE2158-0348	J.G.Cohen+ApJ778562013	-2.66	-2.71	1.67
HE2158-0348	J.G.Cohen+AJ1321372006	-2.77	-2.75	1.67
HE2159-0551	T.Hansen+ApJ8071732015	-2.8	-2.81	0.88
HE2208-1239	T.Hansen+ApJ8071732015	-2.9	-2.88	1.95
HE2221-0453	W.Aoki+ApJ6554922007	-2.2	-2.27	0.84
HE2228-0706	W.Aoki+ApJ6554922007	-2.5	-2.46	1.13
HE2229-4153	P.S.Barklem+AAP4391292005	-2.62	-2.59	
HE2229-4153	L.Zhang+AAP528A922011		-2.62	
HE2229-4153	C.SiqueiraMello+AAP565A932014	-2.62	-2.61	0.13
HE2229-4153	J.Ren+AAP537A1182012	-2.62	-2.45	
HE2232-0603	J.G.Cohen+ApJ778562013	-2.23	-2.28	0.84
HE2232-0603	J.G.Cohen+AJ1321372006	-1.99	-1.9	0.62
HE2252-4225	P.S.Barklem+AAP4391292005	-2.83	-2.82	
HE2252-4225	L.Zhang+AAP528A922011		-2.83	
HE2252-4225	L.Mashonkina+AAP569A432014	-2.63	-2.94	0.02
HE2258-6358	V.M.Placco+ApJ7701042013	-2.67	-2.67	1.44
HE2318-1621	V.M.Placco+ApJ781402014	-3.67	-3.67	1.24
HE2323-6549	V.M.Placco+ApJ781402014	-3.35	-3.35	0.42
HE2327-5642	P.S.Barklem+AAP4391292005	-2.95	-2.93	
HE2327-5642	L.Zhang+AAP528A922011		-2.95	
HE2327-5642	L.Mashonkina+AAP516A462010	-2.78	-2.78	-0.27
HE2327-5642	J.Ren+AAP537A1182012	-2.95	-2.78	
HE2330-0555	W.Aoki+ApJ6554922007	-2.8	-2.82	0.99
HE2357-0701	J.G.Cohen+ApJ778562013	-3.17	-3.22	1.06
J043154.1-063210	G.Ruchti+ApJ7431072011	-1.85	-1.85	0.3
J142546.2-154629	G.Ruchti+ApJ7431072011	-2.08	-2.08	0.6
J142546.2-154629	G.R.Ruchti+ApJ73792011	-1.97	-1.97	
J195244.9-600813	G.Ruchti+ApJ7431072011	-1.41	-1.41	1.1
J195244.9-600813	G.R.Ruchti+ApJ73792011	-1.46	-1.46	
LAMOSTJ0006+1057	H.Li+ApJ7981102015	-3.26	-3.26	1.48
LAMOSTJ0102+0428	H.Li+ApJ7981102015	-2.75	-2.75	1.37
LAMOSTJ0126+0135	H.Li+ApJ7981102015	-3.57	-3.57	1.44
LAMOSTJ0326+0202	H.Li+ApJ7981102015	-3.36	-3.36	1.23
LAMOSTJ0343-0227	H.Li+ApJ7981102015	-2.42	-2.42	0.94
LP625-44	J.E.Norris+ApJ4883501997		-2.51	1.7
LP625-44	W.Aoki+ApJ592L672003	-2.7		
LP625-44	W.Aoki+PASJ544272002	-2.72	-2.72	1.09
LP625-44	W.Aoki+ApJ5613462001	-2.71	-2.72	1.19
LP625-44	W.Aoki+ApJ536L972000	-2.71	-2.72	
LP625-44	W.Aoki+ApJ650L1272006	-2.7	-2.7	
RAVEJ094921.8-161722	M.Gull+ApJ8621742018	-2.22	-2.22	0.59
SDSSJ082625.70+612515.10	A.Bandyopadhyay+ApJ8591142018	-3.1	-3.1	1.27
SDSSJ0912+0216	W.Aoki+AJ145132013	-2.68	-2.68	
SDSSJ0912+0216	N.T.Behara+AAP513A722010	-2.5	-2.48	1.76
SDSSJ1036+1212	W.Aoki+AJ145132013	-3.47	-3.47	
SDSSJ1036+1212	N.T.Behara+AAP513A722010	-3.2	-3.18	1.3
SDSSJ1349-0229	E.Caffau+AAP614A682018	-3.02	-3	
SDSSJ1349-0229	W.Aoki+AJ145132013	-3.24	-3.24	
SDSSJ1349-0229	N.T.Behara+AAP513A722010	-3	-2.98	1.61
T5496-00376-1	G.Ruchti+ApJ7431072011	-0.63	-0.63	0.4
T6953-00510-1	G.Ruchti+ApJ7431072011	-1.93	-1.93	1.9
T8448-00121-1	G.Ruchti+ApJ7431072011	-2.45	-2.45	0.4
T9112-00430-1	G.Ruchti+ApJ7431072011	-2.21	-2.21	0.8
TYC5619-109-1	C.B.Pereira+MNRAS4697742017	-1.55	-1.55	1.22
