# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
bwb021	C.R.daSilveira+AAP614A1492018	0.39	0.39	0.19
bwb022	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.24
bwb024	C.R.daSilveira+AAP614A1492018	0.24	0.24	-0.11
bwb025	C.R.daSilveira+AAP614A1492018	-0.68	-0.68	0.14
bwb026	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.34
bwb027	C.R.daSilveira+AAP614A1492018	-0.24	-0.24	0.44
bwb030	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.24
bwb031	C.R.daSilveira+AAP614A1492018	-0.63	-0.63	0.39
bwb033	C.R.daSilveira+AAP614A1492018	0.38	0.38	-0.11
bwb035	C.R.daSilveira+AAP614A1492018	-0.67	-0.67	0.44
bwb037	C.R.daSilveira+AAP614A1492018	0.41	0.41	0.34
bwb038	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.44
bwb040	C.R.daSilveira+AAP614A1492018	-0.59	-0.59	0.59
bwb041	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.19
bwb042	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.54
bwb043	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.44
bwb044	C.R.daSilveira+AAP614A1492018	-0.44	-0.44	0.54
bwb046	C.R.daSilveira+AAP614A1492018	-0.1	-0.1	0.44
bwb047	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.44
bwb048	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.14
bwb049	C.R.daSilveira+AAP614A1492018	0.33	0.33	0.14
