Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = -1.20965055e-02x^6 + 5.38583582e-01x^5 + -9.86442434e+00x^4 + 9.51693713e+01x^3 + -5.10939305e+02x^2 + 1.45153191e+03x^1 + -1.71798027e+03x^0 

Original Data (Tgas, Yield):
4.037017e+06, 1.718510e-09
4.641589e+06, 1.453195e-09
5.336699e+06, 1.222323e-09
6.135907e+06, 1.023359e-09
7.054802e+06, 8.482197e-10
8.111308e+06, 7.047189e-10
9.326033e+06, 5.836887e-10
1.072267e+07, 4.821429e-10
1.232847e+07, 3.973279e-10
1.417474e+07, 3.240476e-10
1.629751e+07, 2.660063e-10
1.873817e+07, 2.207471e-10
2.154435e+07, 1.806940e-10
2.477076e+07, 1.477335e-10
2.848036e+07, 1.206610e-10
3.274549e+07, 9.846140e-11
3.764936e+07, 8.028347e-11
4.328761e+07, 6.581207e-11
4.977024e+07, 5.359453e-11
5.722368e+07, 4.360663e-11
6.579332e+07, 3.547707e-11
7.564633e+07, 2.885182e-11
8.697490e+07, 2.345585e-11
1.000000e+08, 1.906341e-11
1.149757e+08, 1.545906e-11
1.321941e+08, 1.255807e-11
1.519911e+08, 1.019949e-11
1.747528e+08, 8.282481e-12
2.009233e+08, 6.724787e-12
2.310130e+08, 5.468127e-12
2.656088e+08, 4.439695e-12
3.053856e+08, 3.601423e-12
3.511192e+08, 2.922872e-12
4.037017e+08, 2.371993e-12
4.641589e+08, 1.924817e-12
5.336699e+08, 1.561857e-12
6.135907e+08, 1.267279e-12
7.054802e+08, 1.028046e-12
8.111308e+08, 8.340830e-13
9.326033e+08, 6.770890e-13
1.072267e+09, 5.500821e-13
1.232847e+09, 4.462602e-13
1.417474e+09, 3.620260e-13
1.629751e+09, 2.936861e-13
1.873817e+09, 2.369559e-13
2.154435e+09, 1.922198e-13
2.477076e+09, 1.559279e-13
2.848036e+09, 1.264867e-13
3.274549e+09, 1.026034e-13
3.764936e+09, 8.322915e-14
4.328761e+09, 6.710709e-14
4.977024e+09, 5.443478e-14
5.722368e+09, 4.415525e-14
6.579332e+09, 3.581675e-14
7.564633e+09, 2.905283e-14
8.697490e+09, 2.356618e-14
1.000000e+10, 1.911563e-14
======================
Polynomial Coefficients largeSil grains:
f(x) = -8.91124251e-03x^6 + 3.93638505e-01x^5 + -7.17691851e+00x^4 + 6.92727519e+01x^3 + -3.74747024e+02x^2 + 1.08265351e+03x^1 + -1.31822041e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.149757e+04, 0.000000e+00
1.321941e+04, 1.885489e-19
1.519911e+04, 3.569686e-18
1.747528e+04, 4.746563e-17
2.009233e+04, 4.625689e-16
2.310130e+04, 3.423923e-15
2.656088e+04, 1.985203e-14
3.053856e+04, 9.226362e-14
3.511192e+04, 3.518271e-13
4.037017e+04, 1.122511e-12
4.641589e+04, 3.050747e-12
5.336699e+04, 1.340122e-11
6.135907e+04, 3.391172e-11
7.054802e+04, 7.922493e-11
8.111308e+04, 1.731566e-10
9.326033e+04, 3.577189e-10
1.072267e+05, 7.039185e-10
1.232847e+05, 1.325945e-09
1.417474e+05, 2.396425e-09
1.629751e+05, 4.155719e-09
1.873817e+05, 6.903333e-09
2.154435e+05, 1.156768e-08
2.477076e+05, 1.828273e-08
2.848036e+05, 2.804984e-08
3.274549e+05, 4.185891e-08
3.764936e+05, 6.088248e-08
4.328761e+05, 8.646873e-08
