Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.23011683e-02x^6 + 5.47237891e-01x^5 + -1.00148330e+01x^4 + 9.65438468e+01x^3 + -5.17901524e+02x^2 + 1.47005987e+03x^1 + -1.73821405e+03x^0 

Original Data (Tgas, Yield):
8.907355e+07, 1.688848e-06
9.547716e+07, 1.678154e-06
1.023411e+08, 1.660700e-06
1.096986e+08, 1.636740e-06
1.175850e+08, 1.606733e-06
1.260383e+08, 1.571116e-06
1.350994e+08, 1.530421e-06
1.448118e+08, 1.485231e-06
1.552225e+08, 1.436203e-06
1.663817e+08, 1.383894e-06
1.783431e+08, 1.328963e-06
1.911644e+08, 1.272029e-06
2.049075e+08, 1.213687e-06
2.196385e+08, 1.154501e-06
2.354286e+08, 1.095129e-06
2.523539e+08, 1.035789e-06
2.704960e+08, 9.770136e-07
2.899423e+08, 9.192366e-07
3.107866e+08, 8.627620e-07
3.331295e+08, 8.078697e-07
3.570786e+08, 7.547912e-07
3.827494e+08, 7.037117e-07
4.102658e+08, 6.547024e-07
4.397604e+08, 6.080101e-07
4.713753e+08, 5.636296e-07
5.052631e+08, 5.215960e-07
5.415871e+08, 4.819172e-07
5.805226e+08, 4.445765e-07
6.222571e+08, 4.095372e-07
6.669920e+08, 3.767022e-07
7.149429e+08, 3.460931e-07
7.663411e+08, 3.175861e-07
8.214344e+08, 2.910948e-07
8.804884e+08, 2.665269e-07
9.437878e+08, 2.438189e-07
1.011638e+09, 2.227124e-07
1.084366e+09, 2.033331e-07
1.162322e+09, 1.854845e-07
1.245883e+09, 1.690695e-07
1.335452e+09, 1.539934e-07
1.431459e+09, 1.401644e-07
1.534368e+09, 1.274944e-07
1.644676e+09, 1.158991e-07
1.762914e+09, 1.052833e-07
1.889652e+09, 9.560202e-08
2.025502e+09, 8.676747e-08
2.171118e+09, 7.871238e-08
2.327202e+09, 7.137372e-08
2.494508e+09, 6.469438e-08
2.673842e+09, 5.861604e-08
2.866068e+09, 5.308967e-08
3.072113e+09, 4.806815e-08
3.292971e+09, 4.350788e-08
3.529707e+09, 3.936866e-08
3.783463e+09, 3.561342e-08
4.055461e+09, 3.221778e-08
4.347013e+09, 2.914247e-08
4.659526e+09, 2.634374e-08
4.994505e+09, 2.380878e-08
5.353567e+09, 2.151352e-08
5.738442e+09, 1.943596e-08
6.150986e+09, 1.754668e-08
6.593188e+09, 1.584691e-08
7.067181e+09, 1.430966e-08
7.575250e+09, 1.291972e-08
8.119845e+09, 1.166328e-08
8.703591e+09, 1.052774e-08
9.329304e+09, 9.501679e-09
1.000000e+10, 8.574709e-09
======================
Polynomial Coefficients smallSil grains (0.0050 microns):
f(x) = -6.73144975e-03x^6 + 3.06700557e-01x^5 + -5.79558014e+00x^4 + 5.82249546e+01x^3 + -3.28649314e+02x^2 + 9.89167811e+02x^1 + -1.24833708e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.071891e+04, 0.000000e+00
1.148951e+04, 0.000000e+00
1.231551e+04, 4.957899e-20
1.320088e+04, 2.457978e-19
1.414991e+04, 1.102033e-18
1.516717e+04, 4.496450e-18
1.625756e+04, 1.679459e-17
1.742633e+04, 5.774185e-17
1.867914e+04, 1.836776e-16
2.002200e+04, 5.431455e-16
2.146141e+04, 1.499537e-15
2.300430e+04, 3.880734e-15
2.465811e+04, 9.448939e-15
2.643081e+04, 2.174338e-14
2.833096e+04, 4.731934e-14
3.036771e+04, 9.782060e-14
3.255089e+04, 1.926098e-13
3.489101e+04, 3.621547e-13
3.739937e+04, 6.518264e-13
