Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.738665e-02x^5 + -1.972187e+00x^4 + 2.687958e+01x^3 + -1.822488e+02x^2 + 6.173319e+02x^1 + -8.459550e+02x^0 

Original Data (Tgas, Yield):
8.697490e+07, 9.232940e-08
9.770100e+07, 7.882254e-08
1.097499e+08, 6.716266e-08
1.232847e+08, 5.713333e-08
1.384886e+08, 4.853690e-08
1.555676e+08, 4.118449e-08
1.747528e+08, 3.490820e-08
1.963041e+08, 2.955976e-08
2.205131e+08, 2.500908e-08
2.477076e+08, 2.114255e-08
2.782559e+08, 1.785929e-08
3.125716e+08, 1.507822e-08
3.511192e+08, 1.272314e-08
3.944206e+08, 1.072180e-08
4.430621e+08, 9.038561e-09
4.977024e+08, 7.616556e-09
5.590810e+08, 6.415998e-09
6.280291e+08, 5.402957e-09
7.054802e+08, 4.544850e-09
7.924829e+08, 3.825204e-09
8.902151e+08, 3.218789e-09
1.000000e+09, 2.707968e-09
