Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.19072860e-02x^6 + 5.31262797e-01x^5 + -9.75119978e+00x^4 + 9.42766571e+01x^3 + -5.07163026e+02x^2 + 1.44345239e+03x^1 + -1.71123716e+03x^0 

Original Data (Tgas, Yield):
3.448962e+05, 4.239154e-08
3.696913e+05, 4.801342e-08
3.962689e+05, 5.412822e-08
4.247572e+05, 6.075080e-08
4.552935e+05, 6.789537e-08
4.880252e+05, 7.557286e-08
5.231099e+05, 8.379204e-08
5.607170e+05, 9.255868e-08
6.010277e+05, 1.018715e-07
6.442364e+05, 1.117333e-07
6.905514e+05, 1.221314e-07
7.401960e+05, 1.330466e-07
7.934097e+05, 1.444486e-07
8.504489e+05, 1.569369e-07
9.115888e+05, 1.695980e-07
9.771242e+05, 1.827928e-07
1.047371e+06, 1.965073e-07
1.122668e+06, 2.107304e-07
1.203378e+06, 2.254445e-07
1.289890e+06, 2.406318e-07
1.382622e+06, 2.562725e-07
1.482021e+06, 2.723456e-07
1.588565e+06, 2.888193e-07
1.702769e+06, 3.056870e-07
1.825183e+06, 3.229149e-07
1.956398e+06, 3.404767e-07
2.097046e+06, 3.583447e-07
2.247806e+06, 3.764877e-07
2.409404e+06, 3.948762e-07
2.582619e+06, 4.134692e-07
2.768287e+06, 4.322303e-07
2.967302e+06, 4.511039e-07
3.180626e+06, 4.700247e-07
3.409285e+06, 4.899748e-07
3.654383e+06, 5.094396e-07
3.917101e+06, 5.290097e-07
4.198707e+06, 5.487120e-07
4.500558e+06, 5.685357e-07
4.824109e+06, 5.884936e-07
5.170920e+06, 6.086088e-07
5.542665e+06, 6.289161e-07
5.941134e+06, 6.494608e-07
6.368250e+06, 6.703146e-07
6.826072e+06, 6.915501e-07
7.316807e+06, 7.132808e-07
7.842822e+06, 7.356226e-07
8.406653e+06, 7.587182e-07
9.011018e+06, 7.827300e-07
9.658832e+06, 8.078174e-07
1.035322e+07, 8.342056e-07
1.109752e+07, 8.620650e-07
1.189534e+07, 8.915682e-07
1.275051e+07, 9.228566e-07
1.366716e+07, 9.582370e-07
1.464971e+07, 9.976278e-07
1.570290e+07, 1.038546e-06
1.683180e+07, 1.083014e-06
1.804186e+07, 1.131372e-06
1.933892e+07, 1.183899e-06
2.072922e+07, 1.240829e-06
2.221947e+07, 1.302325e-06
2.381686e+07, 1.368458e-06
2.552908e+07, 1.439154e-06
2.736440e+07, 1.514302e-06
2.933166e+07, 1.593557e-06
3.144035e+07, 1.676449e-06
3.370064e+07, 1.762356e-06
3.612343e+07, 1.850483e-06
3.872039e+07, 1.939955e-06
4.150405e+07, 2.029701e-06
4.448783e+07, 2.118625e-06
4.768612e+07, 2.205511e-06
5.111433e+07, 2.289124e-06
5.478901e+07, 2.368965e-06
5.872787e+07, 2.443040e-06
6.294989e+07, 2.510289e-06
6.747544e+07, 2.570005e-06
7.232634e+07, 2.621295e-06
7.752597e+07, 2.663457e-06
8.309942e+07, 2.695952e-06
8.907355e+07, 2.718358e-06
9.547716e+07, 2.730533e-06
1.023411e+08, 2.732383e-06
1.096986e+08, 2.723964e-06
1.175850e+08, 2.705584e-06
1.260383e+08, 2.677574e-06
1.350994e+08, 2.640411e-06
1.448118e+08, 2.594673e-06
1.552225e+08, 2.541058e-06
1.663817e+08, 2.480203e-06
1.783431e+08, 2.412927e-06
1.911644e+08, 2.340013e-06
2.049075e+08, 2.262281e-06
2.196385e+08, 2.180543e-06
2.354286e+08, 2.095637e-06
2.523539e+08, 2.008271e-06
