energy[ev]	n     k
      1527.80      0.99971292   4.9137330e-05
      1527.90      0.99971295   4.9125827e-05
      1528.00      0.99971299   4.9114326e-05
      1528.10      0.99971302   4.9102828e-05
      1528.20      0.99971306   4.9091333e-05
      1528.30      0.99971310   4.9079826e-05
      1528.40      0.99971313   4.9068335e-05
      1528.50      0.99971317   4.9056848e-05
      1528.60      0.99971320   4.9045363e-05
      1528.70      0.99971324   4.9033880e-05
      1528.80      0.99971328   4.9022386e-05
      1528.90      0.99971331   4.9010909e-05
      1529.00      0.99971335   4.8999434e-05
      1529.10      0.99971338   4.8987961e-05
      1529.20      0.99971342   4.8976492e-05
      1529.30      0.99971346   4.8965011e-05
      1529.40      0.99971349   4.8953546e-05
      1529.50      0.99971353   4.8942084e-05
      1529.60      0.99971356   4.8930625e-05
      1529.70      0.99971360   4.8919168e-05
      1529.80      0.99971364   4.8907700e-05
      1529.90      0.99971367   4.8896248e-05
      1530.00      0.99971371   4.8884799e-05
      1530.10      0.99971374   4.8873353e-05
      1530.20      0.99971378   4.8861909e-05
      1530.30      0.99971382   4.8850454e-05
      1530.40      0.99971385   4.8839015e-05
      1530.50      0.99971389   4.8827579e-05
      1530.60      0.99971392   4.8816145e-05
      1530.70      0.99971396   4.8804714e-05
      1530.80      0.99971399   4.8793272e-05
      1530.90      0.99971403   4.8781846e-05
      1531.00      0.99971407   4.8770423e-05
      1531.10      0.99971410   4.8759002e-05
      1531.20      0.99971414   4.8747584e-05
      1531.30      0.99971417   4.8736154e-05
      1531.40      0.99971421   4.8724741e-05
      1531.50      0.99971425   4.8713331e-05
      1531.60      0.99971428   4.8701923e-05
      1531.70      0.99971432   4.8690517e-05
      1531.80      0.99971435   4.8679101e-05
      1531.90      0.99971439   4.8667701e-05
      1532.00      0.99971442   4.8656303e-05
      1532.10      0.99971446   4.8644908e-05
      1532.20      0.99971450   4.8633515e-05
      1532.30      0.99971453   4.8622111e-05
      1532.40      0.99971457   4.8610724e-05
      1532.50      0.99971460   4.8599339e-05
      1532.60      0.99971464   4.8587957e-05
      1532.70      0.99971467   4.8576577e-05
      1532.80      0.99971471   4.8565186e-05
      1532.90      0.99971475   4.8553811e-05
      1533.00      0.99971478   4.8542439e-05
      1533.10      0.99971482   4.8531070e-05
      1533.20      0.99971485   4.8519703e-05
      1533.30      0.99971489   4.8508324e-05
      1533.40      0.99971492   4.8496963e-05
      1533.50      0.99971496   4.8485603e-05
      1533.60      0.99971500   4.8474246e-05
      1533.70      0.99971503   4.8462892e-05
      1533.80      0.99971507   4.8451527e-05
      1533.90      0.99971510   4.8440178e-05
      1534.00      0.99971514   4.8428831e-05
      1534.10      0.99971517   4.8417487e-05
      1534.20      0.99971521   4.8406146e-05
      1534.30      0.99971525   4.8394793e-05
      1534.40      0.99971528   4.8383456e-05
      1534.50      0.99971532   4.8372122e-05
      1534.60      0.99971535   4.8360791e-05
      1534.70      0.99971539   4.8349462e-05
      1534.80      0.99971542   4.8338122e-05
      1534.90      0.99971546   4.8326799e-05
      1535.00      0.99971549   4.8315478e-05
      1535.10      0.99971553   4.8304159e-05
      1535.20      0.99971557   4.8292843e-05
      1535.30      0.99971560   4.8281516e-05
      1535.40      0.99971564   4.8270205e-05
      1535.50      0.99971567   4.8258896e-05
      1535.60      0.99971571   4.8247590e-05
      1535.70      0.99971574   4.8236287e-05
      1535.80      0.99971578   4.8224972e-05
      1535.90      0.99971581   4.8213674e-05
      1536.00      0.99971585   4.8202378e-05
      1536.10      0.99971589   4.8191085e-05
      1536.20      0.99971592   4.8179794e-05
      1536.30      0.99971596   4.8168492e-05
      1536.40      0.99971599   4.8157207e-05
      1536.50      0.99971603   4.8145923e-05
      1536.60      0.99971606   4.8134643e-05
      1536.70      0.99971610   4.8123365e-05
      1536.80      0.99971613   4.8112076e-05
      1536.90      0.99971617   4.8100803e-05
      1537.00      0.99971620   4.8089532e-05
      1537.10      0.99971624   4.8078264e-05
      1537.20      0.99971628   4.8066999e-05
      1537.30      0.99971631   4.8055722e-05
