# Object	Reference	Metallicity	[Fe/H]	[C/Fe]
BD+17_3248	J.J.Cowan+ApJ5728612002	-2	-2.06	-0.37
BD+17_3248	S.M.Andrievsky+AAP46410812007	-2.07	-2.07	
BD+17_3248	M.Spite+AAP4552912006	-2.07	-2.07	-0.24
BD+17_3248	I.U.Roederer+ApJ69819632009	-2.08	-2.08	
BD+17_3248	M.Spite+AAP528A92011	-2.07	-2.07	
BD+17_3248	J.J.Cowan+ApJ6272382005	-2.08	-2.11	
BD+17_4708	P.E.Nissen+AAP4693192007	-1.55	-1.55	
BD+17_4708	J.A.Rich+ApJ70115192009	-1.81	-1.81	
BD+17_4708	C.J.Akerman+AAP4149312004	-1.64	-1.64	0.23
BD+17_4708	T.V.Mishenina+AAP3709512001	-1.56	-1.56	
BD+17_4708	I.U.Roederer+ApJ7249752010		-1.59	
BD+17_4708	R.Smiljanic+AAP4991032009	-1.5	-1.5	
BD+17_4708	J.Melendez+AAP515L32010	-1.59	-1.59	
BD+17_4708	P.E.Nissen+AAP4159932004	-1.64	-1.64	
BD+17_4708	S.G.Ryan+ApJ549552001	-1.86	-1.86	
BD+17_4708	A.M.Boesgaard+ApJ7431402011	-1.7	-1.7	
BD+17_4708	R.G.Gratton+AAP4041872003	-1.58	-1.63	
BD+17_4708	J.Melendez+ApJ64210822006	-1.4	-1.64	
BD+17_4708	A.M.Boesgaard+AJ1174921999	-1.73	-1.56	
BD+17_4708	T.V.Mishenina+AAP3961892002	-1.56	-1.56	
BD+17_4708	K.A.Venn+AJ12811772004		-1.63	
BD+17_4708	P.E.Nissen+AAP3902352002	-1.58	-1.55	
BD+17_4708	I.U.Roederer+AJ1471362014	-1.7	-1.8	-0.09
BD+17_4708	J.P.Fulbright+AJ12018412000	-1.5	-1.61	
BD+17_4708	C.Charbonnel+AAP4429612005	-1.73	-1.73	
BD+17_4708	E.Caffau+AAP4415332005	-1.62	-1.62	
BD+17_4708	D.Fabbian+AAP50011432009	-1.55	-1.6	0.11
BD+17_4708	J.Simmerer+ApJ61710912004	-1.59	-1.59	0.13
BD+17_4708	M.Asplund+ApJ6442292006	-1.51	-1.51	
BD+18_3423	B.E.Reddy+MNRAS36713292006	-0.87	-0.92	0.43
BD+19_1185	A.M.Boesgaard+ApJ7431402011	-0.92	-0.92	
BD+19_1185	I.U.Roederer+AJ1471362014	-1.25		
BD+19_1185	I.U.Roederer+ApJ7249752010		-1.09	
BD+19_1185	J.Simmerer+ApJ61710912004	-1.09	-1.09	-0.07
BD+20_2594	B.E.Reddy+MNRAS36713292006	-0.94	-0.99	0.52
BD+20_2594	T.Gehren+AAP45110652006	-0.81	-0.8	
BD+22_2442	B.E.Reddy+MNRAS36713292006	-0.83	-0.88	0.6
BD+23_3130	D.K.Lai+ApJ66711852007	-2.59	-2.42	0.26
BD+23_3130	J.P.Fulbright+ApJ59511542003	-2.7	-2.49	
BD+23_3130	Y.Takeda+PASJ63S5372011	-2.6	-2.6	
BD+23_3130	T.V.Mishenina+AAP3961892002	-2.61	-2.61	
BD+23_3130	G.Bihain+AAP4237772004	-2.66	-2.49	
BD+23_3130	K.A.Venn+AJ12811772004		-2.7	
BD+23_3130	T.V.Mishenina+AAP3709512001	-2.62	-2.62	
BD+23_3130	G.Israelian+ApJ5518332001		-2.43	
BD+23_3130	I.U.Roederer+AJ1471362014	-2.9	-2.93	-0.01
BD+23_3130	J.P.Fulbright+AJ12018412000	-2.6	-2.68	
BD+23_3130	D.K.Lai+ApJ68115242008	-2.6	-2.58	0.2
BD+23_3130	R.Cayrel+NewAR455332001	-2.62	-2.62	
BD+24_1676	A.M.Boesgaard+ApJ7431402011	-2.55	-2.55	
BD+24_1676	A.Hosford+AAP4936012009	-2.53	-2.6	
BD+24_1676	C.J.Hansen+AAP545A312012	-2.5	-2.53	
BD+24_1676	A.Stephens+AJ12316472002	-2.56	-2.54	
BD+24_1676	P.E.Nissen+AAP3902352002	-2.41	-2.38	
BD+24_1676	E.Arnone+AAP4305072005		-2.6	
BD+24_1676	I.U.Roederer+AJ1471362014	-2.54	-2.7	0.46
BD+24_1676	I.I.Ivans+ApJ5929062003	-2.49	-2.48	
BD+24_1676	C.Charbonnel+AAP4429612005	-2.65	-2.65	
BD+24_1676	D.K.Lai+ApJ68115242008	-2.6	-2.63	0.5
BD+24_1676	A.M.Boesgaard+ApJ6333982005	-2.56	-2.54	
BD+24_1676	J.Melendez+AAP515L32010	-2.54	-2.54	
BD+25_1858	B.E.Reddy+MNRAS36713292006	-0.84	-0.89	0.81
BD+26_2621	A.M.Boesgaard+ApJ7431402011	-2.69	-2.69	
BD+26_2621	A.Hosford+AAP4936012009	-2.67	-2.69	
BD+26_2621	P.E.Nissen+AAP4693192007	-2.58	-2.58	
BD+26_2621	J.A.Rich+ApJ70115192009	-2.69	-2.69	
BD+26_2621	E.Arnone+AAP4305072005		-2.86	
BD+26_2621	C.Charbonnel+AAP4429612005	-2.84	-2.84	
BD+26_2621	A.Hosford+AAP511A472010	-2.68		
BD+26_2621	D.Fabbian+AAP50011432009	-2.58	-2.63	0.23
BD+28_2137	A.M.Boesgaard+ApJ7431402011	-1.97	-1.97	
BD+28_2137	M.N.Ishigaki+ApJ753642012	-1.99	-1.99	
BD+28_2137	P.E.Nissen+AAP4693192007	-1.93	-1.93	
BD+28_2137	M.Ishigaki+PASJ621432010	-2.42	-2.42	
BD+28_2137	G.S.Bai+AAP4256712004	-1.93	-1.93	
BD+28_2137	C.Charbonnel+AAP4429612005	-2.23	-2.23	
BD+28_2137	M.N.Ishigaki+ApJ771672013	-1.99	-1.99	
BD+28_2137	D.Fabbian+AAP50011432009	-1.93	-1.98	0.36
BD+29_2356	I.U.Roederer+AJ1471362014	-1.62	-1.73	-0.12
BD+29_2356	L.Zhang+ApJ70610952009	-1.45	-1.28	
BD+29_2356	M.N.Ishigaki+ApJ753642012	-1.65	-1.65	
BD+29_2356	M.Ishigaki+PASJ621432010	-1.44	-1.44	
BD+29_2356	I.U.Roederer+ApJ7115732010	-1.55	-1.59	-0.13
BD+29_366	A.M.Boesgaard+ApJ7431402011	-0.84	-0.84	
BD+29_366	R.G.Gratton+AAP3541692000	-0.92	-0.97	
BD+29_366	R.G.Gratton+AAP4041872003	-0.97	-1.03	
BD+29_366	T.V.Mishenina+AAP3961892002	-1.01	-1.01	
BD+29_366	K.A.Venn+AJ12811772004		-1.14	
BD+29_366	T.V.Mishenina+AAP3709512001	-1.01	-1.01	
BD+29_366	J.P.Fulbright+AJ12018412000	-1	-1.12	
BD+29_366	C.Charbonnel+AAP4429612005	-1	-1	
BD+29_366	I.U.Roederer+ApJ7249752010		-1.05	
BD+29_366	J.Simmerer+ApJ61710912004	-1.05	-1.05	0.23
BD+29_366	R.Smiljanic+AAP4991032009	-1	-1	
BD+30_2611	M.N.Ishigaki+ApJ753642012	-1.53	-1.53	
BD+30_2611	W.Aoki+PASJ60L72008	-1.5	-1.46	-0.66
BD+30_2611	J.P.Fulbright+ApJ59511542003	-1.3	-1.6	
BD+30_2611	M.Ishigaki+PASJ621432010	-1.32	-1.32	
BD+30_2611	Y.Saito+PASJ615492009	-1.49	-1.45	
BD+30_2611	C.J.Hansen+AAP545A312012	-1.2	-1.2	
BD+30_2611	I.U.Roederer+ApJ7115732010	-1.45	-1.5	-0.61
BD+30_2611	T.V.Mishenina+AAP3961892002		-1.41	
BD+30_2611	D.L.Burris+ApJ5443022000	-1.4	-1.32	
BD+30_2611	K.A.Venn+AJ12811772004		-1.37	
BD+30_2611	T.V.Mishenina+AAP3709512001	-1.41	-1.41	
BD+30_2611	L.Zhang+ApJ70610952009	-1.41	-1.23	
BD+30_2611	J.P.Fulbright+AJ12018412000	-1.2	-1.35	
